stamp_s,time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,current_map_x_m,current_map_y_m,current_map_yaw_rad,current_map_error_m,current_map_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad,gt_speed_mps,collision_count,scoring_mode
1788942809.446512,3.022144,-2.663502,4.217307,-2.985057,-2.663502,4.217307,-2.985057,0.000000,0.000000,-2.663502,4.217307,-2.985057,0.000000,0.000000,-2.663502,4.217307,-2.985057,0.000000,0.000000,-2.663502,4.217307,-2.985057,0.000000,0.000000,0.000000,0,relative_first_pair
1788942809.496694,3.072325,-2.663502,4.217307,-2.985057,-2.663502,4.217307,-2.985057,0.000000,0.000000,-2.663502,4.217307,-2.985057,0.000000,0.000000,-2.663502,4.217307,-2.985057,0.000000,0.000000,-2.663502,4.217307,-2.985057,0.000000,0.000000,0.000000,0,relative_first_pair
1788942809.496694,3.072325,-2.663502,4.217307,-2.985057,-2.663502,4.217307,-2.985057,0.000000,0.000000,-2.663502,4.217307,-2.985057,0.000000,0.000000,-2.663502,4.217307,-2.985057,0.000000,0.000000,-2.663502,4.217307,-2.985057,0.000000,0.000000,0.000000,0,relative_first_pair
1788942809.546896,3.122527,-2.663502,4.217307,-2.985057,-2.663502,4.217307,-2.985057,0.000000,0.000000,-2.663502,4.217307,-2.985057,0.000000,0.000000,-2.663502,4.217307,-2.985057,0.000000,0.000000,-2.663502,4.217307,-2.985057,0.000000,0.000000,0.000000,0,relative_first_pair
1788942809.546896,3.122527,-2.663502,4.217307,-2.985057,-2.663502,4.217307,-2.985057,0.000000,0.000000,-2.663502,4.217307,-2.985057,0.000000,0.000000,-2.663502,4.217307,-2.985057,0.000000,0.000000,-2.663502,4.217307,-2.985057,0.000000,0.000000,0.000000,0,relative_first_pair
1788942809.598480,3.174112,-2.668342,4.216543,-2.983596,-2.663502,4.217307,-2.985057,0.004900,0.001460,-2.669032,4.216430,-2.983596,0.000699,0.000000,-2.669032,4.216430,-2.983596,0.000699,0.000000,-2.669032,4.216430,-2.983596,0.000699,0.000000,0.094990,0,relative_first_pair
1788942809.598480,3.174112,-2.668342,4.216543,-2.983596,-2.663502,4.217307,-2.985057,0.004900,0.001460,-2.669032,4.216430,-2.983596,0.000699,0.000000,-2.669032,4.216430,-2.983596,0.000699,0.000000,-2.669032,4.216430,-2.983596,0.000699,0.000000,0.094990,0,relative_first_pair
1788942809.647487,3.223119,-2.675439,4.215322,-2.979928,-2.663502,4.217307,-2.985057,0.012100,0.005128,-2.670651,4.216165,-2.981389,0.004861,0.001460,-2.669032,4.216430,-2.983596,0.006502,0.003668,-2.676179,4.215278,-2.979929,0.000741,0.000001,0.146931,0,relative_first_pair
1788942809.647487,3.223119,-2.675439,4.215322,-2.979928,-2.663502,4.217307,-2.985057,0.012100,0.005128,-2.670651,4.216165,-2.981389,0.004861,0.001460,-2.676179,4.215278,-2.979929,0.000741,0.000001,-2.676179,4.215278,-2.979929,0.000741,0.000001,0.146931,0,relative_first_pair
1788942809.696790,3.272421,-2.682649,4.214184,-2.976272,-2.663502,4.217307,-2.985057,0.019400,0.008785,-2.670651,4.216165,-2.981400,0.012161,0.005128,-2.683321,4.214100,-2.976272,0.000678,0.000000,-2.683321,4.214100,-2.976272,0.000678,0.000000,0.148066,0,relative_first_pair
1788942809.696790,3.272421,-2.682649,4.214184,-2.976272,-2.683322,4.214099,-2.976272,0.000678,0.000000,-2.670651,4.216165,-2.981400,0.012161,0.005128,-2.683321,4.214100,-2.976272,0.000678,0.000000,-2.683321,4.214100,-2.976272,0.000678,0.000000,0.148066,0,relative_first_pair
1788942809.768106,3.343737,-2.693286,4.212304,-2.970653,-2.683322,4.214099,-2.976272,0.010125,0.005619,-2.670651,4.216165,-2.981400,0.022962,0.010747,-2.694080,4.212273,-2.970653,0.000795,0.000000,-2.694080,4.212273,-2.970653,0.000795,0.000000,0.151464,0,relative_first_pair
1788942809.768106,3.343737,-2.693286,4.212304,-2.970653,-2.683322,4.214099,-2.976272,0.010125,0.005619,-2.694080,4.212273,-2.970653,0.000794,0.000000,-2.694080,4.212273,-2.970653,0.000795,0.000000,-2.694080,4.212273,-2.970653,0.000795,0.000000,0.151464,0,relative_first_pair
1788942809.817725,3.393357,-2.700466,4.210969,-2.966732,-2.683322,4.214099,-2.976272,0.017428,0.009539,-2.690752,4.212845,-2.972351,0.009893,0.005619,-2.701503,4.210978,-2.966733,0.001037,0.000001,-2.701503,4.210978,-2.966733,0.001037,0.000001,0.147176,0,relative_first_pair
1788942809.817725,3.393357,-2.700466,4.210969,-2.966732,-2.683322,4.214099,-2.976272,0.017428,0.009539,-2.690752,4.212845,-2.972351,0.009893,0.005619,-2.701503,4.210978,-2.966733,0.001037,0.000001,-2.701503,4.210978,-2.966733,0.001037,0.000001,0.147176,0,relative_first_pair
1788942809.867877,3.443509,-2.707957,4.209685,-2.962816,-2.683322,4.214099,-2.976272,0.025028,0.013455,-2.690829,4.212832,-2.972355,0.017415,0.009539,-2.701503,4.210978,-2.966733,0.006582,0.003917,-2.708998,4.209638,-2.962816,0.001042,0.000000,0.151551,0,relative_first_pair
1788942809.867877,3.443509,-2.707957,4.209685,-2.962816,-2.708997,4.209638,-2.962816,0.001041,0.000000,-2.690829,4.212832,-2.972355,0.017415,0.009539,-2.708998,4.209638,-2.962816,0.001042,0.000000,-2.708998,4.209638,-2.962816,0.001042,0.000000,0.151551,0,relative_first_pair
1788942809.919771,3.495403,-2.715433,4.208303,-2.958904,-2.708997,4.209638,-2.962816,0.006573,0.003912,-2.690829,4.212832,-2.972355,0.025018,0.013451,-2.708998,4.209638,-2.962816,0.006572,0.003912,-2.716694,4.208232,-2.958904,0.001263,0.000000,0.146505,0,relative_first_pair
1788942809.919771,3.495403,-2.715433,4.208303,-2.958904,-2.708997,4.209638,-2.962816,0.006573,0.003912,-2.716693,4.208231,-2.958904,0.001262,0.000000,-2.708998,4.209638,-2.962816,0.006572,0.003912,-2.716694,4.208232,-2.958904,0.001263,0.000000,0.146505,0,relative_first_pair
1788942809.968450,3.544081,-2.722696,4.206854,-2.954999,-2.708997,4.209638,-2.962816,0.013979,0.007817,-2.716213,4.208319,-2.958911,0.006647,0.003912,-2.716694,4.208232,-2.958904,0.006158,0.003905,-2.723903,4.206886,-2.954999,0.001207,0.000000,0.152142,0,relative_first_pair
1788942809.968450,3.544081,-2.722696,4.206854,-2.954999,-2.708997,4.209638,-2.962816,0.013979,0.007817,-2.716213,4.208319,-2.958911,0.006647,0.003912,-2.723903,4.206886,-2.954999,0.001207,0.000000,-2.723903,4.206886,-2.954999,0.001207,0.000000,0.152142,0,relative_first_pair
1788942810.018547,3.594178,-2.730848,4.205264,-2.951658,-2.708997,4.209638,-2.962816,0.022284,0.011158,-2.716787,4.208217,-2.959476,0.014367,0.007817,-2.731682,4.205403,-2.951658,0.000845,0.000000,-2.731682,4.205403,-2.951658,0.000845,0.000000,0.165788,0,relative_first_pair
1788942810.018547,3.594178,-2.730848,4.205264,-2.951658,-2.731682,4.205403,-2.951658,0.000845,0.000000,-2.716787,4.208217,-2.959476,0.014367,0.007817,-2.731682,4.205403,-2.951658,0.000845,0.000000,-2.731682,4.205403,-2.951658,0.000845,0.000000,0.165788,0,relative_first_pair
1788942810.068615,3.644246,-2.739395,4.203612,-2.948041,-2.731682,4.205403,-2.951658,0.007919,0.003618,-2.739633,4.203859,-2.948041,0.000344,0.000000,-2.739633,4.203859,-2.948041,0.000343,0.000000,-2.739633,4.203859,-2.948041,0.000343,0.000000,0.173866,0,relative_first_pair
1788942810.068615,3.644246,-2.739395,4.203612,-2.948041,-2.731682,4.205403,-2.951658,0.007919,0.003618,-2.739633,4.203859,-2.948041,0.000344,0.000000,-2.739633,4.203859,-2.948041,0.000343,0.000000,-2.739633,4.203859,-2.948041,0.000343,0.000000,0.173866,0,relative_first_pair
1788942810.118464,3.694095,-2.747926,4.201861,-2.944439,-2.731682,4.205403,-2.951658,0.016626,0.007219,-2.739738,4.203839,-2.948057,0.008424,0.003618,-2.747685,4.202267,-2.944439,0.000472,0.000000,-2.747685,4.202267,-2.944439,0.000472,0.000000,0.174712,0,relative_first_pair
1788942810.118464,3.694095,-2.747926,4.201861,-2.944439,-2.731682,4.205403,-2.951658,0.016626,0.007219,-2.739738,4.203839,-2.948057,0.008424,0.003618,-2.747685,4.202267,-2.944439,0.000472,0.000000,-2.747685,4.202267,-2.944439,0.000472,0.000000,0.174712,0,relative_first_pair
