event_index,arrival_monotonic_ns,arrival_epoch_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
38580,98968165041889,1789740816148055594,/odom,Odometry,1789740816142445234,,"{""lateral_speed_mps"":-0.0013230900606942542,""speed_mps"":2.037338807839111,""x_m"":-1.5137493288251875,""y_m"":-1.8460908620405554,""yaw_rad"":-2.526291428570124,""yaw_rate_radps"":1.1453}"
38581,98968165549964,1789740816148563659,/ekf_odom,Odometry,1789740816142445234,,"{""lateral_speed_mps"":-0.0013230900606942542,""speed_mps"":2.037338807839111,""x_m"":-1.5137493288252104,""y_m"":-1.8460908620405467,""yaw_rad"":-2.526291428570123,""yaw_rate_radps"":1.1453}"
38582,98968165912326,1789740816148926321,/current_map_pose,PoseWithCovarianceStamped,1789740816142445234,,"{""covariance_6x6"":[0.025239717996184654,-0.001417799109956267,0.0,0.0,0.0,0.0010538412755232017,-0.001417799109956267,0.03753264736179919,0.0,0.0,0.0,0.0018581050644916831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010538412755232017,0.0018581050644916831,0.0,0.0,0.0,0.0030456915131301474],""covariance_xx_m2"":0.025239717996184654,""covariance_yawyaw_rad2"":0.0030456915131301474,""covariance_yy_m2"":0.03753264736179919,""x_m"":-1.4498941332287967,""y_m"":3.3013690805845184,""yaw_rad"":2.1860975518145707}"
38590,98968170102946,1789740816153116581,/amcl_pose,PoseWithCovarianceStamped,1789740816142445234,,"{""covariance_6x6"":[0.0032512425693334078,-0.0013506723683176874,0.0,0.0,0.0,0.0007854046607832437,-0.0013506723683176874,0.012447445476400648,0.0,0.0,0.0,0.0018290542317311396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007854046607832437,0.0018290542317311396,0.0,0.0,0.0,0.0025358970870555564],""covariance_xx_m2"":0.0032512425693334078,""covariance_yawyaw_rad2"":0.0025358970870555564,""covariance_yy_m2"":0.012447445476400648,""x_m"":-1.4500533500902861,""y_m"":3.2989369068574534,""yaw_rad"":2.1860975518145698}"
38601,98968189552571,1789740816172566366,/odom,Odometry,1789740816167107150,,"{""lateral_speed_mps"":-0.012894657951228728,""speed_mps"":1.8916507521701311,""x_m"":-1.5519227168880498,""y_m"":-1.8736999425248244,""yaw_rad"":-2.497124715920881,""yaw_rate_radps"":1.1307}"
38604,98968191247238,1789740816174260893,/ekf_odom,Odometry,1789740816167107150,,"{""lateral_speed_mps"":-0.012894657951228728,""speed_mps"":1.8916507521701311,""x_m"":-1.5519227168880725,""y_m"":-1.8736999425248158,""yaw_rad"":-2.4971247159208803,""yaw_rate_radps"":1.1307}"
38605,98968191586065,1789740816174599570,/current_map_pose,PoseWithCovarianceStamped,1789740816167107150,,"{""covariance_6x6"":[0.025247914391865422,-0.0013506723683176874,0.0,0.0,0.0,0.0007854046607832437,-0.0013506723683176874,0.037650994825306074,0.0,0.0,0.0,0.0018290542317311396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007854046607832437,0.0018290542317311396,0.0,0.0,0.0,0.0025358970870555564],""covariance_xx_m2"":0.025247914391865422,""covariance_yawyaw_rad2"":0.0025358970870555564,""covariance_yy_m2"":0.037650994825306074,""x_m"":-1.4776624305745558,""y_m"":3.337110294920315,""yaw_rad"":2.2152642644638134}"
38610,98968194530572,1789740816177544337,/amcl_pose,PoseWithCovarianceStamped,1789740816167107150,,"{""covariance_6x6"":[0.0034894558561334482,-0.0016419884973315284,0.0,0.0,0.0,0.0008227557835884429,-0.0016419884973315284,0.011984319477451323,0.0,0.0,0.0,0.001421912600764517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008227557835884429,0.001421912600764517,0.0,0.0,0.0,0.0025978985500180914],""covariance_xx_m2"":0.0034894558561334482,""covariance_yawyaw_rad2"":0.0025978985500180914,""covariance_yy_m2"":0.011984319477451323,""x_m"":-1.4810292781421623,""y_m"":3.3297866086416463,""yaw_rad"":2.2152642644638125}"
38624,98968213324113,1789740816196337508,/odom,Odometry,1789740816192174118,,"{""lateral_speed_mps"":-0.02915424765890671,""speed_mps"":1.7443337479005054,""x_m"":-1.58827163692755,""y_m"":-1.9011921348053178,""yaw_rad"":-2.467837807041311,""yaw_rate_radps"":1.144}"
38625,98968213688719,1789740816196702203,/ekf_odom,Odometry,1789740816192174118,,"{""lateral_speed_mps"":-0.02915424765890671,""speed_mps"":1.7443337479005054,""x_m"":-1.5882716369275724,""y_m"":-1.9011921348053091,""yaw_rad"":-2.4678378070413105,""yaw_rate_radps"":1.144}"
