run_id,event_index,request_sequence,request_monotonic_ns,packet_sequence,associated_packet_sequence,response_received,bridge_arrival_monotonic_ns,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,sent_throttle_norm,sent_steering_norm,sent_reset,commanded_throttle_norm,commanded_steering_norm,applied_command_sequence,applied_throttle_norm,applied_steering_norm,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_collision_count,simulator_encoder_angles_left,simulator_encoder_angles_right,simulator_feedback_steering_norm,simulator_feedback_throttle_norm,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_orientation_quaternion_w,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_position_x,simulator_position_y,simulator_position_z
pp_mpc_shadow_candidate_progress_retry_20260918,68,1,89786399468811,1,1,True,89786428392047,,,,,0.0,0.0,False,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0002,0.0,-0.0035,0.0,0.0,0.0,0.0,0.0314,4.7124,0.707,0.0111,0.0111,-0.707,0.8003,3.1583,0.0592
pp_mpc_shadow_candidate_progress_retry_20260918,80,2,89786424290771,2,2,True,89786453664994,,,,,0.0,0.0,False,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.0005,0.0004,0.0059,0.0,0.0,0.0,0.0,0.0314,4.7124,0.707,0.0111,0.0111,-0.707,0.8003,3.1583,0.0592
pp_mpc_shadow_candidate_progress_retry_20260918,92,3,89786448955095,3,3,True,89786478577414,,,,,0.0,0.0,False,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0057,0.0,0.0,0.0,0.0,0.0314,4.7124,0.707,0.0111,0.0111,-0.707,0.8003,3.1583,0.0592
pp_mpc_shadow_candidate_progress_retry_20260918,104,4,89786474560557,4,4,True,89786503406368,,,,,0.0,0.0,False,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0001,0.0002,-0.0013,0.0,0.0,0.0,0.0,0.0314,4.7124,0.707,0.0111,0.0111,-0.707,0.8003,3.1583,0.0592
pp_mpc_shadow_candidate_progress_retry_20260918,116,5,89786499170088,5,5,True,89786529920517,,,,,0.0,0.0,False,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0004,0.0,-0.0044,0.0,0.0,0.0,0.0,0.0314,4.7124,0.707,0.0111,0.0111,-0.707,0.8003,3.1583,0.0592
pp_mpc_shadow_candidate_progress_retry_20260918,129,6,89786524345432,6,6,True,89786552919842,,,,,0.0,0.0,False,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0001,-0.0005,-0.0026,0.0,0.0,0.0,0.0,0.0314,4.7124,0.707,0.0111,0.0111,-0.707,0.8003,3.1583,0.0592
pp_mpc_shadow_candidate_progress_retry_20260918,144,7,89786549288289,7,7,True,89786577846088,,,,,0.0,0.0,False,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0004,0.0002,-0.0013,0.0,0.0,0.0,0.0,0.0314,4.7124,0.707,0.0111,0.0111,-0.707,0.8003,3.1583,0.0592
pp_mpc_shadow_candidate_progress_retry_20260918,159,8,89786574272143,8,8,True,89786604703473,,,,,0.0,0.0,False,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0001,-0.0005,-0.0017,0.0,0.0,0.0,0.0,0.0314,4.7124,0.707,0.0111,0.0111,-0.707,0.8003,3.1583,0.0592
pp_mpc_shadow_candidate_progress_retry_20260918,174,9,89786598968667,9,9,True,89786628185034,,,,,0.0,0.0,False,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0008,0.0002,-0.0038,0.0,0.0,0.0,0.0,0.0314,4.7124,0.707,0.0111,0.0111,-0.707,0.8003,3.1583,0.0592
pp_mpc_shadow_candidate_progress_retry_20260918,189,10,89786624191501,10,10,True,89786653586283,,,,,0.0,0.0,False,,,,,,0.0,0.0001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0004,0.0,0.0,0.0,0.0,0.0314,4.7124,0.707,0.0111,0.0111,-0.707,0.8003,3.1583,0.0592
