event_index,arrival_monotonic_ns,arrival_epoch_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
63751,89858521986473,1789731706505000088,/odom,Odometry,1789731706497845354,,"{""lateral_speed_mps"":0.003131464272313436,""speed_mps"":0.9869565306085228,""x_m"":1.9811656850558292,""y_m"":8.906735135805903,""yaw_rad"":-2.6426595313250973,""yaw_rate_radps"":0.5733}"
63752,89858522283651,1789731706505297106,/ekf_odom,Odometry,1789731706497845354,,"{""lateral_speed_mps"":0.003131464272313436,""speed_mps"":0.9869565306085228,""x_m"":1.981165685055874,""y_m"":8.906735135805928,""yaw_rad"":-2.6426595313250996,""yaw_rate_radps"":0.5733}"
63753,89858522523963,1789731706505537548,/current_map_pose,PoseWithCovarianceStamped,1789731706497845354,,"{""covariance_6x6"":[0.061785757496118296,-0.0010183526965395124,0.0,0.0,0.0,-0.0013364629131800035,-0.0010183526965395124,0.0417998213538435,0.0,0.0,0.0,-0.00033939172696924796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013364629131800035,-0.00033939172696924796,0.0,0.0,0.0,0.013905114576547455],""covariance_xx_m2"":0.061785757496118296,""covariance_yawyaw_rad2"":0.013905114576547455,""covariance_yy_m2"":0.0417998213538435,""x_m"":-3.292069350888415,""y_m"":4.590936757156067,""yaw_rad"":2.069729449059596}"
63759,89858525236189,1789731706508249844,/amcl_pose,PoseWithCovarianceStamped,1789731706497845354,,"{""covariance_6x6"":[0.03265903979427272,-0.00027326266348810406,0.0,0.0,0.0,-0.001538888872877694,-0.00027326266348810406,0.030817780640028686,0.0,0.0,0.0,0.0004707297035828149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001538888872877694,0.0004707297035828149,0.0,0.0,0.0,0.013195973939856661],""covariance_xx_m2"":0.03265903979427272,""covariance_yawyaw_rad2"":0.013195973939856661,""covariance_yy_m2"":0.030817780640028686,""x_m"":-3.316847475844669,""y_m"":4.613818005763174,""yaw_rad"":2.0697294490595954}"
63773,89858546062772,1789731706529076508,/odom,Odometry,1789731706522379875,,"{""lateral_speed_mps"":0.0031758451846665564,""speed_mps"":1.011691879257253,""x_m"":1.9594904370349575,""y_m"":8.894626407641404,""yaw_rad"":-2.6278489320932925,""yaw_rate_radps"":0.5985}"
63774,89858546476410,1789731706529489975,/ekf_odom,Odometry,1789731706522379875,,"{""lateral_speed_mps"":0.0031758451846665564,""speed_mps"":1.011691879257253,""x_m"":1.9594904370350017,""y_m"":8.894626407641429,""yaw_rad"":-2.6278489320932947,""yaw_rate_radps"":0.5985}"
63775,89858546722893,1789731706529736498,/current_map_pose,PoseWithCovarianceStamped,1789731706522379875,,"{""covariance_6x6"":[0.061724546781335037,-0.00027326266348810406,0.0,0.0,0.0,-0.001538888872877694,-0.00027326266348810406,0.041833893783117755,0.0,0.0,0.0,0.0004707297035828149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001538888872877694,0.0004707297035828149,0.0,0.0,0.0,0.013195973939856661],""covariance_xx_m2"":0.061724546781335037,""covariance_yawyaw_rad2"":0.013195973939856661,""covariance_yy_m2"":0.041833893783117755,""x_m"":-3.3289562040091667,""y_m"":4.635493253784047,""yaw_rad"":2.0845400482914003}"
63781,89858549481396,1789731706532495262,/amcl_pose,PoseWithCovarianceStamped,1789731706522379875,,"{""covariance_6x6"":[0.03358037600010205,-0.000705603938476003,0.0,0.0,0.0,-0.0022587584622338086,-0.000705603938476003,0.031297189428001956,0.0,0.0,0.0,0.0008804931758480659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022587584622338086,0.0008804931758480659,0.0,0.0,0.0,0.014035279152663472],""covariance_xx_m2"":0.03358037600010205,""covariance_yawyaw_rad2"":0.014035279152663472,""covariance_yy_m2"":0.031297189428001956,""x_m"":-3.361690940647247,""y_m"":4.666715411339118,""yaw_rad"":2.0845400482914003}"
63795,89858571172223,1789731706554185798,/odom,Odometry,1789731706548048807,,"{""lateral_speed_mps"":0.003270723073130699,""speed_mps"":1.008564585900466,""x_m"":1.9368331005971162,""y_m"":8.881517834516558,""yaw_rad"":-2.6126505545674723,""yaw_rate_radps"":0.6141}"
63796,89858571432412,1789731706554445957,/ekf_odom,Odometry,1789731706548048807,,"{""lateral_speed_mps"":0.003270723073130699,""speed_mps"":1.008564585900466,""x_m"":1.9368331005971597,""y_m"":8.881517834516583,""yaw_rad"":-2.6126505545674745,""yaw_rate_radps"":0.6141}"
