s_ref_m,x_ref_m,y_ref_m,kappa_ref,ey_m,epsi_rad,u_mps,r_radps,target_mps,delta_rad,qdelta_radps,qv_mps2,left_m,right_m
52.83564056,-1.10811398,1.62478134,0.087761681,-0.14917553,-0.044549013,6.12384363,1.30598931,5.38317933,0.077621759,-0.175065878,-6.87734211,0.8072938,0.7188511
52.97541738,-1.11463369,1.76440475,0.183245987,-0.15464489,-0.032173073,5.95758213,1.34232996,5.22111918,0.082471387,0.569669944,-6.83248300,0.8105664,0.7211085
53.11519421,-1.12429315,1.90384539,0.165311811,-0.15862183,-0.023195508,5.78666056,1.38222791,5.05451835,0.087415019,-0.155845761,-6.78642360,0.8133685,0.7317699
53.25497104,-1.13716890,2.04302591,0.160866006,-0.16104919,-0.010647603,5.61200269,1.42506895,4.88427578,0.093108320,0.596819249,-6.73940688,0.8118192,0.7463259
53.39474786,-1.15317328,2.18188160,0.156785014,-0.16147026,0.004777977,5.43312134,1.47226271,4.70991879,0.099747731,-0.074757663,-6.69102894,0.8074638,0.7643141
53.53452469,-1.17221225,2.32035398,0.152431909,-0.15945484,0.023366466,5.24963501,1.52351327,4.53106811,0.106680118,0.580513156,-6.64217514,0.8016303,0.7858002
53.67430152,-1.19419108,2.45839035,0.147670216,-0.15452556,0.045520992,5.06108416,1.58055118,4.34729953,0.115649256,0.074317523,-6.58950424,0.7862174,0.8108026
53.81407834,-1.21901432,2.59594379,0.142982245,-0.14614416,0.071709368,4.86688218,1.64341363,4.15796894,0.124578508,0.536031035,-6.54268730,0.7644752,0.8389749
53.95385517,-1.24658575,2.73297293,0.138835024,-0.13369976,0.102458939,4.66625914,1.71433149,3.96253399,0.136876818,0.288201614,-6.47317813,0.7393931,0.8705266
54.09363200,-1.27681266,2.86944100,0.134715036,-0.11648753,0.138475069,4.45820551,1.79416282,3.75944445,0.149211072,0.492306598,-6.45784705,0.7133881,0.9051403
54.23340882,-1.30960248,3.00531615,0.130449165,-0.09366558,0.180766209,4.24136882,1.88610376,3.54883446,0.166671150,0.562985002,-6.29840991,0.6914238,0.9399475
54.37318565,-1.34486274,3.14057133,0.126373031,-0.06418569,0.230730482,4.01385596,1.99289182,3.32535899,0.185224678,0.499582334,-6.47132184,0.6723540,0.9599085
54.51296248,-1.38250529,3.27518305,0.121667522,-0.02667669,0.290455340,3.77290288,2.12032191,3.09420602,0.211810474,0.906248355,-5.90160545,0.6535269,0.9676660
54.65273931,-1.42244986,3.40912988,0.111485435,0.02081453,0.363612936,3.51418015,2.27635997,2.83468868,0.243180380,0.649664627,-6.83239538,1.3488617,0.9748300
54.79251613,-1.46460721,3.54239709,0.203509152,0.08041488,0.448344290,3.23204364,2.47516828,2.57300700,0.289517171,1.378873509,-4.94160218,2.9487722,0.9846866
54.93229296,-1.51156253,3.67403438,0.528178830,0.15074047,0.525007183,2.92766527,2.73246993,2.25330096,0.350806436,1.132085889,-7.99788816,2.9566122,1.0053191
55.07206979,-1.56800024,3.80188524,0.657115526,0.22817900,0.594660724,2.62743922,3.04475386,2.13199173,0.425742930,1.692204145,2.99531194,2.9849504,1.0477496
55.21184661,-1.63592636,3.92399792,0.835879816,0.30880433,0.662465665,2.43070798,3.29115823,2.29489888,0.450555050,-0.790298495,2.99946163,3.0498096,1.1139722
55.35162344,-1.71768232,4.03727764,1.067523613,0.38363148,0.694640040,2.37522192,3.36806928,2.44387641,0.439894024,0.473997822,2.99964597,3.1916583,1.1910651
55.49140027,-1.81537561,4.13706816,1.320798142,0.44049608,0.655704326,2.38596791,3.35279380,2.55806700,0.426759114,-1.543489275,2.99960921,3.5014763,1.3268280
55.63117709,-1.92962797,4.21726694,1.506110064,0.47495561,0.541898267,2.41144005,3.31745763,2.63330848,0.407153687,0.441167289,2.99945348,3.5394617,1.5325867
55.77095392,-2.05799027,4.27203720,1.517989423,0.49407244,0.387934175,2.43587063,3.28298761,2.68543392,0.402436373,-1.157051899,2.99937074,3.0508556,1.7882426
55.91073075,-2.19497712,4.29884490,1.345917923,0.50673064,0.243388022,2.46411617,3.24653068,2.73654854,0.388277037,-0.558901017,2.99950729,1.2510728,2.0841306
56.05050757,-2.33461855,4.29970921,1.092880217,0.51660906,0.142315820,2.50456793,3.19399308,2.80123923,0.375997223,-0.577335577,2.99965015,1.9155492,2.4235440
56.19028440,-2.47281297,4.27927561,0.856642865,0.52453463,0.092381315,2.56181943,3.12272305,2.88331293,0.357690451,-0.743738193,2.99973291,2.2428842,2.6550649
