s_ref_m,x_ref_m,y_ref_m,kappa_ref,ey_m,epsi_rad,u_mps,r_radps,target_mps,delta_rad,qdelta_radps,qv_mps2,left_m,right_m
0.00000000,-2.60758600,4.24238400,0.652952237,0.53214182,0.087093501,2.63566954,3.03501102,2.97979105,0.338503693,-0.421217363,2.99929684,1.8809450,2.7972800
0.13977683,-2.73809791,4.19244938,0.762704123,0.53965369,0.085629040,2.71595717,2.94530447,3.07746367,0.319029930,-0.800020471,2.99922435,1.7775731,2.8234568
0.27955365,-2.86253205,4.12890605,0.898978337,0.54500219,0.050972172,2.78853932,2.86846264,3.16143065,0.303533377,-0.260844488,2.99909482,1.6569652,2.6049405
0.41933048,-2.97800675,4.05028795,1.026418737,0.54630889,-0.016672679,2.85160875,2.80502779,3.23210859,0.290845166,-0.868336975,2.99893063,1.5266775,2.2669155
0.55910731,-3.08107931,3.95602634,1.111314636,0.54274872,-0.109471226,2.90726825,2.75109918,3.29317779,0.280297616,-0.124845282,2.99879993,1.4165705,1.9541775
0.69888413,-3.16841323,3.84703532,1.123478921,0.53364352,-0.213126617,2.96074672,2.70151037,3.35096112,0.271276184,-0.808879925,2.99880348,1.3418688,1.6798766
0.83866096,-3.23776367,3.72579762,1.055741520,0.51742609,-0.310078550,3.01892294,2.64932721,3.41304302,0.260967868,-0.225298114,2.99894057,1.3075699,1.4265528
0.97843779,-3.28864640,3.59570342,0.934842002,0.49193429,-0.385794562,3.08776100,2.59045128,3.48569402,0.250915752,-0.573485997,2.99909907,1.3865941,1.2377330
1.11821461,-3.32218516,3.46007457,0.796569381,0.45599967,-0.433587872,3.17004951,2.52305892,3.57166439,0.238084991,-0.340251968,2.99920994,1.3334223,1.1210125
1.25799144,-3.34042296,3.32153591,0.666828277,0.41060091,-0.454446833,3.26497596,2.44985768,3.66995105,0.226164081,-0.384797733,2.99926363,1.3186214,1.0483448
1.39776827,-3.34563110,3.18188508,0.550950418,0.35848986,-0.453227530,3.36950003,2.37354635,3.77736872,0.212229117,-0.393092753,2.99927145,1.3142535,1.0045077
1.53754510,-3.33991063,3.04224505,0.470446056,0.30318585,-0.436979319,3.47963936,2.29863304,3.88990115,0.200944862,-0.210801849,2.99923619,0.9861462,0.9803019
1.67732192,-3.32603850,2.90316091,0.003550517,0.24731093,-0.379959528,3.59730703,2.22272460,4.00959392,0.187271770,-0.462479053,2.99923636,0.9761868,0.9709849
1.81709875,-3.31097155,2.76419878,-0.000734019,0.19845472,-0.291458039,3.71718401,2.15156067,4.13116138,0.177997123,0.019963224,2.99908754,1.0293573,0.9660055
1.95687558,-3.29617750,2.62520713,-0.012285094,0.16259796,-0.209469188,3.83076403,2.07819175,4.24608634,0.161364077,-0.910964604,2.99890833,1.0277276,0.9599361
2.09665240,-3.28163043,2.48618935,-0.012495060,0.13837953,-0.132506295,3.93944810,2.02983176,4.35589464,0.167131869,1.271314384,2.99868177,1.0168000,0.9529218
2.23642923,-3.26732399,2.34714661,-0.012739686,0.12482282,-0.060289663,4.04422654,1.96431042,4.46164857,0.135594883,-3.133200006,2.99838610,1.0025036,0.9464611
2.37620606,-3.25326293,2.20807884,-0.012858027,0.12084025,0.003468808,4.14596307,1.65301536,4.56425644,0.027700695,-3.172633891,2.99798491,0.9887759,0.9388558
