# s_m,x_m,y_m,psi_rad,kappa_radpm,velocity_mps,acceleration_mps2,d_left_m,d_right_m
0.0000000,-2.4442770,3.7457797,-2.74995432,1.30357876,2.2329963,2.4347502,1.358178,3.320047
0.0884792,-2.5241995,3.7078196,-2.64073126,1.19731636,2.3299800,2.6003921,1.247839,3.353191
0.1665770,-2.5910217,3.6673961,-2.55028815,1.11245986,2.4172102,2.7010881,1.121513,3.140393
0.2339795,-2.6455935,3.6278358,-2.47677827,1.04624479,2.4925276,2.7642106,0.989123,2.804470
0.2932690,-2.6911192,3.5898535,-2.41498144,0.99299443,2.5584863,2.8066106,0.881639,2.489109
0.3501961,-2.7326441,3.5509129,-2.35834185,0.94607731,2.6211587,2.8385200,0.815007,2.206738
0.4122884,-2.7754488,3.5059327,-2.30011529,0.89941403,2.6882935,2.8657711,0.795637,1.938486
0.4861700,-2.8229009,3.4493043,-2.23529083,0.84935039,2.7663885,2.8906380,0.898381,1.725946
0.5752975,-2.8751640,3.3771081,-2.16214083,0.79560951,2.8582917,2.9128809,0.878767,1.575668
0.6796820,-2.9296439,3.2880684,-2.08227795,0.74039781,2.9629482,2.9314426,0.906481,1.460485
0.7969585,-2.9825075,3.1833821,-1.99842648,0.68650694,3.0770463,2.9457942,0.951127,1.367634
0.9234417,-3.0300637,3.0661797,-1.91301832,0.63619731,3.1963968,2.9562083,0.675376,1.291072
1.0638714,-3.0702771,2.9316309,-1.82679951,0.58845831,3.3235214,2.9636908,0.718846,1.228326
1.2123460,-3.1020104,2.7865871,-1.74741028,0.54521091,3.4528228,2.9688606,0.819200,1.176163
1.3567452,-3.1220046,2.6435788,-1.67210024,0.50798903,3.5749125,2.9721278,0.852588,1.135075
1.4988628,-3.1314448,2.5017751,-1.60199595,0.47702965,3.6913376,2.9742629,0.865808,1.103914
1.6396225,-3.1313574,2.3610155,-1.53813494,0.42958201,3.8031789,2.9756937,0.865832,1.083133
1.7797591,-3.1231286,2.2211207,-1.48588371,0.31538536,3.9113697,2.9766731,0.857990,1.069642
1.9197733,-3.1090861,2.0818124,-1.45477496,0.12930349,4.0165531,2.9773546,0.848781,1.062699
2.0598227,-3.0927054,1.9427243,-1.45236595,-0.09432179,4.1190802,2.9778345,0.844999,1.057733
2.1998551,-3.0779926,1.8034670,-1.47871931,-0.28223215,4.2191290,2.9781753,0.840766,1.068072
2.3399228,-3.0682001,1.6637420,-1.52291785,-0.34878977,4.3169055,2.9784192,0.843766,1.149577
2.4802652,-3.0648484,1.5234396,-1.57084162,-0.33381227,4.4127079,2.9785942,0.851076,1.163975
2.6211601,-3.0680989,1.3825822,-1.61682400,-0.31917141,4.5011440,2.6117674,0.866872,1.172173
2.7628440,-3.0777629,1.2412282,-1.66115684,-0.31297727,4.5572205,0.9668853,0.888729,1.170212
2.9054698,-3.0936973,1.0994953,-1.70295016,-0.31366200,4.5522381,-1.2739992,0.917589,0.932469
3.0499201,-3.1148493,0.9566021,-1.74389211,-0.32328702,4.4839666,-2.9767604,0.945671,0.892652
3.1936773,-3.1429182,0.8156118,-1.78952593,-0.34096165,4.3662003,-4.2656353,0.973494,0.850038
3.3348011,-3.1769486,0.6786525,-1.83989621,-0.36677447,4.2097566,-5.2300742,1.010784,0.805678
