bag_time,time,value
1788888203.4270556,1788888203.4270556,"{""packet_sequence"":45,""bridge_arrival_monotonic_ns"":10905565318228,""request_monotonic_ns"":10905519207138,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.4777603,1788888203.4777603,"{""packet_sequence"":46,""bridge_arrival_monotonic_ns"":10905616096173,""request_monotonic_ns"":10905568911920,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.5267112,1788888203.5267112,"{""packet_sequence"":47,""bridge_arrival_monotonic_ns"":10905664982139,""request_monotonic_ns"":10905618560022,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.5767035,1788888203.5767035,"{""packet_sequence"":48,""bridge_arrival_monotonic_ns"":10905715066451,""request_monotonic_ns"":10905669354459,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.6270554,1788888203.6270554,"{""packet_sequence"":49,""bridge_arrival_monotonic_ns"":10905765314507,""request_monotonic_ns"":10905719372463,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.6760693,1788888203.6760693,"{""packet_sequence"":50,""bridge_arrival_monotonic_ns"":10905814401680,""request_monotonic_ns"":10905768688587,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.7276576,1788888203.7276576,"{""packet_sequence"":51,""bridge_arrival_monotonic_ns"":10905865970236,""request_monotonic_ns"":10905820086354,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.7774515,1788888203.7774515,"{""packet_sequence"":52,""bridge_arrival_monotonic_ns"":10905915808565,""request_monotonic_ns"":10905869245807,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.8277125,1788888203.8277125,"{""packet_sequence"":53,""bridge_arrival_monotonic_ns"":10905966018858,""request_monotonic_ns"":10905919858895,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.8767214,1788888203.8767214,"{""packet_sequence"":54,""bridge_arrival_monotonic_ns"":10906015080292,""request_monotonic_ns"":10905969295540,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.9268343,1788888203.9268343,"{""packet_sequence"":55,""bridge_arrival_monotonic_ns"":10906065097574,""request_monotonic_ns"":10906019379511,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.9765563,1788888203.9765563,"{""packet_sequence"":56,""bridge_arrival_monotonic_ns"":10906114886658,""request_monotonic_ns"":10906068936618,""simulation_time_s"":null,""simulation_frame"":null}"
1788888204.0266585,1788888204.0266585,"{""packet_sequence"":57,""bridge_arrival_monotonic_ns"":10906164949605,""request_monotonic_ns"":10906119884651,""simulation_time_s"":null,""simulation_frame"":null}"
1788888204.0787654,1788888204.0787654,"{""packet_sequence"":58,""bridge_arrival_monotonic_ns"":10906217108551,""request_monotonic_ns"":10906169436515,""simulation_time_s"":null,""simulation_frame"":null}"
1788888204.1269255,1788888204.1269255,"{""packet_sequence"":59,""bridge_arrival_monotonic_ns"":10906265186077,""request_monotonic_ns"":10906219171208,""simulation_time_s"":null,""simulation_frame"":null}"
1788888204.1766021,1788888204.1766021,"{""packet_sequence"":60,""bridge_arrival_monotonic_ns"":10906314961048,""request_monotonic_ns"":10906268658866,""simulation_time_s"":null,""simulation_frame"":null}"
1788888204.2288592,1788888204.2288592,"{""packet_sequence"":61,""bridge_arrival_monotonic_ns"":10906367175300,""request_monotonic_ns"":10906319473065,""simulation_time_s"":null,""simulation_frame"":null}"
1788888204.2777245,1788888204.2777245,"{""packet_sequence"":62,""bridge_arrival_monotonic_ns"":10906416042855,""request_monotonic_ns"":10906369984382,""simulation_time_s"":null,""simulation_frame"":null}"
1788888204.3277094,1788888204.3277094,"{""packet_sequence"":63,""bridge_arrival_monotonic_ns"":10906465988204,""request_monotonic_ns"":10906419281384,""simulation_time_s"":null,""simulation_frame"":null}"
1788888204.3784003,1788888204.3784003,"{""packet_sequence"":64,""bridge_arrival_monotonic_ns"":10906516675198,""request_monotonic_ns"":10906469199209,""simulation_time_s"":null,""simulation_frame"":null}"
1788888204.4269316,1788888204.4269316,"{""packet_sequence"":65,""bridge_arrival_monotonic_ns"":10906565218661,""request_monotonic_ns"":10906519099271,""simulation_time_s"":null,""simulation_frame"":null}"
1788888204.478121,1788888204.478121,"{""packet_sequence"":66,""bridge_arrival_monotonic_ns"":10906616492164,""request_monotonic_ns"":10906568842440,""simulation_time_s"":null,""simulation_frame"":null}"
1788888204.5269773,1788888204.5269773,"{""packet_sequence"":67,""bridge_arrival_monotonic_ns"":10906665239097,""request_monotonic_ns"":10906619035024,""simulation_time_s"":null,""simulation_frame"":null}"
1788888204.5778143,1788888204.5778143,"{""packet_sequence"":68,""bridge_arrival_monotonic_ns"":10906716146476,""request_monotonic_ns"":10906670044249,""simulation_time_s"":null,""simulation_frame"":null}"
1788888204.6271317,1788888204.6271317,"{""packet_sequence"":69,""bridge_arrival_monotonic_ns"":10906765171504,""request_monotonic_ns"":10906718574916,""simulation_time_s"":null,""simulation_frame"":null}"
1788888204.6777897,1788888204.6777897,"{""packet_sequence"":70,""bridge_arrival_monotonic_ns"":10906816113409,""request_monotonic_ns"":10906768641989,""simulation_time_s"":null,""simulation_frame"":null}"
1788888204.7268295,1788888204.7268295,"{""packet_sequence"":71,""bridge_arrival_monotonic_ns"":10906865159999,""request_monotonic_ns"":10906819347639,""simulation_time_s"":null,""simulation_frame"":null}"
1788888204.7766871,1788888204.7766871,"{""packet_sequence"":72,""bridge_arrival_monotonic_ns"":10906915052506,""request_monotonic_ns"":10906869364385,""simulation_time_s"":null,""simulation_frame"":null}"
1788888204.8275986,1788888204.8275986,"{""packet_sequence"":73,""bridge_arrival_monotonic_ns"":10906965905931,""request_monotonic_ns"":10906919350251,""simulation_time_s"":null,""simulation_frame"":null}"
1788888204.8771424,1788888204.8771424,"{""packet_sequence"":74,""bridge_arrival_monotonic_ns"":10907015428366,""request_monotonic_ns"":10906969337931,""simulation_time_s"":null,""simulation_frame"":null}"
1788888204.9267702,1788888204.9267702,"{""packet_sequence"":75,""bridge_arrival_monotonic_ns"":10907065050342,""request_monotonic_ns"":10907019372802,""simulation_time_s"":null,""simulation_frame"":null}"
1788888204.9788601,1788888204.9788601,"{""packet_sequence"":76,""bridge_arrival_monotonic_ns"":10907117190682,""request_monotonic_ns"":10907069311337,""simulation_time_s"":null,""simulation_frame"":null}"
1788888205.026654,1788888205.026654,"{""packet_sequence"":77,""bridge_arrival_monotonic_ns"":10907164951616,""request_monotonic_ns"":10907119479715,""simulation_time_s"":null,""simulation_frame"":null}"
