scan_index,bag_time,time,finite_count,min_range,max_range,angle_min,angle_max,angle_increment,range_min,range_max,odom_index,odom_dt
0,1788885219.5571296,1788885219.5571296,1031,0.8600316047668457,9.803089141845703,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,0,0.0
1,1788885219.6467707,1788885219.6467707,1031,0.8600335717201233,9.803133010864258,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,1,0.0
2,1788885219.6974978,1788885219.6974978,1032,0.8602715134620667,9.984756469726562,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,2,0.0
3,1788885219.747745,1788885219.747745,1031,0.8619964122772217,9.820070266723633,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,3,0.0
4,1788885219.7968242,1788885219.7968242,1031,0.8657605051994324,9.778790473937988,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4,0.0
5,1788885219.846769,1788885219.846769,1032,0.8717287182807922,9.917588233947754,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,5,0.0
6,1788885219.8968515,1788885219.8968515,1031,0.8804566264152527,9.753408432006836,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,6,0.0
7,1788885219.951185,1788885219.951185,1032,0.8925356268882751,9.995061874389648,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,7,0.0
8,1788885220.0060856,1788885220.0060856,1031,0.9083964824676514,9.749329566955566,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,8,0.0
9,1788885220.0718083,1788885220.0718083,1032,0.9217842221260071,9.932771682739258,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,9,0.0
10,1788885220.122808,1788885220.122808,1032,0.8935847878456116,9.872246742248535,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,10,0.0
11,1788885220.1735268,1788885220.1735268,1033,0.862501323223114,9.930378913879395,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,11,0.0
12,1788885220.2213926,1788885220.2213926,1034,0.8342711925506592,9.953811645507812,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,12,0.0
13,1788885220.272637,1788885220.272637,1034,0.8124458193778992,9.88886547088623,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,13,0.0
14,1788885220.3214853,1788885220.3214853,1035,0.7967044711112976,9.969757080078125,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,14,0.0
15,1788885220.3726788,1788885220.3726788,1035,0.7870504856109619,9.881482124328613,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,15,0.0
16,1788885220.4225776,1788885220.4225776,1035,0.78130042552948,9.864057540893555,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,16,0.0
17,1788885220.472293,1788885220.472293,1036,0.7781065106391907,9.950934410095215,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,17,0.0
18,1788885220.5215836,1788885220.5215836,1036,0.7836372256278992,9.886588096618652,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,18,0.0
19,1788885220.5716038,1788885220.5716038,1037,0.7939342856407166,9.959141731262207,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,19,0.0
20,1788885220.6212971,1788885220.6212971,1037,0.8073855042457581,9.875945091247559,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,20,0.0
21,1788885220.6724885,1788885220.6724885,1039,0.8234549164772034,9.98691463470459,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,21,0.0
22,1788885220.7214463,1788885220.7214463,1039,0.8415662050247192,9.963587760925293,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,22,0.0
23,1788885220.7712638,1788885220.7712638,1039,0.8610672950744629,9.894027709960938,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,23,0.0
24,1788885220.8217137,1788885220.8217137,1040,0.8811019062995911,9.911760330200195,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,24,0.0
25,1788885220.8715558,1788885220.8715558,1040,0.9008352160453796,9.902194023132324,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,25,0.0
26,1788885220.9217684,1788885220.9217684,1041,0.9194875955581665,9.95915699005127,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,26,0.0
27,1788885220.9715602,1788885220.9715602,1041,0.9209582209587097,9.943560600280762,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,27,0.0
28,1788885221.0224988,1788885221.0224988,1041,0.9056251049041748,9.861068725585938,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,28,0.0
29,1788885221.0772095,1788885221.0772095,1041,0.8929198980331421,9.897398948669434,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,29,0.0
30,1788885221.1470523,1788885221.1470523,1042,0.8784065842628479,9.920028686523438,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,30,0.0
31,1788885221.1999063,1788885221.1999063,1042,0.8738210201263428,9.925294876098633,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,31,0.0
