s_ref_m,x_ref_m,y_ref_m,kappa_ref,ey_m,epsi_rad,u_mps,r_radps,target_mps,delta_rad,qdelta_radps,qv_mps2,left_m,right_m
0.00000000,-2.60758600,4.24238400,0.652952237,0.42152013,0.007911597,2.38957352,2.88051790,2.64524309,0.362650068,-0.785079669,2.43503468,1.8809450,2.7972800
0.24924806,-2.83620324,4.14392180,0.868901051,0.42320043,0.012226380,2.51486367,2.71584603,2.81261542,0.311071326,-0.699072531,2.40419563,1.6842864,2.6606096
0.49849612,-3.03813500,3.99880229,1.083463814,0.41869522,-0.080204797,2.63426270,2.53706082,2.94837733,0.278791262,-0.400194126,2.33057043,1.4598132,2.0800596
0.74774418,-3.19476339,3.80588364,1.105593624,0.39726039,-0.224613395,2.74845349,2.40077444,3.07015190,0.260512148,-0.303072259,2.35203277,1.3260109,1.5947621
0.99699223,-3.29405840,3.57795275,0.916393012,0.35114584,-0.342663428,2.87783060,2.28730252,3.20797523,0.241001727,-0.372283638,2.45269979,1.3776814,1.2203800
1.24624029,-3.33942247,3.33324583,0.677507921,0.27921033,-0.392111639,3.03444224,2.16089841,3.37475279,0.214280139,-0.419444335,2.50585323,1.3194383,1.0535165
1.49548835,-3.34270323,3.08420976,0.523801195,0.19152732,-0.388547639,3.21116404,1.99869175,3.55881680,0.182576016,-0.439780021,2.48528216,1.0814549,0.9859556
1.74473641,-3.31868713,2.83614883,-0.037798208,0.10614558,-0.305671048,3.39656229,1.76128272,3.74596995,0.138891240,-0.701412606,2.41755590,1.0013252,0.9685778
1.99398447,-3.29229288,2.58830211,-0.011622175,0.04372745,-0.181898217,3.57489409,1.39796992,3.91831444,0.079696139,-0.905152578,2.22640770,1.0256040,0.9580713
2.24323253,-3.26663392,2.34037840,-0.012755044,0.00846803,-0.098570863,3.73462343,0.91579111,4.06262914,0.019851273,-0.827302121,1.94888006,1.0018018,0.9461397
2.49248059,-3.24175602,2.09237510,-0.012754143,-0.01028968,-0.051573397,3.87514228,0.40704301,4.17636717,-0.022098904,-0.441187033,1.50255461,0.9807628,0.9328799
2.74172864,-3.21768080,1.84429259,-0.013296856,-0.02117005,-0.035688288,3.99188014,-0.01497883,4.24735802,-0.042803963,-0.208109239,0.72400501,0.9770825,0.9188893
2.99097670,-3.19442977,1.59613149,-0.013769185,-0.03100143,-0.043187832,4.07425814,-0.33999368,4.24928261,-0.061980225,-0.414223842,-0.67594971,0.9750029,1.0298058
3.24022476,-3.17202712,1.34789236,-0.013703509,-0.04511661,-0.069997764,4.10349857,-0.65171414,4.14824260,-0.090899664,-0.533851716,-2.64099702,0.9735367,1.0697393
3.48947282,-3.15046848,1.09957878,-0.023714878,-0.06830005,-0.115633232,4.05812011,-0.98717694,3.94184299,-0.119905599,-0.413500224,-4.08367736,0.9741397,0.8761928
3.73872088,-3.13652052,0.85079488,-0.451110062,-0.09791087,-0.126589794,3.93238192,-1.29882066,3.67204869,-0.142850897,-0.333455183,-4.70749427,0.9669132,0.8598210
3.98796894,-3.15032609,0.60207183,-0.523407434,-0.12400557,-0.093568718,3.73770206,-1.55726559,3.37357489,-0.166051825,-0.415734750,-4.94092164,0.9878037,0.8290838
4.23721700,-3.19626486,0.35727048,-0.564028809,-0.14250729,-0.065928439,3.48684225,-1.79462137,3.05600182,-0.198604219,-0.593010693,-4.94379411,1.0061600,0.7842596
4.48646505,-3.27590627,0.12129107,-0.574927728,-0.15648680,-0.056488998,3.18886977,-2.06020716,2.72520175,-0.246762153,-0.803573111,-4.71491097,1.0717035,1.0663307
4.73571311,-3.38826991,-0.10098307,-0.551859328,-0.17235900,-0.083684381,2.85798176,-2.37984355,2.41963101,-0.310799935,-0.894363551,-3.47549163,1.1337454,2.2929562
4.98496117,-3.52992264,-0.30586917,-0.501713165,-0.20069389,-0.166854851,2.56029274,-2.70863963,2.31092663,-0.372700681,-0.596677244,0.65139589,1.2214844,3.6522424
5.23420923,-3.69598509,-0.49156881,-0.437639818,-0.25500862,-0.309783905,2.41395535,-2.90210586,2.44274097,-0.388069215,0.230893694,2.13677441,1.3645005,3.8537027
5.48345729,-3.88477547,-0.65386198,-0.934971397,-0.32589871,-0.388351387,2.43746595,-2.86052074,2.63617156,-0.349735507,0.708549267,2.35697496,1.6275715,4.5522694
5.73270535,-4.10568313,-0.76756034,-1.369330273,-0.37848227,-0.277982647,2.52233182,-2.70411126,2.78227360,-0.309999168,0.505881526,2.24517149,2.3012200,3.6879959
5.98195340,-4.35117266,-0.80221213,-1.486318713,-0.39763452,-0.039607773,2.60063534,-2.57852579,2.88069529,-0.292438993,0.256892103,2.18461501,2.1200710,1.3411709
6.23120146,-4.59287850,-0.74666111,-1.622529734,-0.38772511,0.252566149,2.67221149,-2.50143093,2.96276226,-0.285763826,0.091600315,2.19523905,2.2336423,1.4676154
6.48044952,-4.79434171,-0.60278567,-1.562655628,-0.34051252,0.544152261,2.75811952,-2.45551245,3.06266937,-0.280287784,0.155383897,2.45602189,1.8389337,3.4207272
6.72969758,-4.92877986,-0.39409088,-1.049406629,-0.22389525,0.706273431,2.90772799,-2.38349517,3.24014593,-0.254010544,0.520601445,2.70970401,1.3823482,2.9545664
6.97894564,-5.00976263,-0.15853789,-0.025634583,-0.05200244,0.629027772,3.13109630,-2.20706452,3.49262609,-0.207809170,0.483418112,2.76036668,1.2432719,2.9099128
7.22819370,-5.08101054,0.08030762,-0.055772942,0.09891515,0.448875723,3.36535120,-1.97925682,3.74069830,-0.171508873,0.303326446,2.71904892,1.1844372,2.9556698
7.47744176,-5.14891295,0.32012625,-0.055934099,0.20030000,0.314731021,3.57388476,-1.78688874,3.95245855,-0.145828749,0.354437767,2.67997968,1.1226867,0.9041122
7.72668981,-5.21346769,0.56086756,-0.056245479,0.26793379,0.207311744,3.76414355,-1.60548744,4.14249155,-0.119773987,0.375953010,2.63962926,1.0743805,0.8922183
7.97593787,-5.27463943,0.80249061,-0.056576643,0.30992798,0.120745801,3.94076066,-1.40336263,4.31729170,-0.093388256,0.415690624,2.59598852,1.0302780,0.9164863
8.22518593,-5.33239632,1.04495259,-0.056790465,0.33205705,0.053051807,4.10660117,-1.17341062,4.48031218,-0.066779149,0.424200001,2.54728471,0.9903952,0.9355460
8.47443399,-5.38670750,1.28820956,-0.057131739,0.33922465,0.003345938,4.26338431,-0.92526237,4.63343181,-0.043146363,0.352314582,2.49171154,0.9546814,0.9510793
8.72368205,-5.43754618,1.53221587,-0.057374598,0.33587295,-0.029723539,4.41207082,-0.68634116,4.77759005,-0.025751006,0.239456464,2.42717525,0.9229707,0.9638574
8.97293011,-5.48488735,1.77692479,-0.057875846,0.32591227,-0.048663529,4.55314146,-0.48474159,4.91315217,-0.015034773,0.136786274,2.35139424,0.8948631,0.9734842
9.22217817,-5.52870799,2.02228858,-0.057345971,0.31249838,-0.056931322,4.68677360,-0.33540071,5.04011292,-0.009844732,0.050566819,2.26140624,0.8700291,0.9806417
9.47142622,-5.56899002,2.26825807,-0.058095581,0.29790516,-0.058013340,4.81299619,-0.24163646,5.15826687,-0.009084057,-0.023127932,2.15437892,0.8486260,0.9827740
9.72067428,-5.60571431,2.51478383,-0.057698894,0.28355245,-0.055125682,4.93171280,-0.20088952,5.26721510,-0.011760200,-0.080315158,2.02559783,0.8311928,0.9813074
9.96992234,-5.63886934,2.76181494,-0.058338922,0.27009710,-0.051034033,5.04268198,-0.20695836,5.36632537,-0.016784661,-0.117702363,1.87010617,0.8179827,0.9770478
10.21917040,-5.66844242,3.00930041,-0.058050564,0.25756793,-0.047899179,5.14549673,-0.25062581,5.45468409,-0.023049765,-0.134355610,1.68025704,0.8089480,0.9698390
10.46841846,-5.69442160,3.25718890,-0.071751182,0.24570924,-0.045665795,5.23966216,-0.32089505,5.53118222,-0.029583831,-0.133207394,1.45057148,0.8038695,0.9597980
10.71766652,-5.71594402,3.50550180,-0.084754290,0.23436248,-0.043649527,5.32436309,-0.40650489,5.59414874,-0.035696403,-0.120743315,1.16431298,0.8033036,0.9445335
10.96691458,-5.73222128,3.75421364,-0.084758454,0.22322655,-0.043951096,5.39811747,-0.49748919,5.64088786,-0.041054790,-0.105042325,0.80348649,0.8081542,0.9241510
11.21616263,-5.74323747,4.00321396,-0.084948742,0.21152642,-0.048168507,5.45901728,-0.58682247,5.66815377,-0.045659908,-0.091625508,0.35875809,0.8183236,0.9009413
11.46541069,-5.74897892,4.25239172,-0.085104064,0.19829439,-0.056097105,5.50477663,-0.67085179,5.67239750,-0.049697723,-0.082664279,-0.17795498,0.8318178,0.8709974
11.71465875,-5.74944038,4.50163518,-0.084722582,0.18261492,-0.067560744,5.53263350,-0.74849380,5.65001535,-0.053414388,-0.078976922,-0.79730202,0.8531196,0.8395490
11.96390681,-5.74462941,4.75083265,-0.084678828,0.16361902,-0.082384174,5.53955633,-0.82035663,5.59832520,-0.057066139,-0.080446173,-1.45987297,0.8804582,0.8259987
12.21315487,-5.73456035,4.99987312,-0.084730350,0.14047891,-0.100425961,5.52269678,-0.88798923,5.51670264,-0.060891203,-0.086446395,-2.10071787,0.9138976,0.8327051
12.46240293,-5.71925753,5.24864689,-0.083937939,0.11236900,-0.121832399,5.47998831,-0.95329379,5.40703261,-0.065092393,-0.095870618,-2.65738398,0.9535272,0.8392702
12.71165099,-5.69875431,5.49704616,-0.083130161,0.07840370,-0.146918090,5.41058937,-1.01806096,5.27300569,-0.069814015,-0.106860710,-3.09646254,0.9990626,0.8503913
12.96089904,-5.67309378,5.74496580,-0.082885379,0.03761210,-0.175975426,5.31493154,-1.08363073,5.11892262,-0.075148780,-0.118476781,-3.41211188,1.0503153,0.8795824
13.21014710,-5.64232494,5.99230347,-0.082019189,-0.01109386,-0.209527724,5.19446357,-1.15139023,4.94899001,-0.081341417,-0.137202627,-3.60805132,1.1073162,0.9110863
13.45939516,-5.60650645,6.23896056,-0.080955617,-0.06900585,-0.248417627,5.05135974,-1.22419621,4.76738822,-0.088924195,-0.166751167,-3.68165461,1.1700539,0.9369476
13.70864322,-5.56570298,6.48484222,-0.079956133,-0.13771139,-0.293652228,4.88849039,-1.30232247,4.57918542,-0.097184557,-0.153372788,-3.60740117,1.2301693,0.9625673
13.95789128,-5.52000938,6.72986230,-0.088605640,-0.21888949,-0.344927303,4.71036430,-1.37764591,4.39344509,-0.104653673,-0.124396844,-3.29086970,1.2415935,1.0286775
14.20713934,-5.46330587,6.97247880,-0.499602847,-0.30088866,-0.345301207,4.53779262,-1.43960911,4.23464974,-0.111750993,-0.147937175,-2.74533365,1.2427113,1.0807116
14.45638739,-5.37722553,7.20620208,-0.587324707,-0.36710316,-0.280110491,4.38800344,-1.49121511,4.11503762,-0.119421995,-0.172717326,-2.22364791,1.2923695,1.1023333
14.70563545,-5.25809619,7.42488236,-0.640872034,-0.41335827,-0.195390378,4.26024634,-1.54096347,4.02643021,-0.127121517,-0.168670528,-1.69129308,1.3056773,1.1089951
