s_ref_m,x_ref_m,y_ref_m,kappa_ref,ey_m,epsi_rad,u_mps,r_radps,target_mps,delta_rad,qdelta_radps,qv_mps2,left_m,right_m
0.00000000,-2.60758600,4.24238400,0.652952237,-0.46412187,0.212120488,2.50984762,2.64387454,2.81164455,0.306967720,-0.491775992,2.31359700,1.8809450,2.7972800
0.24924806,-2.83620324,4.14392180,0.868901051,-0.37042157,0.342277764,2.78820733,2.31513433,3.11445544,0.246710284,-0.442617745,2.38888875,1.6842864,2.6606096
0.49849612,-3.03813500,3.99880229,1.083463814,-0.25276262,0.356278474,3.05894559,2.03040544,3.39419041,0.193462023,-0.460880863,2.34980262,1.4598132,2.0800596
0.74774418,-3.19476339,3.80588364,1.105593624,-0.15265555,0.276152662,3.29338328,1.75159613,3.62586396,0.149162607,-0.408137204,2.21449574,1.3260109,1.5947621
0.99699223,-3.29405840,3.57795275,0.916393012,-0.08949819,0.162595090,3.48526156,1.48185729,3.80745478,0.112359628,-0.459338422,2.03992857,1.3776814,1.2203800
1.24624029,-3.33942247,3.33324583,0.677507921,-0.05914887,0.064446344,3.64558095,1.19311281,3.95385985,0.073583747,-0.583412320,1.86792718,1.3194383,1.0535165
1.49548835,-3.34270323,3.08420976,0.523801195,-0.05261663,-0.014086649,3.78504944,0.84919289,4.07749513,0.031657320,-0.625661135,1.69016638,1.0814549,0.9859556
1.74473641,-3.31868713,2.83614883,-0.037798208,-0.05824665,-0.030880297,3.90699437,0.47340530,4.18073004,-0.003724228,-0.445970750,1.44894320,1.0013252,0.9685778
1.99398447,-3.29229288,2.58830211,-0.011622175,-0.06273032,-0.005201346,4.01248900,0.14407082,4.26380735,-0.021278583,-0.106853090,1.19228426,1.0256040,0.9580713
2.24323253,-3.26663392,2.34037840,-0.012755044,-0.06333741,0.000337001,4.10258902,-0.06407222,4.32723445,-0.020808056,0.125899551,0.87154907,1.0018018,0.9461397
2.49248059,-3.24175602,2.09237510,-0.012754143,-0.06360530,-0.002474345,4.17582012,-0.13442808,4.36792509,-0.011690648,0.177433395,0.47753452,0.9807628,0.9328799
2.74172864,-3.21768080,1.84429259,-0.013296856,-0.06476006,-0.006801772,4.22990186,-0.11966682,4.38226187,-0.005084167,0.043107882,0.00289561,0.9770825,0.9188893
2.99097670,-3.19442977,1.59613149,-0.013769185,-0.06687452,-0.010199608,4.26184650,-0.11011525,4.36632132,-0.010748347,-0.239040193,-0.54957565,0.9750029,1.0298058
3.24022476,-3.17202712,1.34789236,-0.013703509,-0.07005532,-0.015381750,4.26814640,-0.18449476,4.31646766,-0.029616772,-0.408483733,-1.16081971,0.9735367,1.0697393
3.48947282,-3.15046848,1.09957878,-0.023714878,-0.07525913,-0.026484036,4.24511854,-0.35492763,4.23040108,-0.052324553,-0.368679729,-1.78444509,0.9741397,0.8761928
3.73872088,-3.13652052,0.85079488,-0.451110062,-0.07783555,0.006064858,4.19095713,-0.56738082,4.11033836,-0.070792850,-0.267295133,-2.36719535,0.9669132,0.8598210
3.98796894,-3.15032609,0.60207183,-0.523407434,-0.06646258,0.088650075,4.10410644,-0.77140358,3.95857179,-0.085477219,-0.238569883,-2.85742879,0.9878037,0.8290838
4.23721700,-3.19626486,0.35727048,-0.564028809,-0.03464955,0.171733399,3.98045071,-0.96029474,3.77222399,-0.101290400,-0.282733473,-3.29152854,1.0061600,0.7842596
4.48646505,-3.27590627,0.12129107,-0.574927728,0.01792223,0.244734217,3.81320075,-1.15387837,3.54516449,-0.122476419,-0.365101569,-3.66792389,1.0717035,1.0663307
4.73571311,-3.38826991,-0.10098307,-0.551859328,0.08888663,0.293807973,3.59325221,-1.37898608,3.27083552,-0.152366918,-0.462163534,-3.94153227,1.1337454,2.2929562
4.98496117,-3.52992264,-0.30586917,-0.501713165,0.17059318,0.302091784,3.31355069,-1.66220676,2.94897993,-0.196379932,-0.623248942,-4.02887333,1.2214844,3.6522424
5.23420923,-3.69598509,-0.49156881,-0.437639818,0.24818639,0.251247830,2.97466924,-2.03508521,2.58688766,-0.263720033,-0.853673356,-3.95859927,1.3645005,3.8537027
5.48345729,-3.88477547,-0.65386198,-0.934971397,0.31059717,0.166636247,2.58597023,-2.52557636,2.27481718,-0.357230926,-0.834010157,-1.90422263,1.6275715,4.5522694
5.73270535,-4.10568313,-0.76756034,-1.369330273,0.34915094,0.063851879,2.31383504,-2.90985325,2.29024544,-0.409985648,-0.003100688,1.73168759,2.3012200,3.6879959
5.98195340,-4.35117266,-0.80221213,-1.486318713,0.35277657,-0.040670008,2.37300247,-2.87039925,2.62103720,-0.362064839,0.602568724,2.41819303,2.1200710,1.3411709
6.23120146,-4.59287850,-0.74666111,-1.622529734,0.33234150,-0.064675766,2.66609898,-2.53842005,2.99911470,-0.280069680,0.474465520,2.57007868,2.2336423,1.4676154
6.48044952,-4.79434171,-0.60278567,-1.562655628,0.32230386,0.012356018,2.98989815,-2.19719730,3.34578215,-0.216191384,0.477405313,2.58519937,1.8389337,3.4207272
6.72969758,-4.92877986,-0.39409088,-1.049406629,0.34264613,0.104522807,3.27821450,-1.84638207,3.63849170,-0.152374451,0.654680815,2.52133004,1.3823482,2.9545664
6.97894564,-5.00976263,-0.15853789,-0.025634583,0.37178042,0.089147433,3.49896095,-1.48220566,3.85294108,-0.101255094,0.475989258,2.31492396,1.2432719,2.9099128
7.22819370,-5.08101054,0.08030762,-0.055772942,0.38372247,0.005503924,3.67069534,-1.16323595,4.01504342,-0.070782185,0.383563035,2.26687027,1.1844372,2.9556698
7.47744176,-5.14891295,0.32012625,-0.055934099,0.37803438,-0.050239360,3.82986280,-0.88253335,4.16695121,-0.046523685,0.329605017,2.20494155,1.1226867,0.9041122
7.72668981,-5.21346769,0.56086756,-0.056245479,0.36068386,-0.086024692,3.97841764,-0.63675683,4.30875507,-0.026886918,0.270528586,2.13513592,1.0743805,0.8922183
