s_ref_m,x_ref_m,y_ref_m,kappa_ref,ey_m,epsi_rad,u_mps,r_radps,target_mps,delta_rad,qdelta_radps,qv_mps2,left_m,right_m
0.00000000,-2.60758600,4.24238400,0.652952237,0.62446670,-0.749998953,0.94292931,1.42003135,0.79403298,0.523592595,-0.961857047,-2.11615979,1.8809450,2.7972800
0.24924806,-2.83620324,4.14392180,0.868901051,0.50102239,-0.660616174,0.80004563,1.14124358,0.90170756,0.286823833,-1.201768081,2.99893150,1.6842864,2.6606096
0.49849612,-3.03813500,3.99880229,1.083463814,0.38523969,-0.699537060,1.02065314,0.83102991,1.29412726,0.330328667,1.907796122,0.62768767,1.4598132,2.0800596
0.74774418,-3.19476339,3.80588364,1.105593624,0.24110315,-0.737477028,1.30821345,1.66961062,1.48555032,0.514883602,0.076071681,1.40963562,1.3260109,1.5947621
0.99699223,-3.29405840,3.57795275,0.916393012,0.07670004,-0.612229349,1.55392946,2.41058179,1.79485087,0.497917311,-0.265031106,1.93429948,1.3776814,1.2203800
1.24624029,-3.33942247,3.33324583,0.677507921,-0.06000634,-0.403325471,1.84920881,2.46437674,2.13487584,0.401797715,-0.943883268,2.14801824,1.3194383,1.0535165
1.49548835,-3.34270323,3.08420976,0.523801195,-0.14724686,-0.233307154,2.13538505,2.04011158,2.43829284,0.240804936,-1.377742292,2.16097640,1.0814549,0.9859556
1.74473641,-3.31868713,2.83614883,-0.037798208,-0.19067313,-0.092898689,2.38054160,1.32489147,2.68210672,0.096360478,-1.061785821,1.99594568,1.0013252,0.9685778
1.99398447,-3.29229288,2.58830211,-0.011622175,-0.20039460,0.014521797,2.58506934,0.66740811,2.87554015,0.019758678,-0.440267810,1.85537679,1.0256040,0.9580713
2.24323253,-3.26663392,2.34037840,-0.012755044,-0.19111648,0.060034155,2.76410533,0.23016499,3.04026407,-0.008765444,-0.163043336,1.67510649,1.0018018,0.9461397
2.49248059,-3.24175602,2.09237510,-0.012754143,-0.17443605,0.073916009,2.91999100,0.00777635,3.17794108,-0.014698462,0.033098847,1.45664013,0.9807628,0.9328799
2.74172864,-3.21768080,1.84429259,-0.013296856,-0.15595879,0.074394864,3.05352461,-0.07589792,3.28919613,-0.012215494,0.026189197,1.20109965,0.9770825,0.9188893
2.99097670,-3.19442977,1.59613149,-0.013769185,-0.13791217,0.070447914,3.16486727,-0.10711201,3.37433831,-0.014563473,-0.086740123,0.91591875,0.9750029,1.0298058
3.24022476,-3.17202712,1.34789236,-0.013703509,-0.12123775,0.063387526,3.25372600,-0.16348323,3.43271662,-0.026519014,-0.222834324,0.58177467,0.9735367,1.0697393
3.48947282,-3.15046848,1.09957878,-0.023714878,-0.10688325,0.051900374,3.31991849,-0.26368437,3.46684156,-0.039939730,-0.130229143,0.31562945,0.9741397,0.8761928
3.73872088,-3.13652052,0.85079488,-0.451110062,-0.08986618,0.088083477,3.36232559,-0.36708057,3.47132246,-0.047210780,-0.066897631,-0.20596776,0.9669132,0.8598210
3.98796894,-3.15032609,0.60207183,-0.523407434,-0.05722083,0.180697615,3.38059053,-0.43268574,3.45308286,-0.047267945,0.064125812,-0.29946955,0.9878037,0.8290838
4.23721700,-3.19626486,0.35727048,-0.564028809,0.00103318,0.282303776,3.37606472,-0.47286568,3.41273305,-0.050923331,-0.155664377,-0.76612220,1.0061600,0.7842596
4.48646505,-3.27590627,0.12129107,-0.574927728,0.09017425,0.384044571,3.34667998,-0.52111867,3.34926978,-0.057478089,-0.013450908,-0.80480730,1.0717035,1.0663307
4.73571311,-3.38826991,-0.10098307,-0.551859328,0.21511013,0.476497527,3.28758089,-0.54389432,3.25619632,-0.053840180,0.088135723,-1.23782655,1.1337454,2.2929562
4.98496117,-3.52992264,-0.30586917,-0.501713165,0.37848522,0.552423566,3.18815135,-0.53839372,3.11640355,-0.056023592,-0.116939498,-1.47729291,1.2214844,3.6522424
5.23420923,-3.69598509,-0.49156881,-0.437639818,0.57738173,0.602964167,3.03029844,-0.59326814,2.90935197,-0.073291344,-0.173918260,-2.01977695,1.3645005,3.8537027
5.48345729,-3.88477547,-0.65386198,-0.934971397,0.84421975,0.620466782,2.69064284,-1.14319635,2.46512864,-0.191321310,-1.051913615,-3.12074914,1.6275715,4.5522694
5.73270535,-4.10568313,-0.76756034,-1.369330273,1.14511394,0.416398921,2.19557266,-2.35146969,2.07560028,-0.393330893,-0.595148796,-0.44946130,2.3012200,3.6879959
5.98195340,-4.35117266,-0.80221213,-1.486318713,1.25512989,-0.088048409,2.17472372,-2.94536064,2.40211972,-0.414491030,0.447060721,2.41527704,2.1200710,1.3411709
6.23120146,-4.59287850,-0.74666111,-1.622529734,1.04149902,-0.497639202,2.78090970,-2.27060564,3.16113084,-0.224808682,0.845477554,2.63046983,2.2336423,1.4676154
6.48044952,-4.79434171,-0.60278567,-1.562655628,0.71202463,-0.510279010,3.38397081,-1.10027158,3.74704881,-0.048556907,0.675922608,2.52419054,1.8389337,3.4207272
6.72969758,-4.92877986,-0.39409088,-1.049406629,0.50626560,-0.296930846,3.74086811,-0.26382236,4.09068227,0.008933205,-0.052054190,2.22257738,1.3823482,2.9545664
6.97894564,-5.00976263,-0.15853789,-0.025634583,0.42522055,-0.177919512,3.94189783,-0.02741619,4.26483481,0.001055116,-0.157090291,1.71168910,1.2432719,2.9099128
7.22819370,-5.08101054,0.08030762,-0.055772942,0.38079883,-0.169393287,4.07559482,-0.02300551,4.37242584,-0.004214295,-0.005312413,1.64162416,1.1844372,2.9556698
7.47744176,-5.14891295,0.32012625,-0.055934099,0.33887274,-0.157433214,4.19286416,-0.04019079,4.47180463,-0.004725853,-0.011193509,1.54474875,1.1226867,0.9041122
7.72668981,-5.21346769,0.56086756,-0.056245479,0.30006176,-0.146135390,4.29763729,-0.04864815,4.56208741,-0.004132442,0.031426057,1.43974980,1.0743805,0.8922183
7.97593787,-5.27463943,0.80249061,-0.056576643,0.26425422,-0.134805582,4.39225462,-0.04406400,4.64353079,-0.001909289,0.044267841,1.32584947,1.0302780,0.9164863
8.22518593,-5.33239632,1.04495259,-0.056790465,0.23149900,-0.122929105,4.47791384,-0.03418468,4.71627436,-0.001698910,-0.037876309,1.20419306,0.9903952,0.9355460
8.47443399,-5.38670750,1.28820956,-0.057131739,0.20189434,-0.110640265,4.55523357,-0.03366510,4.78035526,-0.003172671,-0.014281329,1.07269693,0.9546814,0.9510793
8.72368205,-5.43754618,1.53221587,-0.057374598,0.17549584,-0.098142033,4.62450413,-0.03051487,4.83568636,-0.000744410,0.103318068,0.93093897,0.9229707,0.9638574
8.97293011,-5.48488735,1.77692479,-0.057875846,0.15242876,-0.084691605,4.68581070,-0.00289359,4.88217050,0.004721726,0.098050440,0.78067867,0.8948631,0.9734842
9.22217817,-5.52870799,2.02228858,-0.057345971,0.13299759,-0.069630032,4.73911616,0.02936855,4.91966534,0.004584819,-0.104553431,0.62018966,0.8700291,0.9806417
