s_ref_m,x_ref_m,y_ref_m,kappa_ref,ey_m,epsi_rad,u_mps,r_radps,target_mps,delta_rad,qdelta_radps,qv_mps2,left_m,right_m
0.00000000,-2.60758600,4.24238400,0.652952237,-1.21979016,0.340730370,2.55966598,2.34537226,2.86791022,0.268197620,-0.419444405,2.14319401,1.8809450,2.7972800
0.24924806,-2.83620324,4.14392180,0.868901051,-0.99701951,0.551043873,2.96027142,1.99351649,3.28067221,0.208002269,-0.232888219,2.32249908,1.6842864,2.6606096
0.49849612,-3.03813500,3.99880229,1.083463814,-0.69698157,0.623823649,3.34719680,1.66636183,3.67972539,0.141787741,-0.544677849,2.30786349,1.4598132,2.0800596
0.74774418,-3.19476339,3.80588364,1.105593624,-0.42889366,0.549224488,3.66035499,1.13245682,3.98509627,0.059540860,-0.639534150,2.06291463,1.3260109,1.5947621
0.99699223,-3.29405840,3.57795275,0.916393012,-0.25580662,0.386736140,3.87532392,0.57814051,4.17643378,0.008409088,-0.330904993,1.67094624,1.3776814,1.2203800
1.24624029,-3.33942247,3.33324583,0.677507921,-0.16313372,0.220196229,4.02241065,0.22568869,4.29391779,-0.006344520,-0.034651000,1.32632692,1.3194383,1.0535165
1.49548835,-3.34270323,3.08420976,0.523801195,-0.12153554,0.079732336,4.13212698,0.04833070,4.37501235,-0.008270128,-0.014254003,1.07984237,1.0814549,0.9859556
1.74473641,-3.31868713,2.83614883,-0.037798208,-0.10839505,0.019169393,4.21754646,-0.04435171,4.43310276,-0.012224306,-0.107045882,0.79946433,1.0013252,0.9685778
1.99398447,-3.29229288,2.58830211,-0.011622175,-0.10352792,0.020375783,4.28495585,-0.11864851,4.47460645,-0.018841959,-0.119825573,0.62038144,1.0256040,0.9580713
2.24323253,-3.26663392,2.34037840,-0.012755044,-0.09922347,0.014306732,4.33898955,-0.18597060,4.50450123,-0.021474821,0.025272292,0.41231860,1.0018018,0.9461397
2.49248059,-3.24175602,2.09237510,-0.012754143,-0.09670945,0.005894838,4.38049069,-0.20655161,4.52161375,-0.014379501,0.215198230,0.18299338,0.9807628,0.9328799
2.74172864,-3.21768080,1.84429259,-0.013296856,-0.09617698,-0.001600486,4.40956164,-0.16018176,4.52523908,-0.003455376,0.159001489,-0.06032415,0.9770825,0.9188893
2.99097670,-3.19442977,1.59613149,-0.013769185,-0.09710427,-0.005766050,4.42598258,-0.09950545,4.51502191,-0.002492928,-0.133923956,-0.31022137,0.9750029,1.0298058
3.24022476,-3.17202712,1.34789236,-0.013703509,-0.09884898,-0.008106700,4.42941721,-0.10399069,4.49071319,-0.014039188,-0.280074018,-0.56582386,0.9735367,1.0697393
3.48947282,-3.15046848,1.09957878,-0.023714878,-0.10131442,-0.011566571,4.41943348,-0.18889106,4.45191646,-0.027702438,-0.205509099,-0.82840015,0.9741397,0.8761928
3.73872088,-3.13652052,0.85079488,-0.451110062,-0.09872234,0.034316381,4.39611317,-0.30297804,4.39820246,-0.036280341,-0.101319624,-1.14102680,0.9669132,0.8598210
3.98796894,-3.15032609,0.60207183,-0.523407434,-0.07838385,0.136827430,4.35877170,-0.40125252,4.32966767,-0.040463511,-0.049757614,-1.38530317,0.9878037,0.8290838
4.23721700,-3.19626486,0.35727048,-0.564028809,-0.03131880,0.247963381,4.30496623,-0.47167646,4.24449684,-0.042377089,-0.016423014,-1.63419397,1.0061600,0.7842596
4.48646505,-3.27590627,0.12129107,-0.574927728,0.04741215,0.360285012,4.23013187,-0.51029263,4.13602044,-0.041791483,0.035681557,-1.92524934,1.0717035,1.0663307
4.73571311,-3.38826991,-0.10098307,-0.551859328,0.16354590,0.466436743,4.12534357,-0.50458859,3.99143593,-0.036858423,0.107628121,-2.30646628,1.1337454,2.2929562
4.98496117,-3.52992264,-0.30586917,-0.501713165,0.32246538,0.560772588,3.97492981,-0.44861846,3.78988397,-0.030108069,0.056371397,-2.80641515,1.2214844,3.6522424
5.23420923,-3.69598509,-0.49156881,-0.437639818,0.52699048,0.638687510,3.75309001,-0.42867365,3.50185980,-0.039544005,-0.311631516,-3.39425929,1.3645005,3.8537027
5.48345729,-3.88477547,-0.65386198,-0.934971397,0.82938927,0.709717606,3.27918560,-0.98482645,2.86969561,-0.144108124,-1.095643387,-5.34373906,1.6275715,4.5522694
5.73270535,-4.10568313,-0.76756034,-1.369330273,1.21021555,0.548318171,2.44675079,-2.40747546,2.14095257,-0.372470975,-0.887867112,-1.72184220,2.3012200,3.6879959
5.98195340,-4.35117266,-0.80221213,-1.486318713,1.39598880,-0.004321221,2.14089628,-3.10215883,2.31355925,-0.434503268,0.419344645,2.49386668,2.1200710,1.3411709
6.23120146,-4.59287850,-0.74666111,-1.622529734,1.18983605,-0.505279805,2.75264147,-2.38183136,3.15300778,-0.243868896,0.742789871,2.69325375,2.2336423,1.4676154
6.48044952,-4.79434171,-0.60278567,-1.562655628,0.81856493,-0.566964016,3.42901646,-1.17782806,3.80031116,-0.053681656,0.828294723,2.59664922,1.8389337,3.4207272
6.72969758,-4.92877986,-0.39409088,-1.049406629,0.57329692,-0.362724243,3.81467522,-0.20073808,4.17036285,0.026451418,0.141626394,2.24771897,1.3823482,2.9545664
6.97894564,-5.00976263,-0.15853789,-0.025634583,0.46989084,-0.235240130,4.02131668,0.16669225,4.34785979,0.030103895,-0.085574872,1.70717940,1.2432719,2.9099128
7.22819370,-5.08101054,0.08030762,-0.055772942,0.41287118,-0.212460014,4.15413520,0.25090277,4.45331207,0.025025136,-0.072388269,1.63715499,1.1844372,2.9556698
7.47744176,-5.14891295,0.32012625,-0.055934099,0.36207107,-0.182526487,4.27056454,0.26598147,4.55103223,0.020402325,-0.075995974,1.54070410,1.1226867,0.9041122
7.72668981,-5.21346769,0.56086756,-0.056245479,0.31917052,-0.152478079,4.37419340,0.24504177,4.63964612,0.015279128,-0.087521863,1.43344200,1.0743805,0.8922183
