bag_time,time,status,level,closest_point_dist_m,command_speed_mps,command_steering_rad,drivable_gap_count,emergency_stop,forward_clearance_m,gap_0_deepest_angle,gap_0_end_angle,gap_0_max_clearance,gap_0_mean_clearance,gap_0_score,gap_0_start_angle,gap_0_weighted_center,gap_0_width,gap_1_deepest_angle,gap_1_end_angle,gap_1_max_clearance,gap_1_mean_clearance,gap_1_score,gap_1_start_angle,gap_1_weighted_center,gap_1_width,no_path,rate_limited_steering,raw_steering,raw_target_angle,selected_gap_deepest_angle,selected_gap_end_angle,selected_gap_max_clearance,selected_gap_mean_clearance,selected_gap_score,selected_gap_start_angle,selected_gap_weighted_center,selected_gap_width,smoothed_target_angle,source_stamp_s,trajectory_collision_free,trajectory_free_distance_m,trajectory_min_clearance_m
1788889295.2252216,1788889295.225079,gap_selected,b'\x00',0.859705,0.260000,0.080000,2.000000,0.000000,1.500000,-0.187618,-0.187618,3.553137,1.117041,13.048916,-2.356190,-0.883481,2.168572,0.087271,2.229663,7.947262,1.625318,45.023596,0.087271,0.552502,2.142392,0.000000,0.080000,0.174533,0.319886,0.087271,2.229663,7.947262,1.625318,45.023596,0.087271,0.552502,2.142392,0.319886,1788888669.913157,0.000000,1.500000,0.000000
1788889295.2303114,1788889295.2302542,gap_selected,b'\x00',0.859705,0.260000,0.174533,2.000000,0.000000,1.500000,-0.187618,-0.187618,3.553133,1.117041,13.048894,-2.356190,-0.883481,2.168572,0.087271,2.229663,7.947273,1.625318,45.023690,0.087271,0.552502,2.142392,0.000000,0.174533,0.174533,0.319886,0.087271,2.229663,7.947273,1.625318,45.023690,0.087271,0.552502,2.142392,0.319886,1788888669.968623,0.000000,1.500000,0.000000
1788889295.2359726,1788889295.2359166,gap_selected,b'\x00',0.859705,0.260000,0.174533,2.000000,0.000000,1.500000,-0.187618,-0.187618,3.553141,1.117042,13.048939,-2.356190,-0.883481,2.168572,0.087271,2.229663,7.947252,1.625317,45.023509,0.087271,0.552502,2.142392,0.000000,0.174533,0.174533,0.319887,0.087271,2.229663,7.947252,1.625317,45.023509,0.087271,0.552502,2.142392,0.319887,1788888670.018048,0.000000,1.500000,0.000000
1788889295.2410812,1788889295.2410328,gap_selected,b'\x00',0.859705,0.260000,0.174533,2.000000,0.000000,1.500000,-0.187618,-0.187618,3.553137,1.117041,13.048916,-2.356190,-0.883481,2.168572,0.087271,2.229663,7.947262,1.625318,45.023596,0.087271,0.552502,2.142392,0.000000,0.174533,0.174533,0.319886,0.087271,2.229663,7.947262,1.625318,45.023596,0.087271,0.552502,2.142392,0.319886,1788888670.065194,0.000000,1.500000,0.000000
1788889295.2463155,1788889295.2462335,gap_selected,b'\x00',0.859705,0.260000,0.174533,2.000000,0.000000,1.500000,-0.187618,-0.187618,3.553137,1.117041,13.048916,-2.356190,-0.883481,2.168572,0.087271,2.229663,7.947262,1.625318,45.023596,0.087271,0.552502,2.142392,0.000000,0.174533,0.174533,0.319886,0.087271,2.229663,7.947262,1.625318,45.023596,0.087271,0.552502,2.142392,0.319886,1788888670.113806,0.000000,1.500000,0.000000
1788889295.2517164,1788889295.2516458,gap_selected,b'\x00',0.859705,0.260000,0.174533,2.000000,0.000000,1.500000,-0.187618,-0.187618,3.553141,1.117042,13.048939,-2.356190,-0.883481,2.168572,0.087271,2.229663,7.947252,1.625317,45.023509,0.087271,0.552502,2.142392,0.000000,0.174533,0.174533,0.319887,0.087271,2.229663,7.947252,1.625317,45.023509,0.087271,0.552502,2.142392,0.319887,1788888670.163915,0.000000,1.500000,0.000000
1788889295.2572396,1788889295.2571971,gap_selected,b'\x00',0.859707,0.260000,0.174533,2.000000,0.000000,1.500000,-0.187618,-0.187618,3.553163,1.117046,13.049060,-2.356190,-0.883480,2.168572,0.087271,2.229663,7.947226,1.625312,45.023286,0.087271,0.552502,2.142392,0.000000,0.174533,0.174533,0.319887,0.087271,2.229663,7.947226,1.625312,45.023286,0.087271,0.552502,2.142392,0.319887,1788888670.213480,0.000000,1.500000,0.000000
1788889295.262849,1788889295.2627978,gap_selected,b'\x00',0.859713,0.260000,0.174533,2.000000,0.000000,1.500000,-0.187618,-0.187618,3.553194,1.117053,13.049231,-2.356190,-0.883480,2.168572,0.087271,2.229663,7.947195,1.625303,45.023024,0.087271,0.552502,2.142392,0.000000,0.174533,0.174533,0.319886,0.087271,2.229663,7.947195,1.625303,45.023024,0.087271,0.552502,2.142392,0.319886,1788888670.264156,0.000000,1.500000,0.000000
1788889295.2684877,1788889295.2684383,gap_selected,b'\x00',0.859719,0.260000,0.174533,2.000000,0.000000,1.500000,-0.187618,-0.187618,3.553227,1.117061,13.049412,-2.356190,-0.883480,2.168572,0.087271,2.229663,7.947164,1.625294,45.022763,0.087271,0.552501,2.142392,0.000000,0.174533,0.174533,0.319886,0.087271,2.229663,7.947164,1.625294,45.022763,0.087271,0.552501,2.142392,0.319886,1788888670.313330,0.000000,1.500000,0.000000
1788889295.2742283,1788889295.27415,gap_selected,b'\x00',0.859724,0.260000,0.174533,2.000000,0.000000,1.500000,-0.187618,-0.187618,3.553254,1.117068,13.049562,-2.356190,-0.883480,2.168572,0.087271,2.229663,7.947137,1.625287,45.022538,0.087271,0.552501,2.142392,0.000000,0.174533,0.174533,0.319886,0.087271,2.229663,7.947137,1.625287,45.022538,0.087271,0.552501,2.142392,0.319886,1788888670.363571,0.000000,1.500000,0.000000
