estimate_x_m,estimate_y_m,estimate_yaw_rad,position_error_m,r_error_radps,source_stamp_ns,topic,truth_x_m,truth_y_m,truth_yaw_rad,u_error_mps,v_error_mps
0.8,3.1595,-1.5707951467510224,0.0,0.0,1789377162533257941,/odom,0.8,3.1595,-1.5707951467510224,-0.008,0.0
0.8,3.1595,-1.5708075673524275,9.999999999976694e-05,0.0,1789377162557839644,/odom,0.8,3.1594,-1.5708075673524275,-0.0072,0.0
0.8,3.1595,-1.5708232285504986,0.00019999999999997797,0.0,1789377162583255163,/odom,0.8,3.1593,-1.5708232285504986,-0.0064,0.0
0.8,3.1595,-1.5708376500875127,0.00031622776601701374,0.0,1789377162607761535,/odom,0.8001,3.1592,-1.5708376500875127,-0.0057,0.0
0.8,3.1595,-1.570854032338027,0.00050990195135944,0.0,1789377162633655462,/odom,0.8001,3.159,-1.570854032338027,-0.005,0.0
0.8,3.1595,-1.5708669344881934,0.00050990195135944,0.0,1789377162658060093,/odom,0.8001,3.159,-1.5708669344881934,-0.0045,0.0
0.8,3.1595,-1.5708808371776408,0.000608276253029755,0.0,1789377162683632456,/odom,0.8001,3.1589,-1.5708808371776408,-0.0039,0.0
0.8,3.1595,-1.5708957404897996,0.0007071067811866894,0.0,1789377162708062395,/odom,0.8001,3.1588,-1.5708957404897996,-0.0035,0.0
0.8,3.1595,-1.5709083836477782,0.0008062257748297661,0.0,1789377162733455231,/odom,0.8001,3.1587,-1.5709083836477782,-0.0031,0.0
0.8,3.1595,-1.570635398240922,0.0008062257748297661,0.0,1789377162757833522,/odom,0.8001,3.1587,-1.570635398240922,-0.0027,0.0
0.8,3.1595,-1.5706491603678943,0.0009055385138138627,0.0,1789377162783345693,/odom,0.8001,3.1586,-1.5706491603678943,-0.0024,0.0
0.8,3.1595,-1.5706562816172374,0.0009055385138138627,0.0,1789377162808075504,/odom,0.8001,3.1586,-1.5706562816172374,-0.0021,0.0
