bag_time,time,status,level,closest_point_dist_m,command_speed_mps,command_steering_rad,drivable_gap_count,emergency_stop,forward_clearance_m,gap_0_deepest_angle,gap_0_end_angle,gap_0_max_clearance,gap_0_mean_clearance,gap_0_score,gap_0_start_angle,gap_0_weighted_center,gap_0_width,gap_1_deepest_angle,gap_1_end_angle,gap_1_max_clearance,gap_1_mean_clearance,gap_1_score,gap_1_start_angle,gap_1_weighted_center,gap_1_width,no_path,rate_limited_steering,raw_steering,raw_target_angle,selected_gap_deepest_angle,selected_gap_end_angle,selected_gap_max_clearance,selected_gap_mean_clearance,selected_gap_score,selected_gap_start_angle,selected_gap_weighted_center,selected_gap_width,smoothed_target_angle,source_stamp_s,trajectory_collision_free,trajectory_free_distance_m,trajectory_min_clearance_m
1788888589.20947,1788888589.2094057,gap_selected,b'\x00',0.912388,0.288000,0.104720,2.000000,0.000000,1.500000,-0.296701,-0.296701,7.156116,1.482284,19.512420,-1.413712,-0.618859,1.117011,-0.043629,1.409358,7.944145,1.862467,31.819426,-0.043629,0.265598,1.452987,0.000000,0.104720,0.104720,0.110985,-0.043629,1.409358,7.944145,1.862467,31.819426,-0.043629,0.265598,1.452987,0.110985,1788888202.281394,1.000000,1.500000,0.099295
1788888589.2152243,1788888589.2151632,gap_selected,b'\x00',0.918057,0.288000,0.104720,2.000000,0.000000,1.500000,-0.305428,-0.305428,7.242319,1.495068,19.679879,-1.413712,-0.625855,1.108284,-0.052355,1.409358,7.907495,1.846274,31.839491,-0.052355,0.258540,1.461713,0.000000,0.104720,0.104720,0.103092,-0.052355,1.409358,7.907495,1.846274,31.839491,-0.052355,0.258540,1.461713,0.103092,1788888202.381285,1.000000,1.500000,0.083061
1788888589.2209737,1788888589.2209184,gap_selected,b'\x00',0.920977,0.288000,0.104720,2.000000,0.000000,1.500000,-0.309791,-0.309791,7.286331,1.503575,19.767974,-1.413712,-0.628260,1.103921,-0.056719,1.409358,7.888606,1.838228,31.845324,-0.056719,0.255003,1.466077,0.000000,0.104720,0.104720,0.099142,-0.056719,1.409358,7.888606,1.838228,31.845324,-0.056719,0.255003,1.466077,0.099142,1788888202.430737,1.000000,1.500000,0.074882
1788888589.226763,1788888589.2267168,gap_selected,b'\x00',0.923955,0.288000,0.104720,2.000000,0.000000,1.500000,-0.322881,-0.322881,4.603108,1.477247,9.812391,-1.418076,-0.650951,1.095194,-0.061082,1.409358,7.869342,1.829796,31.848034,-0.061082,0.251558,1.470440,0.000000,0.104720,0.104720,0.095238,-0.061082,1.409358,7.869342,1.829796,31.848034,-0.061082,0.251558,1.470440,0.095238,1788888202.480409,1.000000,1.500000,0.066663
1788888589.2325807,1788888589.2325096,gap_selected,b'\x00',0.926990,0.288000,0.104720,2.000000,0.000000,1.500000,-0.327245,-0.327245,4.323934,1.480707,8.889223,-1.418076,-0.656238,1.090831,-0.065445,1.409358,7.849750,1.821552,31.848487,-0.065445,0.248017,1.474803,0.000000,0.104720,0.104720,0.091286,-0.065445,1.409358,7.849750,1.821552,31.848487,-0.065445,0.248017,1.474803,0.091286,1788888202.530502,1.000000,1.500000,0.058403
1788888589.2389653,1788888589.2388716,gap_selected,b'\x00',0.930083,0.302000,0.069813,2.000000,0.000000,1.500000,-0.331608,-0.331608,4.387728,1.489454,9.044312,-1.418076,-0.658521,1.086467,-0.069809,1.404995,7.829820,1.815963,31.754947,-0.069809,0.243662,1.474803,0.000000,0.069813,0.069813,0.086926,-0.069809,1.404995,7.829820,1.815963,31.754947,-0.069809,0.243662,1.474803,0.086926,1788888202.580477,1.000000,1.500000,0.219011
1788888589.2445936,1788888589.2445235,gap_selected,b'\x00',0.926050,0.302000,0.069813,2.000000,0.000000,1.500000,-0.335971,-0.335971,7.146795,1.526259,18.729346,-1.418076,-0.652147,1.082104,-0.082899,1.404995,7.989500,1.816406,33.111960,-0.082899,0.229487,1.487893,0.000000,0.069813,0.069813,0.073294,-0.082899,1.404995,7.989500,1.816406,33.111960,-0.082899,0.229487,1.487893,0.073294,1788888202.681768,1.000000,1.500000,0.201474
1788888589.2502532,1788888589.2501976,gap_selected,b'\x00',0.922861,0.302000,0.069813,2.000000,0.000000,1.500000,-0.340335,-0.340335,7.127757,1.532050,18.565066,-1.418076,-0.655468,1.077741,-0.087262,1.404995,8.006247,1.812081,33.342722,-0.087262,0.225093,1.492256,0.000000,0.069813,0.069813,0.068916,-0.087262,1.404995,8.006247,1.812081,33.342722,-0.087262,0.225093,1.492256,0.068916,1788888202.730749,1.000000,1.500000,0.193941
1788888589.2559109,1788888589.2558455,gap_selected,b'\x00',0.919647,0.302000,0.069813,2.000000,0.000000,1.500000,-0.340335,-0.340335,7.372912,1.558434,19.547007,-1.418076,-0.647305,1.077741,-0.087262,1.404995,7.837621,1.791354,32.285768,-0.087262,0.227921,1.492256,0.000000,0.069813,0.069813,0.070329,-0.087262,1.404995,7.837621,1.791354,32.285768,-0.087262,0.227921,1.492256,0.070329,1788888202.781357,1.000000,1.500000,0.187059
1788888589.2618098,1788888589.2617128,gap_selected,b'\x00',0.916365,0.302000,0.069813,2.000000,0.000000,1.500000,-0.344698,-0.344698,7.334697,1.560188,19.377170,-1.422439,-0.652258,1.077741,-0.091625,1.404995,7.869964,1.788102,32.609614,-0.091625,0.223447,1.496620,0.000000,0.069813,0.069813,0.065911,-0.091625,1.404995,7.869964,1.788102,32.609614,-0.091625,0.223447,1.496620,0.065911,1788888202.830785,1.000000,1.500000,0.180137
