estimate_x_m,estimate_y_m,estimate_yaw_rad,position_error_m,r_error_radps,source_stamp_ns,topic,truth_com_v_mps,truth_pose_u_mps,truth_pose_v_mps,truth_x_m,truth_y_m,truth_yaw_rad,u_error_mps,v_error_mps,v_error_mps_com
0.8001,3.159,-1.5708642740175818,0.0,0.0,1789417341657411966,/odom,0.0,,,0.8001,3.159,-1.5708642740175818,,,0.0
0.8001,3.159,-1.5708808371776408,9.999999999976694e-05,0.0,1789417341682411972,/odom,0.0,0.003999999028369252,3.0491513738306795e-07,0.8001,3.1589,-1.5708808371776408,-0.003999999028369252,-3.0491513738306795e-07,0.0
0.8001,3.159,-1.5708926797733445,0.00019999999999997797,0.0,1789417341707411958,/odom,0.0,0.004000002223653909,3.6172692445889493e-07,0.8001,3.1588,-1.5708926797733445,-0.004000002223653909,-3.6172692445889493e-07,0.0
0.8001,3.159,-1.5709083836477782,0.0002999999999997449,0.0,1789417341733411986,/odom,0.0,0.0038461496832554827,4.0078770482812957e-07,0.8001,3.1587,-1.5709083836477782,-0.0038461496832554827,-4.0078770482812957e-07,0.0
0.8001,3.159,-1.5709182863444078,0.0002999999999997449,0.0,1789417341758411958,/odom,0.0,-0.0,0.0,0.8001,3.1587,-1.5709182863444078,0.0,0.0,0.0
0.8001,3.159,-1.5706456597909444,0.00039999999999995595,0.0,1789417341782411981,/odom,0.0,0.004166662673194497,-5.980713943558576e-08,0.8001,3.1586,-1.5706456597909444,-0.004166662673194497,5.980713943558576e-08,0.0
0.8001,3.159,-1.5706562816172374,0.00039999999999995595,0.0,1789417341807411987,/odom,0.0,0.0,0.0,0.8001,3.1586,-1.5706562816172374,0.0,0.0,0.0
0.8001,3.159,-1.5706635629995556,0.00039999999999995595,0.0,1789417341833411980,/odom,0.0,0.0,0.0,0.8001,3.1586,-1.5706635629995556,0.0,0.0,0.0
0.8001,3.159,-1.5706747681434456,0.0004999999999997229,0.0,1789417341857411958,/odom,0.0,0.004166670452417413,-5.298389150732589e-07,0.8001,3.1585,-1.5706747681434456,-0.004166670452417413,5.298389150732589e-07,0.0
0.8001,3.159,-1.5706824509757393,0.0004999999999997229,0.0,1789417341883411992,/odom,0.0,0.0,0.0,0.8001,3.1585,-1.5706824509757393,0.0,0.0,0.0
0.8001,3.159,-1.5706863524592198,0.0004999999999997229,0.0,1789417341908411958,/odom,0.0,0.0,0.0,0.8001,3.1585,-1.5706863524592198,0.0,0.0,0.0
0.8001,3.159,-1.5706942755655333,0.0005999999999999339,0.0,1789417341932411987,/odom,0.0,0.004166661608545374,-4.417193925965819e-07,0.8001,3.1584,-1.5706942755655333,-0.004166661608545374,4.417193925965819e-07,0.0
0.8001,3.159,-1.5706982971902699,0.0005999999999999339,0.0,1789417341957411993,/odom,0.0,0.0,0.0,0.8001,3.1584,-1.5706982971902699,0.0,0.0,0.0
0.8001,3.159,-1.5707023588640108,0.0005999999999999339,0.0,1789417341982411999,/odom,0.0,0.0,0.0,0.8001,3.1584,-1.5707023588640108,0.0,0.0,0.0
0.8001,3.159,-1.570706460587732,0.0005999999999999339,0.0,1789417342008411958,/odom,0.0,0.0,0.0,0.8001,3.1584,-1.570706460587732,0.0,0.0,0.0
0.8001,3.159,-1.5707106023624187,0.0005999999999999339,0.0,1789417342033411998,/odom,0.0,0.0,0.0,0.8001,3.1584,-1.5707106023624187,0.0,0.0,0.0
0.8001,3.159,-1.5707147841890656,0.0006999999999997009,0.0,1789417342057411958,/odom,0.0,0.00416667359654095,-3.4847357685968815e-07,0.8001,3.1583,-1.5707147841890656,-0.00416667359654095,3.4847357685968815e-07,0.0
0.8001,3.159,-1.5707190060686775,0.0006999999999997009,0.0,1789417342083412009,/odom,0.0,0.0,0.0,0.8001,3.1583,-1.5707190060686775,0.0,0.0,0.0
0.8001,3.159,-1.5707190060686775,0.0006999999999997009,0.0,1789417342107411999,/odom,0.0,0.0,0.0,0.8001,3.1583,-1.5707190060686775,0.0,0.0,0.0
0.8001,3.159,-1.5707232680022687,0.0006999999999997009,0.0,1789417342133411958,/odom,0.0,0.0,0.0,0.8001,3.1583,-1.5707232680022687,0.0,0.0,0.0
0.8001,3.159,-1.5707232680022687,0.0006999999999997009,0.0,1789417342157412010,/odom,0.0,0.0,0.0,0.8001,3.1583,-1.5707232680022687,0.0,0.0,0.0
0.8001,3.159,-1.5707275699908627,0.0007071067811862498,0.0,1789417342182411958,/odom,0.0,2.836317830396193e-07,0.004000008309961022,0.8002,3.1583,-1.5707275699908627,-2.836317830396193e-07,-0.004000008309961022,0.0
0.8001,3.159,-1.5707275699908627,0.0007071067811862498,0.0,1789417342207412022,/odom,0.0,0.0,0.0,0.8002,3.1583,-1.5707275699908627,0.0,0.0,0.0
0.8001,3.159,-1.5707275699908627,0.0007071067811862498,0.0,1789417342232411999,/odom,0.0,0.0,0.0,0.8002,3.1583,-1.5707275699908627,0.0,0.0,0.0
0.8001000162008327,3.158795715250051,-1.5707064732995522,0.0018983500913617932,0.0,1789417342257411958,/odom,0.0032,0.05600009166406117,-4.441095661343151e-06,0.8002,3.1569,-1.5707064732995522,-0.03965721810212479,4.441095661343151e-06,-0.0032
0.8001007323122626,3.15772611264,-1.569547157150003,0.0050270928322238275,0.0,1789417342283411998,/odom,0.0066,0.16153817681372631,-0.00010815169455223524,0.8002,3.1527,-1.569547157150003,-0.09560398051506525,0.00010815169455223524,-0.0066
0.8001049449531603,3.1554093898099422,-1.5684087763279606,0.00790996097509642,0.0,1789417342308411958,/odom,0.0075,0.20799998893101,-0.00037821928835524274,0.8002,3.1475,-1.5684087763279606,-0.08859675942722685,0.00037821928835524274,-0.0075
0.8001157601610285,3.151743836372994,-1.5672828985034177,0.009744200511799608,0.0,1789417342333412009,/odom,0.0078,0.2199985936109325,-0.0006491053974620796,0.8002,3.142,-1.5672828985034177,-0.04615739039046665,0.0006491053974620796,-0.0078
0.8001350445495877,3.147010652816876,-1.5661612091339636,0.01071192298629321,0.0,1789417342358411958,/odom,0.0078,0.22801486983393812,0.003071041396997283,0.8003,3.1363,-1.5661612091339636,-0.02319607905619364,-0.003071041396997283,-0.0078
