# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
0.000000,5.277478,-1.129637,-0.850629,0.465186,3.569328,4.558480,2.870000,0.320000
0.019992,5.289255,-1.142981,-0.845781,0.129717,3.594769,4.428318,2.870000,0.330000
0.039983,5.302458,-1.157865,-0.845146,-0.049432,3.619312,4.629683,2.860000,0.310000
0.059975,5.316590,-1.173828,-0.847644,-0.180560,3.644795,4.836575,2.840000,0.290000
0.079966,5.330373,-1.189514,-0.852323,-0.233521,3.671228,5.048887,2.780000,0.310000
0.099958,5.343515,-1.204615,-0.856883,-0.223384,3.698619,5.266956,2.780000,0.330000
0.119950,5.356639,-1.219831,-0.861336,-0.221155,3.726979,5.493693,2.750000,0.320000
0.139941,5.369631,-1.235031,-0.865800,-0.226679,3.756332,5.729520,2.750000,0.320000
0.159933,5.382603,-1.250347,-0.870290,-0.209598,3.786703,5.974573,2.720000,0.320000
0.179925,5.395477,-1.265677,-0.874084,-0.168088,3.818115,6.227204,2.720000,0.310000
0.199916,5.408221,-1.280956,-0.876961,-0.120330,3.850582,6.486656,2.700000,0.300000
0.219908,5.420943,-1.296282,-0.878852,-0.069363,3.884114,6.740626,2.680000,0.320000
0.239900,5.433610,-1.311589,-0.880134,-0.068505,3.918654,6.968413,2.660000,0.310000
0.259891,5.446319,-1.326990,-0.881604,-0.078801,3.954045,7.091896,2.660000,0.310000
0.279883,5.459058,-1.342475,-0.883292,-0.089772,3.989740,7.131967,2.620000,0.310000
0.299874,5.471785,-1.358004,-0.885213,-0.101691,4.025319,7.131107,2.600000,0.320000
0.319866,5.484421,-1.373485,-0.887121,-0.088921,4.060581,7.130247,2.580000,0.300000
0.339858,5.497025,-1.388980,-0.888763,-0.075407,4.095535,7.129386,2.560000,0.310000
0.359849,5.509615,-1.404507,-0.890132,-0.061593,4.130189,7.128526,2.570000,0.330000
0.379841,5.522197,-1.420063,-0.891227,-0.049320,4.164551,7.127666,2.550000,0.320000
0.399833,5.534715,-1.435572,-0.892195,-0.047790,4.198627,7.126806,2.530000,0.300000
0.419824,5.547250,-1.451132,-0.893135,-0.046337,4.232425,7.125946,2.510000,0.300000
0.439816,5.559798,-1.466739,-0.894049,-0.044955,4.265951,7.125087,2.470000,0.310000
0.459808,5.572332,-1.482356,-0.894935,-0.043197,4.299212,7.124227,2.480000,0.300000
0.479799,5.584801,-1.497920,-0.895766,-0.040164,4.332214,7.123367,2.460000,0.300000
0.499791,5.597282,-1.513524,-0.896539,-0.037132,4.364962,7.122508,2.440000,0.280000
0.519783,5.609777,-1.529170,-0.897252,-0.034106,4.397462,7.121649,2.420000,0.300000
0.539774,5.622251,-1.544812,-0.897910,-0.032845,4.429720,7.120789,2.410000,0.310000
0.559766,5.634672,-1.560408,-0.898586,-0.034923,4.461741,7.119930,2.390000,0.290000
0.579757,5.647112,-1.576050,-0.899304,-0.036971,4.493530,7.119071,2.370000,0.300000
0.599749,5.659569,-1.591738,-0.900065,-0.038987,4.525092,7.022785,2.350000,0.310000
0.619741,5.671997,-1.607413,-0.900872,-0.042781,4.556012,6.936688,2.340000,0.280000
0.639732,5.684367,-1.623044,-0.901789,-0.049245,4.586349,6.912499,2.320000,0.270000
0.659724,5.696754,-1.638728,-0.902837,-0.055605,4.616382,6.887868,2.300000,0.280000
0.679716,5.709157,-1.654467,-0.904014,-0.061856,4.646115,6.862728,2.280000,0.270000
0.699707,5.721517,-1.670193,-0.905316,-0.068819,4.675551,6.842440,2.270000,0.290000
0.719699,5.733809,-1.685876,-0.906768,-0.076833,4.704717,6.823959,2.250000,0.290000
0.739691,5.746113,-1.701624,-0.908382,-0.084703,4.733625,6.810428,2.230000,0.260000
0.759682,5.758427,-1.717440,-0.910158,-0.092423,4.762301,6.782943,2.210000,0.260000
0.779674,5.770690,-1.733252,-0.912083,-0.099927,4.790690,6.754663,2.190000,0.300000
0.799665,5.782865,-1.749014,-0.914145,-0.107177,4.818795,6.781230,2.170000,0.290000
0.819657,5.795045,-1.764852,-0.916358,-0.114275,4.846846,6.787970,2.150000,0.260000
0.839649,5.807228,-1.780770,-0.918719,-0.121219,4.874764,6.756595,2.160000,0.270000
0.859640,5.819364,-1.796706,-0.921212,-0.127287,4.902395,6.724110,2.140000,0.280000
0.879632,5.831383,-1.812572,-0.923789,-0.131535,4.929739,6.690415,2.120000,0.280000
0.899624,5.843401,-1.828523,-0.926457,-0.135670,4.956797,6.658377,2.100000,0.280000
0.919615,5.855417,-1.844563,-0.929217,-0.139691,4.983579,6.624482,2.080000,0.270000
0.939607,5.867402,-1.860655,-0.932058,-0.143172,5.010082,6.589491,2.060000,0.290000
0.959599,5.879236,-1.876638,-0.934917,-0.144330,5.036308,6.554317,2.040000,0.300000
0.979590,5.891066,-1.892713,-0.937809,-0.145425,5.062258,6.516517,2.030000,0.290000
0.999582,5.902892,-1.908881,-0.940732,-0.146458,5.087928,6.475314,2.010000,0.280000
1.019573,5.914714,-1.925144,-0.943687,-0.147430,5.113308,6.432839,1.990000,0.290000
1.039565,5.926356,-1.941257,-0.946624,-0.148062,5.138397,6.389058,1.970000,0.280000
1.059557,5.937985,-1.957455,-0.949582,-0.148631,5.163194,6.344719,1.960000,0.280000
1.079548,5.949610,-1.973748,-0.952562,-0.149149,5.187703,6.300196,1.930000,0.290000
1.099540,5.961231,-1.990139,-0.955564,-0.149618,5.211925,6.255511,1.910000,0.300000
1.119531,5.972715,-2.006440,-0.958553,-0.150242,5.235864,6.210687,1.900000,0.310000
1.139523,5.984136,-2.022755,-0.961552,-0.150906,5.259525,6.165744,1.900000,0.300000
1.159515,5.995552,-2.039168,-0.964575,-0.151522,5.282909,6.119791,1.860000,0.320000
1.179507,6.006963,-2.055680,-0.967622,-0.152088,5.306017,6.072255,1.870000,0.300000
1.199498,6.018299,-2.072191,-0.970674,-0.152715,5.328846,6.023014,1.850000,0.320000
1.219490,6.029504,-2.088618,-0.973718,-0.153490,5.351395,5.948017,1.810000,0.310000
1.239481,6.040702,-2.105144,-0.976790,-0.154216,5.373569,5.827865,1.790000,0.320000
1.259473,6.051894,-2.121771,-0.979887,-0.154894,5.395207,5.703499,1.770000,0.320000
