# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
23.078408,-46.992992,51.845500,-0.189237,-0.003008,12.000000,0.000000,0.782460,1.477980
23.428406,-46.649242,51.779662,-0.190227,-0.002623,12.000000,0.000000,0.811440,1.535940
23.778350,-46.305611,51.713494,-0.191073,-0.002227,12.000000,0.000000,0.811440,1.535940
24.128280,-45.962049,51.647038,-0.191786,-0.001839,12.000000,0.000000,0.753480,1.506960
24.478258,-45.618488,51.580328,-0.192360,-0.001447,12.000000,0.000000,0.753480,1.506960
24.828229,-45.274972,51.513422,-0.192799,-0.001049,12.000000,0.000000,0.782460,1.506960
25.178154,-44.931530,51.446374,-0.193094,-0.000650,12.000000,0.000000,0.782460,1.477980
25.528119,-44.588069,51.379217,-0.193253,-0.000254,12.000000,0.000000,0.782460,1.535940
25.878101,-44.244602,51.312002,-0.193272,0.000147,12.000000,0.000000,0.753480,1.535940
26.228030,-43.901189,51.244791,-0.193151,0.000545,12.000000,0.000000,0.753480,1.506960
26.577987,-43.557739,51.177616,-0.192890,0.000946,12.000000,0.000000,0.753480,1.506960
26.927958,-43.214259,51.110528,-0.192488,0.001349,12.000000,0.000000,0.782460,1.506960
27.277902,-42.870778,51.043583,-0.191946,0.001747,12.000000,0.000000,0.782460,1.477980
27.627858,-42.527249,50.976822,-0.191266,0.002152,12.000000,0.000000,0.782460,1.535940
27.977817,-42.183671,50.910294,-0.190440,0.002553,12.000000,0.000000,0.811440,1.535940
28.327770,-41.840045,50.844051,-0.189479,0.002944,12.000000,0.000000,0.753480,1.535940
28.677730,-41.496349,50.778137,-0.188380,0.003342,12.000000,0.000000,0.753480,1.506960
29.027684,-41.152586,50.712602,-0.187140,0.003742,12.000000,0.000000,0.753480,1.506960
29.377633,-40.808747,50.647494,-0.185761,0.004140,12.000000,0.000000,0.782460,1.506960
29.727601,-40.464800,50.582857,-0.184242,0.004527,12.000000,0.000000,0.782460,1.535940
30.077553,-40.120770,50.518745,-0.182592,0.003474,12.000000,0.000000,0.782460,1.535940
30.427489,-39.776652,50.455204,-0.181811,-0.000411,12.000000,0.000000,0.753480,1.535940
30.777484,-39.432425,50.391921,-0.182880,-0.005498,12.000000,0.000000,0.724500,1.535940
31.127503,-39.088243,50.328266,-0.185659,-0.008636,12.000000,0.000000,0.753480,1.535940
31.477563,-38.744199,50.263647,-0.188924,-0.008255,12.000000,0.000000,0.753480,1.506960
31.827780,-38.400214,50.197876,-0.191436,-0.007237,12.000000,0.000000,0.753480,1.535940
32.178060,-38.056332,50.131228,-0.193989,-0.008479,12.000000,0.000000,0.753480,1.535940
32.528387,-37.712576,50.063694,-0.197371,-0.011759,12.000000,0.000000,0.782460,1.535940
32.878878,-37.368890,49.994965,-0.202219,-0.015493,12.000000,0.000000,0.782460,1.535940
33.229571,-37.025343,49.924531,-0.208215,-0.016906,12.000000,0.000000,0.724500,1.535940
33.580457,-36.682036,49.851998,-0.214052,-0.017179,12.000000,0.000000,0.753480,1.506960
33.931612,-36.338894,49.777405,-0.220238,-0.017632,12.000000,0.000000,0.753480,1.477980
34.283156,-35.995842,49.700606,-0.226393,-0.016951,12.000000,0.000000,0.782460,1.477980
34.634996,-35.652980,49.621631,-0.232103,-0.015027,12.000000,0.000000,0.811440,1.449000
34.987155,-35.310265,49.540626,-0.236910,-0.012084,12.000000,0.000000,0.840420,1.420020
35.339835,-34.967435,49.457851,-0.240561,-0.008281,12.000000,0.000000,0.840420,1.391040
35.692812,-34.624623,49.373756,-0.242707,-0.000870,12.000000,0.000000,0.869400,1.362060
36.046035,-34.281752,49.288865,-0.241170,0.009672,12.000000,0.000000,0.898380,1.333080
36.399503,-33.938514,49.204443,-0.235937,0.018753,12.000000,0.000000,0.927360,1.304100
36.752932,-33.594876,49.121827,-0.228044,0.024934,12.000000,0.000000,1.014300,1.304100
37.106146,-33.250807,49.041976,-0.218486,0.029336,12.000000,0.000000,1.043280,1.275120
37.459212,-32.906135,48.965448,-0.207513,0.034142,12.000000,0.000000,1.043280,1.246140
37.812195,-32.560724,48.892724,-0.194588,0.040667,12.000000,0.000000,1.072260,1.246140
38.164891,-32.214685,48.824526,-0.179048,0.046276,12.000000,0.000000,1.072260,1.159200
38.517236,-31.867972,48.761776,-0.162204,0.047637,12.000000,0.000000,1.130220,1.159200
38.869552,-31.520281,48.704879,-0.145706,0.047241,12.000000,0.000000,1.130220,1.159200
39.221645,-31.171919,48.653758,-0.129134,0.048166,12.000000,0.000000,1.130220,1.101240
39.573562,-30.822931,48.608440,-0.111997,0.047700,12.000000,0.000000,1.188180,1.130220
39.925503,-30.473195,48.569106,-0.095752,0.041698,12.000000,0.000000,1.159200,1.072260
40.277484,-30.122827,48.535455,-0.082809,0.033056,12.000000,0.000000,1.188180,1.101240
40.629430,-29.772087,48.506344,-0.072615,0.027606,12.000000,0.000000,1.159200,1.072260
40.981372,-29.421073,48.480810,-0.063490,0.027161,12.000000,0.000000,1.188180,1.101240
41.333550,-29.069604,48.458465,-0.053604,0.027625,12.000000,0.000000,1.217160,1.072260
41.685674,-28.717986,48.439599,-0.044152,0.021559,12.000000,0.000000,1.159200,1.130220
42.037732,-28.366271,48.424060,-0.038516,0.009821,12.000000,0.000000,1.188180,1.101240
42.389868,-28.014396,48.410501,-0.037279,0.000360,12.000000,0.000000,1.130220,1.101240
42.741858,-27.662651,48.397382,-0.038264,-0.005366,12.000000,0.000000,1.159200,1.130220
