# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
22.728592,-46.829775,51.997949,-0.187500,-0.001926,12.000000,0.000000,0.579600,1.680840
23.078394,-46.486126,51.932629,-0.188115,-0.001590,12.000000,0.000000,0.579600,1.680840
23.428253,-46.142457,51.867107,-0.188612,-0.001253,12.000000,0.000000,0.579600,1.680840
23.778043,-45.798885,51.801448,-0.188992,-0.000915,12.000000,0.000000,0.608580,1.680840
24.127833,-45.455334,51.735678,-0.189252,-0.000571,12.000000,0.000000,0.550620,1.651860
24.477671,-45.111748,51.669831,-0.189391,-0.000228,12.000000,0.000000,0.550620,1.651860
24.827490,-44.768187,51.603960,-0.189411,0.000116,12.000000,0.000000,0.550620,1.709820
25.177276,-44.424656,51.538109,-0.189310,0.000466,12.000000,0.000000,0.579600,1.709820
25.527099,-44.081077,51.472307,-0.189086,0.000815,12.000000,0.000000,0.579600,1.680840
25.876932,-43.737470,51.406601,-0.188739,0.001167,12.000000,0.000000,0.579600,1.680840
26.226718,-43.393882,51.341044,-0.188269,0.001518,12.000000,0.000000,0.550620,1.680840
26.576534,-43.050230,51.275664,-0.187677,0.001868,12.000000,0.000000,0.550620,1.680840
26.926363,-42.706523,51.210506,-0.186963,0.002222,12.000000,0.000000,0.550620,1.651860
27.276159,-42.362797,51.145621,-0.186123,0.002577,12.000000,0.000000,0.550620,1.709820
27.625973,-42.018996,51.081043,-0.185160,0.002930,12.000000,0.000000,0.579600,1.709820
27.975788,-41.675127,51.016817,-0.184073,0.003282,12.000000,0.000000,0.579600,1.709820
28.325597,-41.331191,50.952987,-0.182863,0.003632,12.000000,0.000000,0.579600,1.680840
28.675413,-40.987167,50.889593,-0.181532,0.003983,12.000000,0.000000,0.521640,1.680840
29.025223,-40.643062,50.826679,-0.180077,0.004338,12.000000,0.000000,0.521640,1.680840
29.375030,-40.298863,50.764288,-0.178497,0.004688,12.000000,0.000000,0.521640,1.738800
29.724854,-39.954547,50.702459,-0.176797,0.005032,12.000000,0.000000,0.550620,1.738800
30.074660,-39.610139,50.641239,-0.174976,0.005380,12.000000,0.000000,0.550620,1.738800
30.424455,-39.265628,50.580669,-0.173033,0.005726,12.000000,0.000000,0.550620,1.709820
30.774291,-38.920956,50.520783,-0.170970,0.006067,12.000000,0.000000,0.521640,1.709820
31.124103,-38.576182,50.461632,-0.168788,0.006410,12.000000,0.000000,0.492660,1.709820
31.473872,-38.231317,50.403262,-0.166486,0.006250,12.000000,0.000000,0.492660,1.767780
31.823726,-37.886233,50.345692,-0.164415,0.005116,12.000000,0.000000,0.492660,1.767780
32.173558,-37.541068,50.288741,-0.162907,0.004070,12.000000,0.000000,0.492660,1.767780
32.523363,-37.195859,50.232220,-0.161568,0.003665,12.000000,0.000000,0.492660,1.767780
32.873250,-36.850489,50.176184,-0.160342,0.002934,12.000000,0.000000,0.492660,1.767780
33.223166,-36.505033,50.120492,-0.159515,0.001925,12.000000,0.000000,0.492660,1.767780
33.573060,-36.159563,50.065027,-0.158995,0.000062,12.000000,0.000000,0.463680,1.796760
33.923019,-35.814007,50.009687,-0.159471,-0.003703,12.000000,0.000000,0.405720,1.796760
34.273123,-35.468383,49.953860,-0.161587,-0.008054,12.000000,0.000000,0.405720,1.796760
34.623292,-35.122857,49.897024,-0.165111,-0.011628,12.000000,0.000000,0.405720,1.796760
34.973596,-34.777438,49.838729,-0.169733,-0.014255,12.000000,0.000000,0.405720,1.796760
35.324256,-34.431968,49.778618,-0.175103,-0.015844,12.000000,0.000000,0.405720,1.796760
35.675107,-34.086656,49.716520,-0.180847,-0.015152,12.000000,0.000000,0.405720,1.796760
36.026168,-33.741506,49.652371,-0.185738,-0.011063,12.000000,0.000000,0.492660,1.796760
36.377615,-33.396233,49.586786,-0.188619,-0.005457,12.000000,0.000000,0.492660,1.767780
36.729203,-33.050940,49.520550,-0.189574,0.000352,12.000000,0.000000,0.492660,1.767780
37.080818,-32.705628,49.454274,-0.188371,0.006529,12.000000,0.000000,0.521640,1.767780
37.432501,-32.360084,49.388851,-0.184982,0.011624,12.000000,0.000000,0.521640,1.680840
37.784229,-32.014219,49.324897,-0.180195,0.016194,12.000000,0.000000,0.579600,1.680840
38.135819,-31.668156,49.262802,-0.173593,0.022903,12.000000,0.000000,0.579600,1.680840
38.487202,-31.321817,49.203479,-0.164095,0.030792,12.000000,0.000000,0.579600,1.622880
38.838585,-30.974842,49.148000,-0.151953,0.036858,12.000000,0.000000,0.637560,1.622880
39.189635,-30.627493,49.097154,-0.138205,0.040953,12.000000,0.000000,0.637560,1.622880
39.540375,-30.279760,49.051320,-0.123213,0.044840,12.000000,0.000000,0.666540,1.564920
39.891062,-29.931405,49.010951,-0.106753,0.047591,12.000000,0.000000,0.666540,1.593900
