# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
0.000000,16.189414,-10.274999,1.253679,1.211917,3.288403,-0.027678,0.675000,1.287500
0.049999,16.203216,-10.228595,1.308617,1.076770,3.287983,-0.027670,0.687500,1.300000
0.099998,16.214922,-10.179855,1.361220,1.035512,3.287562,-0.027663,0.687500,1.300000
0.149996,16.224196,-10.129761,1.414563,1.070644,3.287141,-0.027656,0.687500,1.300000
0.199995,16.230690,-10.079544,1.469724,1.058574,3.286720,-0.027649,0.687500,1.287500
0.249994,16.234469,-10.029642,1.519672,0.934513,3.286300,-0.027642,0.687500,1.300000
0.299992,16.235912,-9.979768,1.562922,0.797343,3.285879,-0.027642,0.687500,1.275000
0.349991,16.235372,-9.929873,1.599129,0.653076,3.285459,0.415786,0.687500,1.250000
0.399990,16.233152,-9.880241,1.631975,0.669738,3.291780,-0.027734,0.687500,1.225000
0.449989,16.229266,-9.830513,1.665741,0.683342,3.291359,-0.027727,0.712500,1.212500
0.499987,16.223650,-9.780658,1.700270,0.692223,3.290938,-0.027720,0.712500,1.187500
0.549986,16.216352,-9.731300,1.734913,0.694907,3.290516,-0.027713,0.737500,1.150000
0.599985,16.207423,-9.682594,1.769281,0.692618,3.290095,-0.027706,0.725000,1.075000
0.649984,16.196712,-9.633727,1.803816,0.687530,3.289674,-0.027699,0.725000,1.012500
0.699982,16.184176,-9.584704,1.838420,0.679696,3.289253,-0.027692,0.737500,0.987500
0.749981,16.170316,-9.537277,1.871743,0.668579,3.288832,-0.027685,0.737500,0.887500
0.799980,16.154845,-9.490187,1.904581,0.656252,3.288411,-0.027685,0.750000,0.850000
0.849978,16.137613,-9.443003,1.937220,0.643105,3.287990,1.536671,0.775000,0.825000
0.899977,16.118592,-9.395749,1.969628,0.629194,3.311275,1.884004,0.787500,0.750000
0.949976,16.098897,-9.350924,1.999664,0.597255,3.339602,2.953676,0.787500,0.725000
0.999975,16.077629,-9.306144,2.028481,0.565503,3.383533,3.560606,0.787500,0.700000
1.049973,16.054771,-9.261328,2.056151,0.534732,3.435746,4.001055,0.787500,0.650000
1.099972,16.030340,-9.216476,2.082699,0.505087,3.493486,4.356124,0.812500,0.600000
1.149971,16.005816,-9.174031,2.106416,0.461766,3.555284,5.030972,0.800000,0.612500
1.199970,15.980085,-9.131751,2.128228,0.420210,3.625346,5.572717,0.812500,0.587500
1.249968,15.953098,-9.089428,2.148337,0.381582,3.701404,6.013586,0.812500,0.575000
1.299967,15.924914,-9.047056,2.166829,0.345716,3.781763,6.387738,0.825000,0.550000
1.349966,15.896355,-9.005714,2.183828,0.342624,3.865293,6.041451,0.825000,0.562500
1.399965,15.867263,-8.965113,2.201419,0.362745,3.942667,3.398832,0.825000,0.575000
1.449963,15.837301,-8.924866,2.220260,0.389418,3.985536,3.478127,0.837500,0.550000
1.499962,15.806563,-8.885219,2.240620,0.423628,4.028933,1.997326,0.837500,0.575000
1.549961,15.775057,-8.846319,2.262820,0.454345,4.053644,-0.042069,0.812500,0.587500
1.599959,15.742455,-8.807861,2.284799,0.416681,4.053125,2.161316,0.825000,0.587500
1.649958,15.709280,-8.770348,2.304631,0.374649,4.079699,4.177754,0.825000,0.600000
1.699957,15.675578,-8.733644,2.322177,0.328994,4.130582,5.414967,0.825000,0.587500
1.749956,15.641392,-8.697615,2.337323,0.280483,4.195616,6.387965,0.825000,0.612500
1.799954,15.606421,-8.661787,2.350768,0.265238,4.271062,5.635482,0.812500,0.587500
1.849953,15.570927,-8.626378,2.363981,0.261957,4.336532,3.883177,0.812500,0.587500
1.899952,15.535062,-8.591525,2.377014,0.259367,4.381075,4.084004,0.812500,0.600000
1.949950,15.498862,-8.557247,2.389894,0.257468,4.427438,4.174590,0.787500,0.600000
1.999949,15.462134,-8.523354,2.402716,0.254976,4.474333,4.469459,0.787500,0.612500
2.049948,15.424798,-8.489772,2.415411,0.250545,4.524001,4.567866,0.787500,0.612500
2.099947,15.387187,-8.456788,2.427825,0.245687,4.574206,4.572002,0.787500,0.612500
