# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
45.358722,-1.535000,-4.339995,-0.106599,-0.084959,4.753844,8.088104,0.320000,1.180000
45.378721,-1.515091,-4.342142,-0.108298,-0.084777,4.787750,8.133322,0.320000,1.200000
45.398721,-1.495255,-4.344316,-0.109988,-0.084537,4.821605,8.177202,0.300000,1.220000
45.418720,-1.475475,-4.346517,-0.111667,-0.084230,4.855405,8.219352,0.300000,1.220000
45.438720,-1.455512,-4.348773,-0.113354,-0.083714,4.889143,8.260531,0.310000,1.210000
45.458719,-1.435616,-4.351054,-0.115025,-0.083139,4.922817,8.301154,0.310000,1.210000
45.478718,-1.415784,-4.353362,-0.116679,-0.082502,4.956427,8.340834,0.310000,1.230000
45.498718,-1.396012,-4.355696,-0.118315,-0.081806,4.989969,8.379205,0.310000,1.230000
45.518717,-1.376079,-4.358082,-0.119948,-0.080924,5.023440,8.415918,0.320000,1.230000
45.538717,-1.356202,-4.360494,-0.121559,-0.079982,5.056835,8.451345,0.320000,1.220000
45.558716,-1.336377,-4.362932,-0.123147,-0.078978,5.090150,8.485769,0.320000,1.220000
45.578716,-1.316603,-4.365395,-0.124710,-0.077916,5.123382,8.518872,0.320000,1.220000
45.598715,-1.296705,-4.367905,-0.126260,-0.076660,5.156529,8.536479,0.330000,0.730000
45.618715,-1.276849,-4.370441,-0.127782,-0.075345,5.189532,8.539000,0.330000,1.230000
45.638714,-1.257034,-4.373002,-0.129274,-0.073972,5.222336,8.542433,0.310000,1.230000
45.658713,-1.237259,-4.375588,-0.130735,-0.072543,5.254948,8.546772,0.330000,1.250000
45.678713,-1.217390,-4.378215,-0.132173,-0.070944,5.287375,8.553205,0.340000,1.250000
45.698712,-1.197555,-4.380866,-0.133576,-0.069294,5.319629,8.560486,0.340000,1.250000
45.718712,-1.177751,-4.383541,-0.134944,-0.067595,5.351716,8.568582,0.320000,1.240000
45.738711,-1.157972,-4.386240,-0.136276,-0.065842,5.383642,8.577519,0.320000,1.240000
45.758711,-1.138134,-4.388973,-0.137575,-0.063923,5.415412,8.588429,0.330000,1.240000
45.778710,-1.118319,-4.391730,-0.138834,-0.061962,5.447038,8.599978,0.330000,1.260000
45.798710,-1.098525,-4.394508,-0.140053,-0.059961,5.478522,8.612107,0.330000,1.250000
45.818709,-1.078744,-4.397308,-0.141231,-0.057909,5.509871,8.624889,0.340000,1.250000
45.838708,-1.058932,-4.400137,-0.142368,-0.055715,5.541089,8.639156,0.340000,1.250000
45.858708,-1.039135,-4.402985,-0.143460,-0.053491,5.572183,8.653723,0.340000,1.240000
45.878707,-1.019349,-4.405854,-0.144507,-0.051240,5.603157,8.668511,0.340000,1.260000
45.898707,-0.999569,-4.408743,-0.145508,-0.048961,5.634012,8.683454,0.330000,1.260000
45.918706,-0.979780,-4.411653,-0.146464,-0.046654,5.664753,8.698492,0.330000,1.260000
45.938705,-0.959997,-4.414580,-0.147374,-0.044329,5.695380,8.713476,0.330000,1.250000
45.958705,-0.940217,-4.417525,-0.148237,-0.041987,5.725896,8.728324,0.340000,1.270000
45.978704,-0.920441,-4.420487,-0.149054,-0.039793,5.756301,8.741665,0.340000,1.270000
45.998704,-0.900670,-4.423464,-0.149832,-0.038029,5.786593,8.751354,0.340000,1.270000
46.018703,-0.880897,-4.426456,-0.150575,-0.036257,5.816761,8.760999,0.350000,1.260000
46.038703,-0.861122,-4.429464,-0.151282,-0.034476,5.846806,8.770554,0.350000,1.260000
46.058702,-0.841352,-4.432485,-0.151955,-0.033098,5.876729,8.777039,0.330000,1.280000
46.078702,-0.821594,-4.435517,-0.152611,-0.032495,5.906523,8.777942,0.330000,1.270000
46.098701,-0.801830,-4.438563,-0.153254,-0.031887,5.936171,8.778954,0.360000,1.270000
46.118701,-0.782058,-4.441624,-0.153886,-0.031273,5.965675,8.780071,0.340000,1.270000
46.138700,-0.762295,-4.444696,-0.154506,-0.030755,5.995037,8.780559,0.340000,0.760000
46.158699,-0.742549,-4.447777,-0.155117,-0.030375,6.024258,8.780100,0.350000,0.770000
46.178699,-0.722792,-4.450873,-0.155721,-0.029992,6.053336,8.779717,0.350000,1.280000
46.198698,-0.703023,-4.453983,-0.156317,-0.029606,6.082274,8.779410,0.350000,1.280000
46.218698,-0.683268,-4.457102,-0.156905,-0.029204,6.111074,8.779271,0.360000,1.270000
46.238697,-0.663531,-4.460230,-0.157484,-0.028787,6.139738,8.779299,0.360000,1.270000
46.258696,-0.643780,-4.463372,-0.158056,-0.028369,6.168269,8.779387,0.340000,1.290000
46.278696,-0.624015,-4.466528,-0.158620,-0.027950,6.196669,8.779535,0.350000,1.280000
46.298695,-0.604270,-4.469692,-0.159174,-0.027520,6.224940,8.779814,0.350000,1.280000
46.318695,-0.584541,-4.472865,-0.159720,-0.027081,6.253084,8.780208,0.350000,1.280000
46.338694,-0.564796,-4.476051,-0.160257,-0.026643,6.281104,8.780646,0.360000,1.280000
46.358694,-0.545036,-4.479251,-0.160786,-0.026205,6.309000,8.781129,0.360000,1.290000
46.378693,-0.525299,-4.482457,-0.161306,-0.025757,6.336775,8.781735,0.360000,1.290000
46.398693,-0.505576,-4.485672,-0.161816,-0.025302,6.364430,8.782438,0.370000,1.290000
46.418692,-0.485837,-4.488899,-0.162317,-0.024849,6.391968,8.783171,0.350000,1.280000
46.438691,-0.466083,-4.492139,-0.162810,-0.024397,6.419391,8.783934,0.350000,1.280000
46.458691,-0.446353,-4.495385,-0.163293,-0.023934,6.446699,8.784820,0.360000,1.300000
46.478690,-0.426636,-4.498638,-0.163767,-0.023464,6.473894,8.785794,0.360000,1.290000
46.498690,-0.406903,-4.501904,-0.164232,-0.022996,6.500979,8.786786,0.340000,1.290000
46.518689,-0.387155,-4.505181,-0.164687,-0.022531,6.527955,8.787792,0.340000,1.290000
46.538689,-0.367432,-4.508464,-0.165133,-0.022053,6.554822,8.788929,0.350000,1.280000
46.558688,-0.347720,-4.511753,-0.165569,-0.021567,6.581583,8.790149,0.350000,1.280000
46.578688,-0.327993,-4.515054,-0.165995,-0.021083,6.608240,8.791373,0.350000,1.290000
46.598687,-0.308251,-4.518365,-0.166413,-0.020603,6.634793,8.792599,0.360000,1.290000
46.618686,-0.288532,-4.521682,-0.166820,-0.020110,6.661244,8.793932,0.360000,1.290000
46.638686,-0.268825,-4.525004,-0.167217,-0.019610,6.687595,8.795330,0.340000,1.290000
46.658685,-0.249104,-4.528337,-0.167604,-0.019113,6.713846,8.796718,0.370000,1.280000
46.678685,-0.229369,-4.531680,-0.167982,-0.018620,6.739999,8.798094,0.370000,1.300000
46.698684,-0.209654,-4.535027,-0.168349,-0.018116,6.766055,8.799546,0.380000,1.300000
46.718684,-0.189950,-4.538379,-0.168706,-0.017607,6.792015,8.801041,0.380000,1.290000
46.738683,-0.170235,-4.541741,-0.169053,-0.017100,6.817881,8.802512,0.360000,1.290000
46.758682,-0.150506,-4.545111,-0.169390,-0.016597,6.843654,8.803957,0.370000,1.290000
46.778682,-0.130794,-4.548486,-0.169717,-0.016090,6.869333,8.805412,0.350000,1.310000
46.798681,-0.111094,-4.551865,-0.170034,-0.015583,6.894922,8.806865,0.350000,1.300000
46.818681,-0.091383,-4.555252,-0.170340,-0.015078,6.920420,8.808282,0.360000,1.300000
46.838680,-0.071661,-4.558648,-0.170637,-0.014576,6.945829,8.809662,0.360000,1.300000
46.858680,-0.051951,-4.562047,-0.170924,-0.014079,6.971148,8.810999,0.360000,1.290000
46.878679,-0.032254,-4.565450,-0.171200,-0.013584,6.996380,8.812288,0.370000,1.310000
46.898679,-0.012547,-4.568860,-0.171467,-0.013093,7.021526,8.813535,0.350000,1.310000
46.918678,0.007169,-4.572276,-0.171724,-0.012604,7.046584,8.814737,0.350000,0.670000
46.938677,0.026876,-4.575697,-0.171971,-0.012126,7.071558,8.815848,0.360000,1.320000
46.958677,0.046572,-4.579120,-0.172209,-0.011659,7.096447,8.816864,0.360000,1.320000
46.978676,0.066275,-4.582549,-0.172437,-0.011194,7.121251,8.817834,0.360000,1.310000
46.998676,0.085985,-4.585985,-0.172657,-0.010732,7.145973,8.818756,0.370000,1.310000
47.018675,0.105690,-4.589423,-0.172867,-0.010285,7.170611,8.819563,0.370000,1.300000
47.038675,0.125385,-4.592864,-0.173068,-0.009859,7.195168,8.820232,0.370000,1.300000
47.058674,0.145086,-4.596310,-0.173261,-0.009435,7.219642,8.820857,0.360000,1.310000
47.078673,0.164790,-4.599761,-0.173446,-0.009012,7.244036,8.821437,0.380000,1.310000
47.098673,0.184492,-4.603214,-0.173622,-0.008605,7.268350,8.821911,0.380000,1.310000
47.118672,0.204188,-4.606670,-0.173790,-0.008225,7.292584,8.822234,0.390000,1.310000
47.138672,0.223886,-4.610130,-0.173951,-0.007846,7.316738,8.822519,0.390000,1.300000
47.158671,0.243585,-4.613594,-0.174104,-0.007468,7.340814,8.822763,0.370000,1.300000
47.178671,0.263284,-4.617060,-0.174249,-0.007104,7.364811,8.822914,0.380000,1.320000
47.198670,0.282981,-4.620528,-0.174388,-0.006776,7.388731,8.822903,0.380000,0.660000
47.218669,0.302677,-4.624000,-0.174520,-0.006448,7.412574,8.822861,0.360000,1.310000
47.238669,0.322373,-4.627474,-0.174646,-0.006121,7.436341,8.822786,0.370000,1.310000
47.258668,0.342068,-4.630950,-0.174765,-0.005804,7.460031,8.822646,0.370000,1.320000
47.278668,0.361766,-4.634429,-0.174878,-0.005522,7.483646,8.822365,0.380000,1.320000
47.298667,0.381462,-4.637910,-0.174986,-0.005241,7.507186,8.822058,0.380000,1.320000
47.318667,0.401154,-4.641393,-0.175088,-0.004961,7.530652,8.821726,0.380000,1.310000
47.338666,0.420845,-4.644877,-0.175185,-0.004687,7.554044,8.821350,0.370000,1.310000
47.358666,0.440545,-4.648365,-0.175276,-0.004446,7.577362,8.820860,0.370000,1.330000
