# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
108.769665,48.836173,46.407642,0.382376,-0.258874,3.856678,7.498738,0.656250,0.531250
108.789663,48.854684,46.415032,0.377231,-0.257436,3.895367,7.451041,0.656250,0.531250
108.809661,48.873277,46.422343,0.372099,-0.256275,3.933434,7.399848,0.625000,0.531250
108.829659,48.891946,46.429574,0.366978,-0.255385,3.970877,7.344856,0.625000,0.531250
108.849657,48.910687,46.436723,0.361862,-0.254761,4.007697,6.483793,0.625000,0.562500
108.869655,48.929379,46.443745,0.356796,-0.252569,4.039921,5.709446,0.593750,0.562500
108.889653,48.948124,46.450678,0.351770,-0.250480,4.068085,5.820800,0.593750,0.562500
108.909651,48.966925,46.457525,0.346777,-0.248623,4.096599,5.933285,0.593750,0.562500
108.929649,48.985777,46.464285,0.341814,-0.246991,4.125462,6.038156,0.593750,0.562500
108.949647,49.004632,46.470941,0.336904,-0.243877,4.154629,6.135450,0.562500,0.593750
108.969645,49.023518,46.477505,0.332061,-0.240540,4.184057,6.224794,0.562500,0.593750
108.989644,49.042443,46.483980,0.327282,-0.237375,4.213704,6.306674,0.562500,0.593750
109.009642,49.061402,46.490366,0.322563,-0.234377,4.243530,6.382003,0.562500,0.593750
109.029640,49.080391,46.496664,0.317908,-0.230796,4.273500,6.449997,0.531250,0.593750
109.049638,49.099406,46.502873,0.313330,-0.226970,4.303577,6.510306,0.531250,0.625000
109.069636,49.118445,46.508994,0.308828,-0.223251,4.333724,6.569830,0.531250,0.625000
109.089634,49.137505,46.515028,0.304401,-0.219634,4.363935,6.629936,0.531250,0.625000
109.109632,49.156603,46.520982,0.300044,-0.215900,4.394213,6.689274,0.531250,0.625000
109.129630,49.175733,46.526856,0.295762,-0.212042,4.424551,6.747601,0.500000,0.625000
109.149628,49.194876,46.532645,0.291560,-0.208234,4.454944,6.808777,0.500000,0.625000
109.169627,49.214031,46.538350,0.287435,-0.204477,4.485404,6.872115,0.500000,0.656250
109.189625,49.233218,46.543980,0.283384,-0.200797,4.515940,6.936911,0.500000,0.656250
109.209623,49.252449,46.549539,0.279400,-0.197185,4.546555,7.001828,0.468750,0.656250
109.229621,49.271685,46.555017,0.275492,-0.193585,4.577249,7.066157,0.468750,0.656250
109.249619,49.290926,46.560416,0.271660,-0.189998,4.608018,7.129939,0.468750,0.656250
109.269617,49.310190,46.565743,0.267898,-0.186515,4.638857,7.193211,0.468750,0.656250
109.289615,49.329507,46.571007,0.264196,-0.183252,4.669764,7.251485,0.468750,0.687500
109.309613,49.348825,46.576195,0.260563,-0.179977,4.700716,7.304787,0.468750,0.687500
