# s_m,x_m,y_m,psi_rad,kappa_radpm,velocity_mps,acceleration_mps2,d_left_m,d_right_m
4.957199,56.237969,30.539053,-1.0813241,0.3474133,0.0000000,0.0000000,0.716520,0.622916
5.037155,56.276574,30.469034,-1.0519812,0.3865848,0.0000000,0.0000000,0.712249,0.627251
5.117111,56.317326,30.400243,-1.0194212,0.4278977,0.0000000,0.0000000,0.707187,0.631726
5.197066,56.360409,30.332888,-0.9834781,0.4712256,0.0000000,0.0000000,0.701376,0.635970
5.277021,56.406000,30.267205,-0.9439985,0.5163843,0.0000000,0.0000000,0.694882,0.640874
5.356976,56.454264,30.203461,-0.9008469,0.5631023,0.0000000,0.0000000,0.687778,0.647239
5.436929,56.505348,30.141955,-0.8539101,0.6111043,0.0000000,0.0000000,0.680647,0.656090
5.516882,56.559375,30.083018,-0.8030970,0.6601045,0.0000000,0.0000000,0.673986,0.668746
5.596834,56.616436,30.027015,-0.7483356,0.7099214,0.0000000,0.0000000,0.667851,0.685765
5.676785,56.676581,29.974339,-0.6895641,0.7604707,0.0000000,0.0000000,0.662621,0.707224
5.756735,56.739816,29.925416,-0.6267196,0.8118773,0.0000000,0.0000000,0.659693,0.731637
5.836684,56.806089,29.880699,-0.5597238,0.8643956,0.0000000,0.0000000,0.660599,0.753601
5.916632,56.875292,29.840665,-0.4884755,0.9183448,0.0000000,0.0000000,0.664548,0.766105
5.996578,56.947243,29.805817,-0.4128522,0.9739493,0.0000000,0.0000000,0.670809,0.761573
6.076524,57.021686,29.776671,-0.3327347,1.0308915,0.0000000,0.0000000,0.680941,0.741882
6.156467,57.098273,29.753751,-0.2480611,1.0880745,0.0000000,0.0000000,0.691123,0.719372
6.236409,57.176560,29.737568,-0.1589117,1.1430192,0.0000000,0.0000000,0.700226,0.705194
6.316349,57.255994,29.728586,-0.0656335,1.1915336,0.0000000,0.0000000,0.706372,0.703302
6.396289,57.335921,29.727183,0.0310440,1.2282192,0.0000000,0.0000000,0.712426,0.710937
6.476227,57.415601,29.733600,0.1299069,1.2463188,0.0000000,0.0000000,0.716273,0.721139
6.556165,57.494253,29.747882,0.2292626,1.2405822,0.0000000,0.0000000,0.718862,0.723851
6.636103,57.571114,29.769849,0.3270698,1.2075088,0.0000000,0.0000000,0.720701,0.712382
6.716043,57.645513,29.799093,0.4211756,1.1478130,0.0000000,0.0000000,0.722314,0.687091
6.795986,57.716933,29.835009,0.5096288,1.0658570,0.0000000,0.0000000,0.724681,0.655597
6.875930,57.785049,29.876858,0.5909065,0.9680532,0.0000000,0.0000000,0.725994,0.625937
6.955878,57.849735,29.923841,0.6640412,0.8619140,0.0000000,0.0000000,0.726445,0.602333
7.035827,57.911035,29.975165,0.7286125,0.7536484,0.0000000,0.0000000,0.726991,0.585494
7.115779,57.969134,30.030091,0.7846476,0.6482405,0.0000000,0.0000000,0.726364,0.575214
7.195732,58.024306,30.087958,0.8324969,0.5487888,0.0000000,0.0000000,0.725132,0.570057
7.275687,58.076881,30.148196,0.8727128,0.4572346,0.0000000,0.0000000,0.723504,0.568768
7.355643,58.127213,30.210321,0.9059563,0.3743420,0.0000000,0.0000000,0.720936,0.570163
7.435600,58.175657,30.273932,0.9329312,0.3004119,0.0000000,0.0000000,0.717693,0.573316
7.515557,58.222551,30.338694,0.9543472,0.2352811,0.0000000,0.0000000,0.713969,0.577533
7.595514,58.268212,30.404331,0.9708917,0.1785555,0.0000000,0.0000000,0.709941,0.582439
7.675472,58.312924,30.470619,0.9832216,0.1298538,0.0000000,0.0000000,0.705570,0.587835
7.755430,58.356939,30.537372,0.9919530,0.0885473,0.0000000,0.0000000,0.701014,0.593532
7.835388,58.400474,30.604439,0.9976572,0.0541318,0.0000000,0.0000000,0.696395,0.599370
7.915346,58.443713,30.671698,1.0008592,0.0259610,0.0000000,0.0000000,0.691799,0.605199
7.995304,58.486807,30.739049,1.0020317,0.0033668,0.0000000,0.0000000,0.687282,0.610880
8.075262,58.529878,30.806414,1.0015955,-0.0142789,0.0000000,0.0000000,0.682884,0.616289
8.155220,58.573023,30.873733,0.9999163,-0.0277209,0.0000000,0.0000000,0.678644,0.621330
8.235178,58.616313,30.940959,0.9973053,-0.0375902,0.0000000,0.0000000,0.674600,0.625946
8.315136,58.659803,31.008055,0.9940215,-0.0445481,0.0000000,0.0000000,0.670787,0.630125
8.395095,58.703530,31.074997,0.9902744,-0.0491772,0.0000000,0.0000000,0.667217,0.633899
8.475053,58.747517,31.141768,0.9862309,-0.0519641,0.0000000,0.0000000,0.663876,0.637327
8.555011,58.791781,31.208357,0.9820205,-0.0533504,0.0000000,0.0000000,0.660730,0.640485
8.634969,58.836327,31.274757,0.9777426,-0.0536548,0.0000000,0.0000000,0.657735,0.643442
8.714927,58.881157,31.340965,0.9734731,-0.0531375,0.0000000,0.0000000,0.654858,0.646250
8.794885,58.926267,31.406983,0.9692706,-0.0519810,0.0000000,0.0000000,0.652093,0.648931
8.874843,58.971651,31.472813,0.9651812,-0.0503081,0.0000000,0.0000000,0.649462,0.651485
8.954801,59.017299,31.538461,0.9612425,-0.0482103,0.0000000,0.0000000,0.647017,0.653894
9.034759,59.063199,31.603932,0.9574864,-0.0457410,0.0000000,0.0000000,0.644830,0.656131
9.114717,59.109338,31.669235,0.9539410,-0.0429425,0.0000000,0.0000000,0.642985,0.658167
9.194675,59.155701,31.734379,0.9506311,-0.0398471,0.0000000,0.0000000,0.641573,0.659974
9.274633,59.202271,31.799375,0.9475796,-0.0364809,0.0000000,0.0000000,0.640683,0.661526
9.354591,59.249030,31.864236,0.9448067,-0.0328773,0.0000000,0.0000000,0.640399,0.662793
9.434549,59.295959,31.928973,0.9423302,-0.0290676,0.0000000,0.0000000,0.640788,0.663740
9.514507,59.343038,31.993602,0.9401649,-0.0250933,0.0000000,0.0000000,0.641890,0.664324
