# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
0.000000,10.363420,-1.135355,2.165444,0.581658,3.414933,2.465733,1.100000,1.400000
0.049968,10.334321,-1.093665,2.194875,0.578743,3.450824,1.916654,1.125000,1.400000
0.099936,10.304110,-1.052989,2.224466,0.592028,3.478466,-0.030969,1.150000,1.425000
0.149904,10.273014,-1.013636,2.254854,0.622818,3.478021,-0.030961,1.150000,1.400000
0.199872,10.241258,-0.975918,2.286730,0.674103,3.477577,-0.030953,1.175000,1.350000
0.249840,10.208088,-0.939092,2.321850,0.737072,3.477132,-0.030946,1.150000,1.325000
0.299808,10.172445,-0.902351,2.360472,0.768918,3.476687,-0.030938,1.150000,1.300000
0.349775,10.136264,-0.867842,2.399302,0.780614,3.476242,-0.030930,1.150000,1.275000
0.399743,10.099391,-0.835297,2.437525,0.769821,3.475798,-0.030922,1.150000,1.250000
0.449711,10.061610,-0.804399,2.474372,0.736299,3.475353,-0.030914,1.150000,1.250000
0.499679,10.021529,-0.773988,2.510298,0.692281,3.474909,-0.030906,1.150000,1.225000
0.549647,9.980562,-0.745093,2.543974,0.651686,3.474464,-0.030898,1.150000,1.175000
0.599615,9.938879,-0.717683,2.575547,0.614578,3.474020,-0.030898,1.175000,1.175000
0.649583,9.896654,-0.691731,2.605161,0.580933,3.473575,0.996935,1.150000,1.125000
0.699551,9.853079,-0.666660,2.633549,0.547425,3.487887,2.956612,1.125000,1.075000
0.749519,9.809036,-0.642904,2.659983,0.508092,3.529990,3.950429,1.150000,1.100000
0.799487,9.764599,-0.620370,2.684214,0.463763,3.585473,4.787507,1.150000,1.050000
0.849455,9.719757,-0.598916,2.706081,0.415446,3.651583,5.545386,1.150000,1.025000
0.899423,9.674257,-0.578296,2.725716,0.371327,3.726693,6.110993,1.125000,0.975000
0.949390,9.628360,-0.558513,2.743193,0.328085,3.807749,6.613260,1.125000,0.950000
0.999358,9.582156,-0.539490,2.758511,0.285075,3.893565,7.077952,1.150000,0.925000
1.049326,9.535707,-0.521136,2.771680,0.242308,3.983364,7.507744,1.150000,0.900000
1.099294,9.488998,-0.503338,2.783250,0.223178,4.076455,7.615681,1.125000,0.875000
1.149262,9.442109,-0.486067,2.793992,0.206737,4.168761,7.702966,1.100000,0.900000
1.199230,9.395055,-0.469286,2.803904,0.190080,4.260090,7.806017,1.100000,0.900000
1.249198,9.347844,-0.452953,2.812981,0.173258,4.350686,7.921600,1.100000,0.875000
1.299166,9.300497,-0.437032,2.821381,0.163881,4.440734,7.951213,1.125000,0.850000
1.349134,9.253012,-0.421497,2.829358,0.155441,4.529319,7.977114,1.100000,0.825000
1.399102,9.205397,-0.406327,2.836915,0.147038,4.616485,8.010288,1.100000,0.825000
1.449070,9.157664,-0.391506,2.844055,0.138675,4.702387,6.834413,1.100000,0.800000
1.499038,9.109852,-0.377024,2.850886,0.135304,4.774458,5.220211,1.075000,0.775000
1.549005,9.061939,-0.362864,2.857576,0.132505,4.828782,5.158545,1.075000,0.775000
1.598973,9.013925,-0.349019,2.864127,0.129698,4.881870,5.324243,1.100000,0.750000
1.648941,8.965810,-0.335483,2.870540,0.126885,4.936065,5.502935,1.100000,0.725000
1.698909,8.917640,-0.322261,2.876836,0.125363,4.991461,5.625478,1.125000,0.725000
1.748877,8.869381,-0.309338,2.883065,0.123998,5.047461,5.749780,1.125000,0.700000
1.798845,8.821029,-0.296711,2.889228,0.122638,5.104065,5.843688,1.150000,0.700000
1.848813,8.772589,-0.284378,2.895324,0.121283,5.160956,5.882245,1.100000,0.725000
1.898781,8.724108,-0.272346,2.901349,0.119925,5.217597,5.898022,1.100000,0.725000
1.948749,8.675549,-0.260604,2.907306,0.118569,5.273779,5.910905,1.125000,0.700000
1.998717,8.626907,-0.249146,2.913197,0.117214,5.329489,5.931677,1.125000,0.700000
2.048685,8.578185,-0.237971,2.919023,0.115861,5.384816,6.067390,1.150000,0.675000
2.098653,8.529435,-0.227085,2.924777,0.114515,5.440826,6.284010,1.150000,0.675000
