# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
0.000000,15.893147,-10.220553,-2.161792,-1.232439,2.355642,0.900759,1.525000,0.425000
0.019999,15.881291,-10.237764,-2.185453,-1.025622,2.363277,0.404463,1.500000,0.412500
0.039998,15.869671,-10.253901,-2.203517,-0.780433,2.366697,0.453837,1.500000,0.400000
0.059997,15.857955,-10.269655,-2.216168,-0.581835,2.370529,0.518613,1.475000,0.387500
0.079996,15.845514,-10.285967,-2.228768,-0.644473,2.374900,0.584527,1.462500,0.375000
0.099995,15.833728,-10.301020,-2.241507,-0.683571,2.379817,0.657327,1.450000,0.362500
0.119994,15.820735,-10.317177,-2.254016,-0.502970,2.385335,0.740958,1.450000,0.350000
0.139993,15.808533,-10.332044,-2.261193,-0.218487,2.391539,0.835778,1.450000,0.337500
0.159992,15.795329,-10.347957,-2.265702,-0.220890,2.398518,0.935662,1.450000,0.325000
0.179991,15.782674,-10.363070,-2.270160,-0.267005,2.406307,1.042063,1.425000,0.312500
0.199990,15.769936,-10.378114,-2.277388,-0.485375,2.414952,1.156709,1.425000,0.300000
0.219989,15.756737,-10.393369,-2.292858,-1.117536,2.424512,1.268220,1.412500,0.287500
0.239988,15.743398,-10.408114,-2.320883,-1.582760,2.434951,-0.017889,1.387500,0.275000
0.259987,15.729681,-10.422367,-2.353754,-1.709922,2.434804,-0.017886,1.362500,0.262500
0.279986,15.715516,-10.436150,-2.384702,-1.340648,2.434657,-0.017886,1.337500,0.262500
0.299985,15.700970,-10.449578,-2.405744,-0.788518,2.434510,6.111227,1.312500,0.262500
0.319984,15.686040,-10.462924,-2.417379,-0.456434,2.484206,1.732317,1.287500,0.250000
0.339983,15.670836,-10.476257,-2.425670,-0.366038,2.498113,1.803858,1.275000,0.275000
0.359982,15.656131,-10.488946,-2.434275,-0.537796,2.512512,1.856385,1.275000,0.287500
0.379981,15.640408,-10.502225,-2.446568,-0.664582,2.527245,1.900205,1.237500,0.262500
0.399980,15.625484,-10.514490,-2.461499,-0.860180,2.542238,1.937755,1.237500,0.250000
0.419979,15.609181,-10.527425,-2.480628,-0.969614,2.557436,1.971939,1.212500,0.262500
0.439978,15.593957,-10.539027,-2.500532,-1.098853,2.572810,-0.019971,1.175000,0.275000
0.459977,15.577460,-10.551044,-2.523844,-1.177437,2.572655,-0.019969,1.162500,0.287500
