# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
41.9592904,-27.8373897,49.2585006,-0.0532412,0.0092342,12.0000000,0.0000000
42.3089512,-27.4881165,49.2404285,-0.0502209,0.0080351,12.0000000,0.0000000
42.6586119,-27.1388700,49.2233430,-0.0476031,0.0069820,12.0000000,0.0000000
43.0082727,-26.7896982,49.2071154,-0.0453361,0.0060244,12.0000000,0.0000000
43.3579334,-26.4403968,49.1916198,-0.0433793,0.0051646,12.0000000,0.0000000
43.7075942,-26.0911530,49.1767607,-0.0417059,0.0044144,12.0000000,0.0000000
44.0572550,-25.7419035,49.1624415,-0.0402873,0.0037329,12.0000000,0.0000000
44.4069157,-25.3924508,49.1485710,-0.0390915,0.0031212,12.0000000,0.0000000
44.7565765,-25.0430847,49.1350871,-0.0380916,0.0025988,12.0000000,-4.4880680
45.1062372,-24.6939530,49.1219307,-0.0372644,0.0021525,11.8685044,-7.4218747
45.4558980,-24.3445307,49.1090268,-0.0365836,0.0017619,11.6477947,-7.4703767
45.8055587,-23.9946679,49.0963230,-0.0360256,0.0014269,11.4213364,-7.5075163
46.1552195,-23.6458183,49.0838312,-0.0355776,0.0011421,11.1891357,-7.5348565
46.5048802,-23.2965390,49.0714621,-0.0352495,0.0006323,10.9511402,-7.5860903
46.8545410,-22.9465595,49.0591452,-0.0351525,-0.0003310,10.7061830,-7.2356882
47.2042017,-22.5975698,49.0467845,-0.0358455,-0.0036045,10.4672003,-6.9136441
47.5538625,-22.2486078,49.0339867,-0.0376503,-0.0067067,10.2336417,-6.7385790
47.9035232,-21.8985337,49.0203288,-0.0404832,-0.0086309,10.0007494,-6.7372639
48.2531840,-21.5496567,49.0057379,-0.0429258,-0.0054071,9.7623499,-7.0719312
48.6028448,-21.2003622,48.9904587,-0.0443875,-0.0033154,9.5056784,-7.2730554
48.9525055,-20.8501955,48.9747316,-0.0452948,-0.0018608,9.2342687,-7.3987312
49.3021663,-20.5012696,48.9588349,-0.0456685,-0.0002902,8.9497277,-7.4301362
49.6518270,-20.1517501,48.9428756,-0.0454983,0.0012801,8.6545694,-7.3101428
50.0014878,-19.8021922,48.9270713,-0.0447716,0.0028722,8.3540069,-7.1814388
50.3511485,-19.4528789,48.9116368,-0.0434258,0.0048481,8.0478132,-7.1162305
50.7008093,-19.1034236,48.8967876,-0.0414274,0.0060910,7.7324488,-7.1161872
51.0504700,-18.7540611,48.8826770,-0.0393134,0.0060032,7.4036654,-7.1361358
51.4001308,-18.4045650,48.8691665,-0.0386382,-0.0043476,7.0585982,-6.5056591
51.7497915,-18.0552605,48.8551255,-0.0425779,-0.0205626,6.7286151,-5.4262601
52.0994523,-17.7059548,48.8384232,-0.0545910,-0.0481901,6.4404628,-4.5099024
52.4491130,-17.3569655,48.8158354,-0.0762845,-0.0758172,6.1907745,-3.7188644
52.7987738,-17.0089267,48.7840242,-0.1076267,-0.1032592,5.9770400,-3.1623016
53.1484345,-16.6619782,48.7397117,-0.1477934,-0.1264810,5.7890882,-2.6655696
53.4980953,-16.3173030,48.6800933,-0.1960912,-0.1494475,5.6257845,-2.1502198
53.8477561,-15.9766507,48.6026347,-0.2524930,-0.1738469,5.4905151,-1.6620112
54.1974168,-15.6403318,48.5043573,-0.3174773,-0.1975417,5.3836304,-1.1945424
54.5470776,-15.3122862,48.3832966,-0.3909284,-0.2199222,5.3054790,-0.8152085
54.8967383,-14.9951160,48.2377132,-0.4707713,-0.2381610,5.2514773,-0.6061340
55.2463991,-14.6896547,48.0655359,-0.5563798,-0.2495312,5.2109627,-0.4147186
55.5960598,-14.4013095,47.8679456,-0.6457536,-0.2593179,5.1830599,-0.2702993
55.9457206,-14.1329012,47.6458441,-0.7372087,-0.2665481,5.1647927,-0.2689313
56.2953813,-13.8841817,47.3977487,-0.8311523,-0.2684709,5.1465537,-0.2431839
56.6450421,-13.6606895,47.1282508,-0.9258941,-0.2711647,5.1300050,-0.1830894
56.9947028,-13.4646703,46.8401800,-1.0209562,-0.2747703,5.1175104,-0.0788587
57.3443636,-13.2969625,46.5344228,-1.1175171,-0.2793321,5.1121194,-0.0788587
57.6940243,-13.1589237,46.2118946,-1.2149090,-0.2736954,5.1067228,0.0837099
58.0436851,-13.0524063,45.8792940,-1.3032521,-0.2163695,5.1124512,1.5658481
58.3933459,-12.9714723,45.5413860,-1.3635777,-0.1358806,5.2184470,3.5175007
58.7430066,-12.9066814,45.2005170,-1.4002727,-0.1057639,5.4490414,4.0700578
59.0926674,-12.8543804,44.8547615,-1.4428007,-0.1397056,5.7042380,2.4762766
59.4423281,-12.8190155,44.5047393,-1.4998006,-0.1807242,5.8540623,-0.6774883
59.7919889,-12.8056680,44.1587731,-1.5656907,-0.1989715,5.8134553,-0.3826368
60.1416496,-12.8163887,43.8086948,-1.6377060,-0.2093293,5.7903952,-0.1009598
60.4913104,-12.8531300,43.4577923,-1.7130936,-0.2181835,5.7842954,-0.1009598
60.8409711,-12.9154199,43.1157851,-1.7888360,-0.2185926,5.7781892,-0.0990018
61.1906319,-13.0043403,42.7768294,-1.8658454,-0.2179694,5.7721951,-0.0628934
61.5402926,-13.1188940,42.4456202,-1.9415296,-0.2146961,5.7683839,0.0557429
61.8899534,-13.2573294,42.1251120,-2.0147893,-0.2036820,5.7717619,0.4141709
62.2396141,-13.4188218,41.8142101,-2.0843239,-0.1917518,5.7967986,0.7551912
62.5892749,-13.6002634,41.5155202,-2.1479269,-0.1726573,5.8421739,1.3040448
62.9389356,-13.7997107,41.2279024,-2.2051686,-0.1534472,5.9197079,1.8170149
63.2885964,-14.0140832,40.9517038,-2.2553440,-0.1338815,6.0260783,2.3287021
63.6382572,-14.2417551,40.6854198,-2.3006495,-0.1264392,6.1597184,2.3881380
63.9879179,-14.4803212,40.4301983,-2.3440605,-0.1220525,6.2938230,2.3457012
64.3375787,-14.7300493,40.1848907,-2.3858885,-0.1169283,6.4228192,2.3519211
64.6872394,-14.9893908,39.9501926,-2.4258477,-0.1112245,6.5496073,2.3993215
65.0369002,-15.2568387,39.7264146,-2.4634862,-0.1045377,6.6764701,2.5056986
65.3865609,-15.5337693,39.5114431,-2.4991915,-0.0992033,6.8064339,2.5643607
65.7362217,-15.8170300,39.3069117,-2.5329365,-0.0940871,6.9369197,2.6272433
66.0858824,-16.1068093,39.1118347,-2.5649473,-0.0891266,7.0681074,2.6966533
66.4355432,-16.4033214,38.9253962,-2.5953712,-0.0847054,7.2002757,2.7520940
66.7852039,-16.7043096,38.7483592,-2.6241879,-0.0804577,7.3327054,2.8116587
67.1348647,-17.0104941,38.5796691,-2.6516348,-0.0765159,7.4655758,2.8672183
67.4845254,-17.3215594,38.4189944,-2.6777761,-0.0729108,7.5986794,2.9159080
67.8341862,-17.6358232,38.2666853,-2.7026120,-0.0694260,7.7316936,2.9693928
68.1838470,-17.9539193,38.1219407,-2.7263197,-0.0661938,7.8648361,3.0188915
68.5335077,-18.2758622,37.9843568,-2.7489717,-0.0632650,7.9979261,3.0601166
68.8831685,-18.6001208,37.8541886,-2.7705644,-0.0604469,8.1306105,3.1045694
69.2328292,-18.9267879,37.7309963,-2.7912121,-0.0577847,8.2630454,3.1485543
69.5824900,-19.2568751,37.6140850,-2.8110479,-0.0554877,8.3952231,3.1765637
69.9321507,-19.5886487,37.5037770,-2.8300476,-0.0533148,8.5265005,3.2045722
70.2818115,-19.9220759,37.3997750,-2.8483069,-0.0512816,8.6569185,3.2307029
70.6314722,-20.2577382,37.3016465,-2.8659415,-0.0495300,8.7864405,3.2432497
70.9811330,-20.5951361,37.2093272,-2.8829906,-0.0480115,8.9145730,3.2447429
71.3307937,-20.9337705,37.1227517,-2.8995151,-0.0466404,9.0409474,3.2410260
71.6804545,-21.2736593,37.0417339,-2.9156001,-0.0454262,9.1654378,3.2304783
72.0301152,-21.6151392,36.9660535,-2.9313318,-0.0445014,9.2878626,3.2008132
72.3797760,-21.9576433,36.8957210,-2.9467466,-0.0437362,9.4075921,3.1621648
72.7294367,-22.3010999,36.8306486,-2.9619124,-0.0431000,9.5243981,3.1164855
73.0790975,-22.6455319,36.7707531,-2.9768934,-0.0425910,9.6381318,3.0632603
73.4287583,-22.9908612,36.7159912,-2.9917363,-0.0422932,9.7486301,2.9938633
73.7784190,-23.3369086,36.6663499,-3.0064776,-0.0420855,9.8554280,2.9191654
74.1280798,-23.6836932,36.6217992,-3.0211626,-0.0419534,9.9584586,2.8401929
74.4777405,-24.0312200,36.5823270,-3.0358278,-0.0418909,10.0576888,2.7571913
74.8274013,-24.3790344,36.5479770,-3.0504795,-0.0419391,10.1530915,2.6656349
75.1770620,-24.7273806,36.5187238,-3.0651495,-0.0420138,10.2444816,2.5739939
75.5267228,-25.0762561,36.4945809,-3.0798573,-0.0421114,10.3319627,2.4825192
75.8763835,-25.4255320,36.4755747,-3.0946101,-0.0422323,10.4156388,2.3910552
76.2260443,-25.7747026,36.4617383,-3.1093593,-0.0421679,10.4956014,2.3224866
76.5757050,-26.1241996,36.4530420,-3.1240354,-0.0415742,10.5726919,2.3154553
76.9253658,-26.4739880,36.4494242,-3.1384071,-0.0405540,10.6489934,2.3589478
77.2750265,-26.8236506,36.4507646,3.1308114,-0.0393349,10.7261700,2.4273204
77.6246873,-27.1730711,36.4569088,3.1172831,-0.0380784,10.8050082,2.5021216
77.9743481,-27.5225995,36.4677106,3.1041886,-0.0367946,10.8856781,2.5823420
78.3240088,-27.8721984,36.4830207,3.0915423,-0.0354848,10.9683124,2.6680233
78.6736696,-28.2210501,36.5026359,3.0793852,-0.0341085,11.0530395,2.7643254
79.0233303,-28.5698249,36.5264204,3.0677047,-0.0326954,11.1401452,2.8679324
79.3729911,-28.9185554,36.5542113,3.0565169,-0.0312505,11.2298015,2.9785150
79.7226518,-29.2667839,36.5857952,3.0458536,-0.0297494,11.3221632,3.0995690
80.0723126,-29.6144981,36.6209810,3.0357265,-0.0281896,11.4174855,3.2318798
80.4219733,-29.9621081,36.6596211,3.0261414,-0.0265980,11.5160366,3.3724244
80.7716341,-30.3094387,36.7015048,3.0171230,-0.0249658,11.6179821,3.5228825
81.1212948,-30.6559671,36.7463623,3.0086972,-0.0232588,11.7235291,3.6885514
81.4709556,-31.0023827,36.7940720,3.0008630,-0.0215234,11.8330308,3.8637726
81.8206163,-31.3486737,36.8444242,2.9936406,-0.0197603,11.9466580,1.8265733
82.1702771,-31.6940930,36.8970873,2.9870590,-0.0179199,12.0000000,-0.9307015
82.5199378,-32.0394031,36.9519490,2.9811156,-0.0160532,11.9728501,-5.4284575
82.8695986,-32.3846352,37.0087877,2.9758294,-0.0141626,11.8132512,-5.7422494
83.2192594,-32.7292144,37.0672719,2.9712204,-0.0122188,11.6420456,-6.0509369
83.5689201,-33.0736437,37.1272451,2.9672912,-0.0102331,11.4588688,-6.3510082
83.9185809,-33.4180869,37.1884916,2.9640663,-0.0080785,11.2634044,-6.6565214
84.2682416,-33.7620869,37.2506477,2.9617835,-0.0049923,11.0548283,-7.0580485
84.6179024,-34.1059829,37.3133777,2.9609332,0.0012640,10.8292836,-6.6417110
84.9675631,-34.4501176,37.3759908,2.9627566,0.0088623,10.6126666,-6.0565007
85.3172239,-34.7941649,37.4375159,2.9668425,0.0144896,10.4112080,-5.5798306
85.6668846,-35.1385684,37.4973123,2.9728116,0.0194798,10.2220916,-5.1649822
86.0165454,-35.4837695,37.5548281,2.9804496,0.0241816,10.0438625,-4.7673505
86.3662061,-35.8290499,37.6093585,2.9897412,0.0289813,9.8765005,-4.4138703
86.7158669,-36.1750128,37.6604108,3.0006933,0.0335720,9.7189787,-4.0917301
87.0655276,-36.5216387,37.7074089,3.0132235,0.0380434,9.5706381,-3.8135811
87.4151884,-36.8687252,37.7497804,3.0272520,0.0422215,9.4302807,-3.5687655
87.7648492,-37.2165155,37.7870357,3.0427367,0.0461859,9.2970145,-3.3455192
88.1145099,-37.5646549,37.8186496,3.0595560,0.0500415,9.1703264,-3.1748807
88.4641707,-37.9136015,37.8441998,3.0776438,0.0534009,9.0484597,-3.0286805
88.8138314,-38.2628987,37.8632230,3.0969105,0.0565719,8.9306552,-2.8987625
89.1634922,-38.6119617,37.8753152,3.1171983,0.0596400,8.8164298,-2.8249710
89.5131529,-38.9621240,37.8801529,3.1385007,0.0620908,8.7036700,-2.7697066
89.8628137,-39.3119603,37.8773814,-3.1225232,0.0643895,8.5916795,-2.7298897
90.2124744,-39.6608024,37.8667633,-3.0996754,0.0665726,8.4798518,-2.7292593
90.5621352,-40.0106969,37.8479688,-3.0760932,0.0681119,8.3665558,-2.7418073
90.9117959,-40.3596321,37.8208661,-3.0519837,0.0694416,8.2511727,-2.7750735
91.2614567,-40.7068256,37.7854007,-3.0275384,0.0705686,8.1327230,-2.8272065
91.6111174,-41.0539677,37.7412769,-3.0027595,0.0711151,8.0102470,-2.9239067
