# x_m, y_m, w_tr_right_m, w_tr_left_m
5.472895, -7.119361, 1.9387, 1.2597
5.545982, -7.087055, 2.1566, 1.2697
5.615050, -7.046858, 1.4601, 1.2877
5.679766, -6.999968, 1.4597, 1.3094
5.740283, -6.947761, 1.8764, 1.3248
5.797074, -6.891517, 1.6435, 1.3254
5.850757, -6.832296, 1.4608, 1.3084
5.901957, -6.770913, 1.3179, 1.2771
5.951235, -6.707975, 1.2088, 1.2383
5.999060, -6.643925, 1.1383, 1.1939
6.045800, -6.579079, 1.0813, 1.1374
6.091741, -6.513664, 1.0246, 1.0693
6.137094, -6.447839, 0.9803, 1.0085
6.182021, -6.381724, 0.9441, 0.9655
6.226652, -6.315408, 0.9093, 0.9314
6.271093, -6.248964, 0.8797, 0.8990
6.315440, -6.182458, 0.8537, 0.8683
6.359783, -6.115949, 0.8307, 0.8493
6.404193, -6.049485, 0.8137, 0.8443
6.448724, -5.983102, 0.8028, 0.8425
6.493388, -5.916808, 0.7947, 0.8388
6.538145, -5.850577, 0.7891, 0.8336
6.582880, -5.784331, 0.7872, 0.8279
6.627381, -5.717928, 0.7889, 0.8226
6.671322, -5.651153, 0.7933, 0.8174
6.714235, -5.583714, 0.8023, 0.8104
6.755483, -5.515244, 0.8220, 0.8009
6.794216, -5.445324, 0.8562, 0.7918
6.829329, -5.373520, 0.9080, 0.7858
6.859408, -5.299473, 0.9832, 0.7828
6.882727, -5.223036, 1.1136, 0.7827
6.897344, -5.144479, 0.8391, 0.7894
6.901421, -5.064688, 0.8306, 0.8120
6.893736, -4.985170, 0.8263, 0.8609
6.874149, -4.907718, 0.8241, 0.9340
6.843623, -4.833882, 1.1141, 1.0304
6.803775, -4.764621, 0.9808, 1.1625
6.756344, -4.700306, 0.8804, 0.7906
6.702858, -4.640923, 0.8096, 0.7900
6.644528, -4.586286, 0.7507, 0.7903
6.582263, -4.536174, 0.7021, 0.7905
6.516740, -4.490401, 0.6678, 0.7905
6.448466, -4.448842, 0.6469, 0.6192
6.377834, -4.411428, 0.6317, 0.5410
6.305168, -4.378136, 0.6236, 0.5174
6.230750, -4.348968, 0.6241, 0.5240
6.154842, -4.323935, 0.6330, 0.5611
6.077691, -4.303041, 0.6498, 0.6445
5.999538, -4.286281, 0.6735, 0.7939
5.920613, -4.273644, 0.7053, 0.8730
5.841138, -4.265118, 0.7413, 0.9267
5.761330, -4.260700, 0.7891, 0.9686
5.681400, -4.260390, 0.8523, 1.0027
5.601560, -4.264188, 0.9159, 1.0307
5.522019, -4.272065, 0.9936, 1.0543
5.442973, -4.283927, 1.0856, 1.0747
5.364587, -4.299572, 1.1849, 1.0935
5.286968, -4.318664, 1.2866, 1.1114
5.210136, -4.340712, 1.3836, 1.1300
5.134008, -4.365084, 1.3615, 1.1516
5.058404, -4.391040, 1.2914, 1.1803
4.983070, -4.417771, 1.2426, 1.2096
4.907718, -4.444450, 1.1957, 1.2005
4.832070, -4.470276, 1.1567, 1.1374
4.755899, -4.494515, 1.1231, 1.1048
4.679057, -4.516534, 1.0920, 1.0930
4.601489, -4.535832, 1.0623, 1.0739
4.523220, -4.552054, 1.0333, 1.0509
4.444342, -4.564994, 1.0041, 1.0226
4.364987, -4.574579, 0.9738, 0.9909
4.285300, -4.580844, 0.9417, 0.9554
4.205426, -4.583906, 0.9080, 0.9132
4.125493, -4.583935, 0.8734, 0.8747
4.045609, -4.581137, 0.8401, 0.8447
3.965858, -4.575730, 0.8093, 0.8162
3.886304, -4.567942, 0.7811, 0.7905
3.806990, -4.557999, 0.7562, 0.7689
