bag_time,time,status,level,closest_point_dist_m,command_speed_mps,command_steering_rad,drivable_gap_count,emergency_stop,forward_clearance_m,gap_0_deepest_angle,gap_0_end_angle,gap_0_max_clearance,gap_0_mean_clearance,gap_0_score,gap_0_start_angle,gap_0_weighted_center,gap_0_width,gap_1_deepest_angle,gap_1_end_angle,gap_1_max_clearance,gap_1_mean_clearance,gap_1_score,gap_1_start_angle,gap_1_weighted_center,gap_1_width,no_path,rate_limited_steering,raw_steering,raw_target_angle,selected_gap_deepest_angle,selected_gap_end_angle,selected_gap_max_clearance,selected_gap_mean_clearance,selected_gap_score,selected_gap_start_angle,selected_gap_weighted_center,selected_gap_width,smoothed_target_angle,source_stamp_s
1788887140.7511396,1788887140.7509637,gap_selected,b'\x00',0.860034,0.274870,0.080000,2.000000,0.000000,4.317894,-0.187618,-0.187618,3.554988,1.299517,7.543578,-1.400622,-0.561689,1.213004,0.087271,1.418085,7.945478,2.006583,28.442833,0.087271,0.380716,1.330814,0.000000,0.080000,0.233994,0.233994,0.087271,1.418085,7.945478,2.006583,28.442833,0.087271,0.380716,1.330814,0.233994,1788886603.663709
1788887140.752393,1788887140.7523267,gap_selected,b'\x00',0.860053,0.274870,0.233993,2.000000,0.000000,4.317824,-0.187618,-0.187618,3.555104,1.299547,7.543948,-1.400622,-0.561688,1.213004,0.087271,1.418085,7.945354,2.006545,28.442169,0.087271,0.380716,1.330814,0.000000,0.233993,0.233993,0.233993,0.087271,1.418085,7.945354,2.006545,28.442169,0.087271,0.380716,1.330814,0.233993,1788886603.940190
1788887140.7586243,1788887140.758548,gap_selected,b'\x00',0.860056,0.274870,0.233993,2.000000,0.000000,4.317810,-0.187618,-0.187618,3.555125,1.299552,7.544015,-1.400622,-0.561688,1.213004,0.087271,1.418085,7.945327,2.006538,28.442023,0.087271,0.380716,1.330814,0.000000,0.233993,0.233993,0.233993,0.087271,1.418085,7.945327,2.006538,28.442023,0.087271,0.380716,1.330814,0.233993,1788886603.964063
1788887140.7633903,1788887140.7633107,gap_selected,b'\x00',0.860059,0.274870,0.233993,2.000000,0.000000,4.317784,-0.187618,-0.187618,3.555161,1.299560,7.544130,-1.400622,-0.561687,1.213004,0.087271,1.418085,7.945276,2.006528,28.441748,0.087271,0.380716,1.330814,0.000000,0.233993,0.233993,0.233993,0.087271,1.418085,7.945276,2.006528,28.441748,0.087271,0.380716,1.330814,0.233993,1788886604.014583
1788887140.7683117,1788887140.768269,gap_selected,b'\x00',0.860059,0.274870,0.233993,2.000000,0.000000,4.317798,-0.187618,-0.187618,3.555146,1.299558,7.544081,-1.400622,-0.561688,1.213004,0.087271,1.418085,7.945306,2.006531,28.441911,0.087271,0.380715,1.330814,0.000000,0.233993,0.233993,0.233993,0.087271,1.418085,7.945306,2.006531,28.441911,0.087271,0.380715,1.330814,0.233993,1788886604.064800
1788887140.7732852,1788887140.7732038,gap_selected,b'\x00',0.860059,0.274870,0.233993,2.000000,0.000000,4.317798,-0.187618,-0.187618,3.555146,1.299558,7.544081,-1.400622,-0.561688,1.213004,0.087271,1.418085,7.945306,2.006531,28.441911,0.087271,0.380715,1.330814,0.000000,0.233993,0.233993,0.233993,0.087271,1.418085,7.945306,2.006531,28.441911,0.087271,0.380715,1.330814,0.233993,1788886604.114722
1788887140.7782664,1788887140.7781882,gap_selected,b'\x00',0.860059,0.274870,0.233993,2.000000,0.000000,4.317803,-0.187618,-0.187618,3.555141,1.299558,7.544065,-1.400622,-0.561688,1.213004,0.087271,1.418085,7.945317,2.006532,28.441970,0.087271,0.380715,1.330814,0.000000,0.233993,0.233993,0.233993,0.087271,1.418085,7.945317,2.006532,28.441970,0.087271,0.380715,1.330814,0.233993,1788886604.164648
1788887140.783397,1788887140.7833335,gap_selected,b'\x00',0.860059,0.274870,0.233993,2.000000,0.000000,4.317798,-0.187618,-0.187618,3.555146,1.299558,7.544081,-1.400622,-0.561688,1.213004,0.087271,1.418085,7.945306,2.006531,28.441911,0.087271,0.380715,1.330814,0.000000,0.233993,0.233993,0.233993,0.087271,1.418085,7.945306,2.006531,28.441911,0.087271,0.380715,1.330814,0.233993,1788886604.213742
1788887140.7883904,1788887140.7883017,gap_selected,b'\x00',0.860059,0.274870,0.233993,2.000000,0.000000,4.317803,-0.187618,-0.187618,3.555141,1.299558,7.544065,-1.400622,-0.561688,1.213004,0.087271,1.418085,7.945317,2.006532,28.441970,0.087271,0.380715,1.330814,0.000000,0.233993,0.233993,0.233993,0.087271,1.418085,7.945317,2.006532,28.441970,0.087271,0.380715,1.330814,0.233993,1788886604.264959
1788887140.7932174,1788887140.7931385,gap_selected,b'\x00',0.860059,0.274870,0.233993,2.000000,0.000000,4.317798,-0.187618,-0.187618,3.555146,1.299558,7.544081,-1.400622,-0.561688,1.213004,0.087271,1.418085,7.945306,2.006531,28.441911,0.087271,0.380715,1.330814,0.000000,0.233993,0.233993,0.233993,0.087271,1.418085,7.945306,2.006531,28.441911,0.087271,0.380715,1.330814,0.233993,1788886604.314617
