stamp_s,left_angle_rad,right_angle_rad,ax_mps2,ay_mps2,yaw_rate_radps,yaw_rad
1789484645.3034759,0.0,0.0,0.0,0.0,0.0,0.0
1789484645.3284757,0.0,0.0,0.0,0.0,0.0,0.0
1789484645.3534758,0.0,0.0,16.02,0.0326,-0.0001,-5.780033405455853e-06
1789484645.378476,0.0,0.0,-1.5848,-0.0085,0.0,-0.00015490399109774344
1789484645.4034758,8.5314,8.5314,5.665,0.0018,0.0,-0.00015140268887892105
1789484645.4284759,17.5929,17.5929,5.4165,-0.0005,0.0,-0.00012483558183484789
1789484645.4534757,26.6545,26.6545,5.3624,-0.0018,0.0,-0.00010369075062133248
1789484645.4784758,35.7127,35.7127,5.2969,-0.0013,0.0,-8.712759056228592e-05
1789484645.503476,44.7742,44.7742,5.2524,0.0006,0.0,-7.442553876879643e-05
1789484645.5284758,53.8358,53.8358,5.2059,0.0006,0.0,-6.4984170476734e-05
1789484645.5534759,62.8973,62.8973,5.1768,0.0001,0.0,-5.408292482433906e-05
1789484645.578476,71.9588,71.9588,5.1211,0.0001,0.0,-4.802230604727953e-05
1789484645.6034758,81.0204,81.0204,5.1042,-0.0003,0.0,-4.232179107055423e-05
1789484645.6284757,90.0819,90.0819,5.055,0.0023,0.0,-3.6981367579347335e-05
1789484645.653476,99.1434,99.1434,5.0209,-0.0001,0.0,-3.3621118506355074e-05
1789484645.6784759,108.205,108.205,4.9737,0.0015,0.0,-2.888083408114639e-05
1789484645.7044756,117.6265,117.6297,4.9296,-0.0021,0.0,-2.7380743617966274e-05
1789484645.7284758,126.328,126.328,4.89,0.001,0.0,-2.450060026459866e-05
1789484645.7534757,135.3896,135.3896,4.8716,-0.0015,0.0,-2.3120531866593907e-05
1789484645.778476,144.4511,144.4511,4.8288,-0.0007,0.0,-2.048041943703005e-05
1789484645.802476,153.1494,153.1494,4.793,0.0008,0.0,-1.9220369413153193e-05
1789484645.8284757,162.5742,162.5742,4.7694,0.0001,0.0,-1.8000324002898083e-05
1789484645.853476,171.6357,171.6357,4.7307,0.0003,0.0,-1.682028291405402e-05
1789484645.878476,180.6972,180.6972,4.6941,-0.0022,0.0,-1.6820284282959008e-05
1789484645.9034758,189.7587,189.7587,4.671,-0.0023,0.0,-1.568024586262596e-05
1789484645.9284759,198.8203,198.8203,4.6309,-0.0015,0.0,-1.4580212575721063e-05
1789484645.9534757,207.8818,207.8818,4.5854,-0.0028,0.0,-1.4580212575721063e-05
1789484645.9784758,216.9433,216.9433,4.5678,0.0008,0.0,-1.3520182789106272e-05
1789484646.003476,226.0049,226.0049,4.526,0.0028,0.0,-1.3520182789106272e-05
1789484646.0284758,235.0664,235.0664,4.5037,0.0026,0.0,-1.3520182789106272e-05
1789484646.0534759,244.1279,244.1279,4.4706,0.0007,0.0,-1.2500156247874372e-05
1789484646.078476,253.1895,253.1927,4.4427,-0.0002,0.0,-1.2500156247874372e-05
1789484646.1034758,262.251,262.2543,4.4063,0.0017,0.0,-1.2500156247874372e-05
1789484646.1284757,271.3125,271.3158,4.3744,0.001,0.0,-1.2500159588091364e-05
1789484646.153476,280.3741,280.3773,4.3615,-0.0001,0.0,-1.1520132707998343e-05
1789484646.1784759,289.4356,289.4389,4.308,0.0011,0.0,-1.1520132707998343e-05
1789484646.2034757,298.4971,298.5004,4.2834,0.0002,0.0,-1.1520132707998343e-05
1789484646.2284758,307.5587,307.5619,4.2439,-0.002,0.0,-1.1520132707998343e-05
1789484646.2534757,316.6202,316.6235,4.2196,0.0041,0.0,-1.1520132707998343e-05
1789484646.278476,325.6817,325.685,4.2177,-0.0016,0.0,-1.1520132707998343e-05
1789484646.3034759,334.7433,334.7465,4.1722,0.0003,0.0,-1.1520132707998343e-05
1789484646.3284757,343.8048,343.8113,4.1347,0.0008,0.0,-1.1520132707998343e-05
1789484646.3534758,352.8663,352.8729,4.1037,-0.0001,0.0,-1.0580111933666814e-05
1789484646.378476,361.9311,361.9344,4.0709,-0.0001,0.0,-1.0580111933666814e-05
1789484646.4034758,370.9926,370.9959,4.0493,-0.0009,0.0,-1.0580111933666814e-05
1789484646.428476,380.0542,380.0575,4.0114,-0.0004,0.0,-1.0580111933666814e-05
1789484646.453476,389.1157,389.119,3.9795,-0.0055,0.0,-1.0580111933666814e-05
1789484646.4784758,398.174,398.1805,3.988,-0.0012,0.0,-1.0580111933666814e-05
1789484646.503476,407.2355,407.2421,3.8899,-0.0077,0.0,-1.0580111933666814e-05
1789484646.528476,416.297,416.3036,3.9346,-0.0014,0.0,-1.0580111933666814e-05
1789484646.5534759,425.3586,425.3618,3.8741,-0.0033,0.0,-1.0580111933666814e-05
1789484646.578476,434.4201,434.4234,3.9037,-0.0018,0.0,-1.0580111933666814e-05
1789484646.6034758,443.4816,443.4849,3.8362,-0.0038,0.0,-1.0580111933666814e-05
1789484646.6284757,452.5432,452.5464,3.8062,0.0006,0.0,-1.0580111933666814e-05
1789484646.653476,461.6047,461.608,3.7607,-0.0035,0.0,-1.0580111933666814e-05
1789484646.6784759,470.6662,470.6695,3.7373,-0.0013,0.0,-1.0580111933666814e-05
1789484646.7034757,479.7278,479.731,3.7327,-0.0035,0.0,-1.0580111933666814e-05
1789484646.7284758,488.7893,488.7925,3.6928,-0.0005,0.0,-1.0580111933666814e-05
1789484646.7534757,497.8508,497.8541,3.6835,-0.0041,0.0,-1.0580111933666814e-05
1789484646.778476,506.9091,506.9156,3.6376,-0.0013,0.0,-1.0580111933666814e-05
1789484646.8034759,515.9706,515.9772,3.6114,-0.0008,0.0,-1.0580111933666814e-05
1789484646.8284757,525.0321,525.0387,3.6073,-0.0007,0.0,-1.0580111933666814e-05
1789484646.8534758,534.0937,534.1002,3.5745,0.003,0.0,-1.0580111933666814e-05
1789484646.878476,543.1552,543.1584,3.5647,-0.0001,0.0,-1.0580111933666814e-05
1789484646.9034758,552.2167,552.22,3.5315,-0.0033,0.0,-1.0580111933666814e-05
