s_ref_m,x_ref_m,y_ref_m,kappa_ref,ey_m,epsi_rad,u_mps,r_radps,target_mps,delta_rad,qdelta_radps,qv_mps2,left_m,right_m
0.00000000,-2.60758600,4.24238400,0.652952237,-1.25079408,0.356200815,2.56710001,2.26359133,2.84818506,0.260748681,-0.389608450,2.04016123,1.8809450,2.7972800
0.10980519,-2.71054049,4.20424275,0.732016774,-1.16312983,0.460706399,2.72815279,2.09410467,3.02233460,0.231026813,-0.327260159,2.15545519,1.8009241,2.8378720
0.21961038,-2.81008086,4.15793083,0.840070580,-1.05025128,0.542422673,2.89799532,1.95237456,3.20509624,0.204599878,-0.309194042,2.23798268,1.7105995,2.7129727
0.32941556,-2.90492387,4.10264607,0.946901301,-0.91776989,0.598968487,3.07283292,1.82336074,3.39021314,0.180165991,-0.286038263,2.27619743,1.6106769,2.4962900
0.43922075,-2.99351383,4.03782609,1.043103521,-0.77568904,0.626988464,3.24432415,1.69151601,3.56782609,0.155485919,-0.341519959,2.26819935,1.5084638,2.2145665
0.54902594,-3.07413586,3.96333843,1.106673731,-0.63642020,0.624221865,3.40323814,1.52933156,3.72811367,0.125266585,-0.498417882,2.20822335,1.4236401,1.9748950
0.65883113,-3.14515766,3.87965265,1.126950156,-0.51118555,0.591474982,3.54271010,1.31553168,3.86423293,0.089731394,-0.620161096,2.09664925,1.3599271,1.7523718
0.76863631,-3.20534244,3.78786303,1.098295013,-0.40651170,0.534164705,3.66038267,1.06519886,3.97442205,0.055934752,-0.610165242,1.94135258,1.3194794,1.5585020
0.87844150,-3.25410050,3.68952066,1.022944729,-0.32363771,0.461665389,3.75778802,0.81670114,4.06118056,0.029938052,-0.491954018,1.75968957,1.3194010,1.3658605
0.98824669,-3.29154547,3.58633100,0.925063735,-0.26021385,0.383446119,3.83851555,0.60001490,4.12924108,0.013103953,-0.332213261,1.57598064,1.3818824,1.2285592
1.09805188,-3.31834486,3.47987114,0.816393045,-0.21268167,0.306353072,3.90639840,0.42670309,4.18347158,0.003712117,-0.190013909,1.40513560,1.3392004,1.1359517
1.20785706,-3.33549770,3.37143129,0.712721323,-0.17777100,0.234295476,3.96455755,0.29565914,4.22774348,-0.000805885,-0.091163509,1.25508260,1.3221067,1.0704088
1.31766225,-3.34411374,3.26197637,0.620053130,-0.15291319,0.168754007,4.01529769,0.20015427,4.26484091,-0.002531479,-0.028260361,1.12541314,1.3141156,1.0267785
1.42746744,-3.34526975,3.15218544,0.522995100,-0.13619743,0.110852343,4.06017880,0.13179150,4.29654042,-0.003204725,-0.022277576,1.00902877,1.3159345,0.9975562
1.53727263,-3.33993160,3.04251671,0.471322300,-0.12620957,0.059241384,4.10034095,0.08097937,4.32409659,-0.004443651,-0.065197450,0.90977468,0.9861748,0.9803272
1.64707781,-3.32936688,2.93322111,0.108674552,-0.12112765,0.029031228,4.13596851,0.03997689,4.34721986,-0.006505836,-0.081726358,0.76245768,0.9772572,0.9721597
1.75688300,-3.31738715,2.82407197,-0.026640106,-0.11813093,0.025124632,4.16733677,0.00472191,4.36609652,-0.008421912,-0.056816195,0.65989904,1.0085087,0.9681645
1.86668819,-3.30569453,2.71489095,-0.012788468,-0.11527475,0.027007584,4.19544963,-0.02648550,4.38234672,-0.009861130,-0.047387805,0.58314558,1.0297652,0.9641024
1.97649338,-3.29412191,2.60569732,-0.011399365,-0.11229759,0.027263366,4.22077581,-0.05459757,4.39644771,-0.011454898,-0.071239034,0.50096128,1.0269770,0.9589820
2.08629856,-3.28269985,2.49648782,-0.012496912,-0.10933287,0.026786553,4.24347158,-0.08100759,4.40830426,-0.013262305,-0.066971212,0.41537366,1.0178418,0.9534006
2.19610375,-3.27142631,2.38726288,-0.012616852,-0.10645429,0.025714280,4.26365584,-0.10575600,4.41786595,-0.014609638,-0.038075735,0.32703593,1.0066730,0.9483243
2.30590894,-3.26030400,2.27802245,-0.012549894,-0.10372641,0.024055193,4.28140837,-0.12726286,4.42508637,-0.015166524,-0.006931747,0.23577979,0.9954374,0.9427181
2.41571413,-3.24933332,2.16876668,-0.013206127,-0.10120545,0.021953428,4.29677476,-0.14365680,4.42991130,-0.014826256,0.031286665,0.14152309,0.9851870,0.9366772
2.52551931,-3.23851812,2.05949541,-0.012798364,-0.09893189,0.019548030,4.30977615,-0.15311938,4.43228976,-0.013441871,0.074581316,0.04483682,0.9797014,0.9312039
2.63532450,-3.22785866,1.95020884,-0.013275891,-0.09692856,0.017024867,4.32041565,-0.15426385,4.43217701,-0.011158537,0.101858317,-0.05414467,0.9789224,0.9251555
2.74512969,-3.21735792,1.84090691,-0.013318271,-0.09519584,0.014613937,4.32868343,-0.14760108,4.42953674,-0.008792004,0.081279141,-0.15464312,0.9769880,0.9186929
2.85493488,-3.20701673,1.73158976,-0.013467222,-0.09371425,0.012447804,4.33456209,-0.13682623,4.42433875,-0.007556062,0.013013973,-0.25668876,0.9753545,0.9763329
2.96474006,-3.19683768,1.62225740,-0.013709757,-0.09245477,0.010567808,4.33802800,-0.12772875,4.41654729,-0.008083112,-0.057485153,-0.36037742,0.9754685,1.0264100
3.07454525,-3.18682315,1.51290985,-0.013680513,-0.09139243,0.008856596,4.33905147,-0.12538816,4.40612774,-0.010199197,-0.112020804,-0.46515209,0.9735130,1.0414656
3.18435044,-3.17697340,1.40354733,-0.014628200,-0.09051787,0.007143170,4.33759799,-0.13276510,4.39304880,-0.013570553,-0.155991856,-0.57096226,0.9732131,1.0600907
3.29415563,-3.16729322,1.29416967,-0.011273325,-0.08985561,0.004982396,4.33362846,-0.15091681,4.37727991,-0.017832581,-0.181447304,-0.67715572,0.9737062,1.0785680
3.40396081,-3.15778895,1.18477652,-0.011915338,-0.08947013,0.002087781,4.32710125,-0.17922593,4.35878526,-0.022502455,-0.187155257,-0.78455504,0.9733954,1.0328222
3.51376600,-3.14839527,1.07537447,-0.073676538,-0.08925582,0.001810088,4.31799994,-0.21566101,4.33749789,-0.027169049,-0.181254847,-0.89955819,0.9741587,0.8748223
