bag_time,time,x,y,yaw,vx,vy,wz
1788874661.8163395,1788874661.7597141,0.8,3.1597,-1.5707963267948966,0.009,0.0,0.0
1788874661.8825183,1788874661.8350976,0.8,3.1593,-1.5707963267948966,0.0066,0.0,0.0
1788874661.932905,1788874661.8842974,0.8,3.1591,-1.5707963267948966,0.0052,0.0,0.0
1788874661.9832964,1788874661.9347067,0.8,3.1526,-1.5693796845796153,0.2065,0.0076,0.0483
1788874662.0332193,1788874661.985583,0.8,3.1414,-1.5641403762603678,0.2249,0.0246,0.1585
1788874662.0821033,1788874662.034581,0.8002,3.1306,-1.5536676189655885,0.2182,0.0417,0.265
1788874662.1320171,1788874662.0845573,0.8005,3.12,-1.537819083785366,0.2075,0.056,0.3496
1788874662.1832736,1788874662.1344373,0.801,3.1097,-1.5204182207250425,0.2062,0.0562,0.3488
1788874662.2332673,1788874662.1849694,0.8017,3.0994,-1.5030178411897919,0.2057,0.0561,0.3487
1788874662.282484,1788874662.2346961,0.8026,3.0892,-1.4856085334896463,0.2053,0.0561,0.3486
1788874662.332928,1788874662.2851086,0.8036,3.079,-1.4680515573167783,0.205,0.056,0.3486
1788874662.382007,1788874662.3343046,0.8048,3.069,-1.4509087073779239,0.2047,0.056,0.3486
1788874662.4332297,1788874662.384369,0.8063,3.0587,-1.4330532841915893,0.2046,0.056,0.3486
1788874662.4863968,1788874662.4346914,0.8078,3.0486,-1.415611667972507,0.2044,0.056,0.3486
1788874662.536223,1788874662.4880779,0.8097,3.0379,-1.3977344694047218,0.2056,0.0544,0.3386
1788874662.5849779,1788874662.5375526,0.8117,3.0276,-1.3826808507468398,0.2102,0.0481,0.2994
1788874662.6338854,1788874662.5864305,0.8138,3.0173,-1.3697503359065093,0.214,0.0423,0.2633
1788874662.6822715,1788874662.6351447,0.8161,3.0064,-1.358097890931799,0.2392,0.0402,0.2503
1788874662.73317,1788874662.6846719,0.8192,2.9931,-1.3462890549736561,0.289,0.0398,0.2485
1788874662.7822506,1788874662.734612,0.8228,2.978,-1.3350435656874746,0.318,0.0366,0.2282
1788874662.8336215,1788874662.7845976,0.8268,2.9617,-1.3252025617915484,0.3449,0.0324,0.2022
1788874662.885331,1788874662.8348892,0.8315,2.9437,-1.3166458550067397,0.3736,0.0229,0.1375
1788874662.934336,1788874662.886728,0.8368,2.9237,-1.309962233423765,0.4205,0.0215,0.1348
1788874662.983135,1788874662.9357831,0.8424,2.9029,-1.3049650316535295,0.4478,0.0163,0.1024
1788874663.0329692,1788874662.9851255,0.8486,2.8805,-1.3026880879373937,0.4736,0.0073,0.046
1788874663.082572,1788874663.034315,0.8549,2.8578,-1.3016878233447313,0.4983,0.003,0.0192
1788874663.1331468,1788874663.0851877,0.8614,2.8339,-1.302692962843555,0.4799,-0.0042,-0.0251
1788874663.183217,1788874663.134524,0.8677,2.8109,-1.3054146948845435,0.4772,-0.009,-0.0551
1788874663.2324562,1788874663.1849883,0.874,2.7878,-1.3075321650550602,0.4769,-0.0069,-0.0419
1788874663.2824826,1788874663.234872,0.8799,2.7655,-1.3113780085874194,0.4544,-0.0131,-0.0806
1788874663.3361409,1788874663.2852774,0.8858,2.7432,-1.3153768261875527,0.4516,-0.0127,-0.0781
1788874663.3851922,1788874663.3375711,0.8916,2.7204,-1.3196561254137902,0.4512,-0.0136,-0.0836
1788874663.4358046,1788874663.3867064,0.8972,2.6983,-1.3223721523296137,0.4732,-0.0085,-0.0526
1788874663.4894383,1788874663.4378078,0.903,2.6755,-1.3259336828242991,0.4539,-0.0116,-0.0714
1788874663.5571277,1788874663.5099096,0.9108,2.6439,-1.3307743354689487,0.4514,-0.0107,-0.0662
1788874663.6072915,1788874663.5594738,0.9163,2.6212,-1.3323348441552267,0.4734,-0.0051,-0.0314
1788874663.6594794,1788874663.6097007,0.9218,2.5981,-1.3347731002462329,0.4761,-0.0082,-0.0507
1788874663.709778,1788874663.660436,0.9275,2.5745,-1.337178049036959,0.4765,-0.0076,-0.047
1788874663.758237,1788874663.7112677,0.933,2.5513,-1.3397397261802735,0.4765,-0.0083,-0.0515
1788874663.8071854,1788874663.7599273,0.9383,2.5285,-1.3415810719041237,0.4766,-0.0061,-0.0375
1788874663.8570588,1788874663.8095057,0.9437,2.5053,-1.3435786889152979,0.4766,-0.0063,-0.039
1788874663.907366,1788874663.8594687,0.949,2.4821,-1.345861659304647,0.4765,-0.0074,-0.0456
1788874663.9605272,1788874663.9098468,0.9545,2.4579,-1.3485801282305232,0.4765,-0.0075,-0.0446
1788874664.0091481,1788874663.9621983,0.9597,2.4346,-1.3505466930070649,0.4765,-0.0063,-0.039
1788874664.0582898,1788874664.0105555,0.9648,2.4118,-1.3525464386395367,0.4765,-0.0064,-0.0397
1788874664.106988,1788874664.0599365,0.9698,2.389,-1.3548273452491022,0.4765,-0.0076,-0.0471
1788874664.1588655,1788874664.109401,0.9749,2.3657,-1.3573894964575142,0.4764,-0.0088,-0.0544
1788874664.208005,1788874664.1603575,0.98,2.342,-1.3595122861362197,0.4765,-0.0063,-0.039
1788874664.2581334,1788874664.209478,0.9848,2.3191,-1.361511696760353,0.4765,-0.0064,-0.0397
1788874664.3073924,1788874664.2597785,0.9897,2.2958,-1.3637923788356565,0.4765,-0.0075,-0.0463
1788874664.3591092,1788874664.3101454,0.9947,2.272,-1.366480711108265,0.4764,-0.0087,-0.0537
1788874664.4080431,1788874664.3604395,0.9995,2.2486,-1.3684798652494021,0.4765,-0.0062,-0.0382
1788874664.4572592,1788874664.4094768,1.0042,2.2258,-1.3703215724788789,0.4765,-0.0064,-0.0397
1788874664.508965,1788874664.4599252,1.0089,2.2024,-1.3726020872869753,0.4765,-0.0074,-0.0456
1788874664.559573,1788874664.510564,1.0136,2.1785,-1.3754456474582573,0.4764,-0.0085,-0.0529
1788874664.608422,1788874664.5609686,1.0182,2.1552,-1.377287880404622,0.4765,-0.0061,-0.0375
1788874664.6596413,1788874664.6103055,1.0227,2.1322,-1.3790048690752672,0.4765,-0.0059,-0.0368
1788874664.7097294,1788874664.6611135,1.0273,2.1084,-1.381130725530113,0.4765,-0.007,-0.0434
1788874664.7581434,1788874664.7111874,1.0317,2.0849,-1.3836924941466109,0.4765,-0.008,-0.0493
1788874664.8091784,1788874664.7594426,1.036,2.062,-1.3852526958973415,0.4765,-0.0053,-0.0331
1788874664.8581169,1788874664.810885,1.0405,2.0381,-1.3870970067286312,0.4765,-0.0053,-0.0331
1788874664.9071832,1788874664.859635,1.0447,2.0151,-1.3889413688567,0.4765,-0.0062,-0.0382
1788874664.9575367,1788874664.9094315,1.049,1.9917,-1.3910675853914576,0.4765,-0.007,-0.0434
1788874665.0075006,1788874664.9600158,1.0532,1.9682,-1.3933473659331144,0.4765,-0.0077,-0.0478
1788874665.0580397,1788874665.0100167,1.0574,1.9447,-1.3951898064139308,0.4765,-0.0053,-0.0331
1788874665.107963,1788874665.0597477,1.0615,1.9213,-1.3967523974686198,0.4765,-0.0052,-0.0323
1788874665.1570907,1788874665.109391,1.0656,1.8982,-1.3985968725014792,0.4765,-0.0058,-0.036
1788874665.2085023,1788874665.1594975,1.0697,1.8743,-1.4005943654068693,0.4765,-0.0066,-0.0412
1788874665.2573266,1788874665.2100291,1.0737,1.8508,-1.4017196977874142,0.4766,-0.0039,-0.0243
1788874665.3070939,1788874665.2596881,1.0777,1.8273,-1.4030003162039353,0.4766,-0.0036,-0.0221
1788874665.3582025,1788874665.3094382,1.0817,1.8038,-1.4041281399902052,0.4766,-0.004,-0.025
1788874665.407442,1788874665.3595674,1.0856,1.7803,-1.4055614202683644,0.4766,-0.0046,-0.0287
1788874665.4572904,1788874665.4098408,1.0895,1.7567,-1.4072533154474247,0.4765,-0.0052,-0.0323
1788874665.5076168,1788874665.4598107,1.0933,1.7332,-1.4090978928660187,0.4765,-0.0058,-0.036
1788874665.557144,1788874665.5094068,1.0971,1.7097,-1.41094248415057,0.4765,-0.0064,-0.0397
1788874665.6073425,1788874665.5595984,1.1009,1.6861,-1.4130691571605316,0.4765,-0.007,-0.0434
1788874665.6582346,1788874665.6097815,1.1046,1.6626,-1.4156300097871655,0.4765,-0.0077,-0.0478
1788874665.7079124,1788874665.659627,1.1083,1.639,-1.4171881110854745,0.4765,-0.0051,-0.0316
1788874665.7582343,1788874665.7093825,1.1119,1.6155,-1.4185987106096984,0.4766,-0.0049,-0.0301
1788874665.8082936,1788874665.7595556,1.1155,1.5919,-1.4203129012771167,0.4765,-0.0055,-0.0338
1788874665.8573265,1788874665.8097508,1.119,1.5683,-1.4222879700359832,0.4765,-0.0064,-0.0397
1788874665.9070685,1788874665.8597405,1.1225,1.5448,-1.4245662178113685,0.4765,-0.0071,-0.0441
1788874665.9583163,1788874665.9094815,1.1259,1.5212,-1.4258463351363655,0.4766,-0.0043,-0.0265
1788874666.0082622,1788874665.9598,1.1294,1.4976,-1.4269751303275444,0.4766,-0.0039,-0.0243
1788874666.0574229,1788874666.0098479,1.1328,1.474,-1.428537428057958,0.4766,-0.0046,-0.0287
1788874666.108043,1788874666.059832,1.1361,1.4504,-1.430099678094935,0.4765,-0.0053,-0.0331
1788874666.1581986,1788874666.1097453,1.1394,1.4268,-1.4319441252995682,0.4765,-0.0059,-0.0368
1788874666.2072732,1788874666.1594267,1.1427,1.4032,-1.43392000718442,0.4765,-0.0064,-0.0397
1788874666.2581463,1788874666.2096226,1.1459,1.3796,-1.4361975142258756,0.4765,-0.0071,-0.0441
1788874666.3070376,1788874666.2595696,1.1491,1.3559,-1.437604693572798,0.4766,-0.0044,-0.0272
1788874666.356936,1788874666.309373,1.1522,1.3328,-1.438884504029334,0.4766,-0.0041,-0.0257
1788874666.407874,1788874666.3598692,1.1553,1.3087,-1.440296180906553,0.4766,-0.0047,-0.0294
1788874666.4573095,1788874666.4096859,1.1584,1.285,-1.4418582906277901,0.4765,-0.0055,-0.0338
1788874666.5073922,1788874666.4596758,1.1614,1.2614,-1.4439850773015899,0.4765,-0.0062,-0.0382
1788874666.5573504,1788874666.5098796,1.1644,1.2377,-1.4459618293511334,0.4765,-0.0068,-0.0419
1788874666.6073256,1788874666.5598655,1.1674,1.2141,-1.4472414626347216,0.4766,-0.0039,-0.0243
1788874666.6583798,1788874666.609786,1.1703,1.1904,-1.448234259193933,0.4766,-0.0036,-0.0221
1788874666.7082758,1788874666.6601946,1.1732,1.1667,-1.4496507161994103,0.4766,-0.0046,-0.0286
1788874666.757636,1788874666.7098675,1.176,1.1431,-1.451212634726784,0.4766,-0.0049,-0.0301
1788874666.8072958,1788874666.7600648,1.1788,1.1194,-1.4527744779000635,0.4765,-0.0055,-0.0338
1788874666.8599076,1788874666.8098083,1.1816,1.0957,-1.4546164134083963,0.4765,-0.0059,-0.0368
1788874666.9103193,1788874666.8606186,1.1844,1.0716,-1.4567409827722582,0.4765,-0.0065,-0.0404
1788874666.961625,1788874666.9119308,1.1871,1.0479,-1.4578709094340438,0.4766,-0.0038,-0.0235
1788874667.0127227,1788874666.9628868,1.1899,1.0233,-1.459000908280031,0.4766,-0.0038,-0.0238
1788874667.0638628,1788874667.0147107,1.1926,0.9986,-1.460280056180759,0.4766,-0.004,-0.025
1788874667.1158292,1788874667.066026,1.1953,0.9744,-1.4618416241276424,0.4766,-0.0046,-0.0287
1788874667.1839406,1788874667.1344938,1.1988,0.9417,-1.4641018663229006,0.4765,-0.0053,-0.0331
1788874667.2326484,1788874667.1843953,1.2013,0.918,-1.4659459278659064,0.4765,-0.0059,-0.0368
1788874667.2838974,1788874667.234471,1.2038,0.8943,-1.467923914990026,0.4765,-0.0065,-0.0404
1788874667.3350756,1788874667.2855937,1.2062,0.8701,-1.4691984241455218,0.4766,-0.004,-0.025
1788874667.3847835,1788874667.336532,1.2087,0.8459,-1.4704771794943539,0.4766,-0.0038,-0.0235
1788874667.4378471,1788874667.3863285,1.211,0.8222,-1.471890132707107,0.4766,-0.0044,-0.0272
1788874667.4893866,1788874667.439304,1.2135,0.7971,-1.473451378678124,0.4765,-0.005,-0.0309
1788874667.5588663,1788874667.509882,1.2167,0.7639,-1.4758603499895047,0.4765,-0.0056,-0.0345
1788874667.6104102,1788874667.5608487,1.219,0.7396,-1.4778387470721575,0.4765,-0.0061,-0.0375
1788874667.6598446,1788874667.611919,1.2212,0.7154,-1.479682436186325,0.4765,-0.0065,-0.0404
1788874667.7108316,1788874667.661379,1.2233,0.6917,-1.4810957076681792,0.4766,-0.0042,-0.0257
1788874667.7618709,1788874667.7125645,1.2255,0.6675,-1.4823739813560544,0.4766,-0.0038,-0.0235
1788874667.811385,1788874667.7636728,1.2276,0.6433,-1.483652146290741,0.4766,-0.0043,-0.0265
1788874667.8603292,1788874667.8130257,1.2296,0.62,-1.485065465839995,0.4766,-0.0047,-0.0294
1788874667.9093301,1788874667.86155,1.2316,0.5967,-1.4867615622902846,0.4765,-0.0052,-0.0323
1788874667.9602976,1788874667.9111497,1.2336,0.5729,-1.4884555279818068,0.4772,-0.0044,-0.0252
1788874668.0097487,1788874667.961784,1.2356,0.5484,-1.4894488749354529,0.4986,-0.0032,-0.02
1788874668.0592992,1788874668.011585,1.2376,0.5235,-1.4902969986393113,0.5013,-0.0029,-0.0178
1788874668.1107187,1788874668.0610833,1.2396,0.499,-1.4911451513181213,0.5017,-0.003,-0.0186
1788874668.162428,1788874668.112545,1.2416,0.4737,-1.4922757439592418,0.4797,-0.0032,-0.02
1788874668.211705,1788874668.1637964,1.2435,0.4494,-1.4932708269470887,0.4769,-0.0036,-0.0221
1788874668.2614684,1788874668.2135072,1.2453,0.4256,-1.4946845075909068,0.4766,-0.0039,-0.0243
1788874668.312795,1788874668.2629073,1.247,0.4023,-1.495815506973216,0.4765,-0.0043,-0.0265
1788874668.36365,1788874668.3142452,1.2488,0.3781,-1.4973781545003564,0.4765,-0.0046,-0.0287
1788874668.4114525,1788874668.363723,1.2506,0.3543,-1.4987898336932015,0.4765,-0.005,-0.0309
1788874668.4614215,1788874668.41321,1.2522,0.331,-1.500486478402825,0.4765,-0.0053,-0.0331
1788874668.5121524,1788874668.4627354,1.2539,0.3072,-1.5023294666341636,0.4765,-0.0056,-0.0345
1788874668.5602052,1788874668.5131416,1.2555,0.2834,-1.504172310257631,0.4765,-0.0061,-0.0375
1788874668.6095674,1788874668.5616379,1.257,0.2601,-1.5053012101486585,0.4766,-0.0037,-0.0228
1788874668.659591,1788874668.6113913,1.2585,0.2363,-1.5061495901904427,0.4766,-0.0033,-0.0206
1788874668.7098498,1788874668.6614437,1.2601,0.2125,-1.5072807997362723,0.4766,-0.0034,-0.0213
