record_type,parameter,value,speed_bin_mps,median_body_speed_mps,median_deceleration_mps2,samples
fit,intercept_mps2,11.016405780,,,,
fit,speed_gain_per_s,0.275261766,,,,
fit,max_deceleration_p95_mps2,147.977514627,,,,
fit,fit_rmse_mps2,3.276019637,,,,
fit,samples,1785.000000000,,,,
fit,bins,12.000000000,,,,
speed_bin,,,0.000000000,1.315200000,10.695401751,349
speed_bin,,,2.000000000,2.919800000,11.665282975,433
speed_bin,,,4.000000000,4.857700000,12.123010246,297
speed_bin,,,6.000000000,6.862450000,10.994919434,186
speed_bin,,,8.000000000,8.945700000,14.060534978,146
speed_bin,,,10.000000000,10.849600000,13.191668611,114
speed_bin,,,12.000000000,12.944300000,16.463121139,94
speed_bin,,,14.000000000,14.698000000,20.101931510,68
speed_bin,,,16.000000000,16.907550000,12.778282263,48
speed_bin,,,18.000000000,19.150400000,18.942117858,25
speed_bin,,,20.000000000,21.018650000,21.113013473,20
speed_bin,,,22.000000000,22.061800000,9.300961211,5
