steering,gt_speed_mps,gt_yaw_rate_radps,gt_curvature_rad_per_m,samples
-0.5,1.3731958959412274,-1.6355,-1.191017250221959,18
-0.5,5.619053532402054,-0.951,-0.16924558460176528,19
-0.5,5.619353454802429,-0.9514,-0.16930773400397364,19
-0.5,5.625605632345016,-0.94155,-0.16736864642385496,18
-0.25,5.522592058988242,-1.7371,-0.3145443265491246,19
-0.25,5.524013467372213,-1.7324,-0.31361255909901087,18
-0.25,5.528744613381956,-1.7167,-0.3105044852035383,19
-0.25,5.57361880087724,-1.5726,-0.28215061994417096,18
0.0,5.6437,0.0,0.0,20
0.0,5.644,0.0,0.0,19
0.0,5.6443,0.0,0.0,19
0.0,5.6443,0.0,0.0,19
0.25,5.522787674718058,1.7363,0.3143883310865539,18
0.25,5.524454684853121,1.7307,0.3132797893600632,20
0.25,5.531963457941493,1.705,0.30820883271605165,18
0.25,5.558989858778301,1.6213,0.29165370709208543,19
0.5,1.2891363477572748,1.4032,1.0884806734688406,18
0.5,5.619153506534592,0.95065,0.16918028647811026,20
0.5,5.619355729974744,0.9514,0.1693076654544303,18
0.5,5.621025864333819,0.94625,0.1683411574396208,20
