speed_mps,observed_full_throttle_acceleration_mps2,monotonic_acceleration_limit_mps2,samples
0.000000,4.491245,4.659561,8
2.000000,4.715666,4.659561,24
4.000000,4.507502,4.507502,41
6.000000,3.623194,3.623194,57
8.000000,3.081623,3.081623,73
10.000000,2.576306,2.576306,107
12.000000,2.049293,2.049293,145
14.000000,1.532851,1.532851,213
16.000000,0.936846,0.936846,370
18.000000,0.370276,0.519134,908
20.000000,0.403235,0.519134,496
22.000000,1.838640,0.519134,146
23.000000,0.020148,0.020148,564
