regime,events,duration_s,truth_speed_median_mps,odom_speed_mae_mps,odom_speed_p95_abs_error_mps,error_samples
high_curvature_turn,10,0.2903778553009033,0.3971984673509193,7.998541557844842,9.406320365728421,10
high_lateral_acceleration,444,12.597912549972534,5.619353454802429,0.33258561743215037,0.7590390334827353,444
high_longitudinal_slip,10843,180.2520272731781,8.2596,0.1556799306791378,0.3684816313261896,10843
low_curvature_turn,4,0,5.426126867124962,2.8247715187228857,9.62048611533847,4
simulator_reset,1255,48.26434564590454,nan,nan,nan,0
stationary,16883,713.5704433917999,0.0,0.021565897396618065,0.0031,16883
straight_accelerating,1984,34.9591281414032,11.1286,0.12482132554822675,0.3578528335571285,1984
straight_coasting,3049,120.62735962867737,4.7335,0.16876216281164297,0.572939104613243,3049
straight_steady,8777,188.0036416053772,8.4935,0.14207775171796905,0.30984675206190637,8777
unknown,56,0,nan,nan,nan,0
