event_index,source_stamp_ns,status,steering_rate_radps,target_speed_rate_mps2,steering_command_rad,target_speed_mps,iterations,primal_residual,dual_residual,rti_iterations_used,rti2_triggered,rti2_trigger_reason_mask,rti2_budget_skipped,r1_status,r2_status,r1_objective,r2_objective,r1_slack_m,r2_slack_m,selected_candidate,r1_iterations,r2_iterations,r1_solve_us,r2_solve_us,total_rti_us,rho_start,rho_final,rho_u_start,rho_u_final,rho_change_count,factorization_count,progress_m,e_y_m,e_psi_rad,u_mps,v_mps,r_radps,target_speed_state_mps,steering_state_rad,state_age_s,path_curvature_per_m,lateral_accel_proxy_mps2,minimum_predicted_corridor_slack_m,candidate_progress_error_max_m,candidate_curvature_error_max_per_m,candidate_left_bound_error_max_m,candidate_right_bound_error_max_m,nonlinear_failure_stage,nonlinear_failure_reason
145,1789731634560795813,0,0.01162016392,3,0.0002905041038,0.07500000298,49,0.009834766388,0.00906265527,1,0,0,0,0,-1,344403.1875,nan,0.8555510044,nan,R1,49,0,822.0830002,0,912.3129997,7,1,7,14,22,23,21.80566961,0.1656917483,-0.3013786972,0,0,0,0,0,0.003599053,-0.05188309756,0.267937839,0.8555510044,0.006014320999,0.005636457354,0.001356601715,0.00366204977,-1,-1
160,1789731634587292951,0,0.009805321693,3,0.0002451330365,0.07500000298,27,0.009068012238,0.007022544742,1,0,0,0,0,-1,344402.8438,nan,0.8555486202,nan,R1,27,0,279.145,0,324.3490005,1,1,14,14,2,3,21.80566961,0.1656917483,-0.3013786972,0,0,0,0,0,0.005225369,-0.05188309756,0.2597849965,0.8555486202,0.0002033631317,0.0002258457243,0.000102519989,0.0001356601715,-1,-1
175,1789731634611144367,0,0.009828209877,3,0.0002457052469,0.07500000298,27,0.009081363678,0.007064007223,1,0,0,0,0,-1,344402.875,nan,0.8555486202,nan,R1,27,0,277.9819999,0,322.7659998,1,1,14,14,2,3,21.80566961,0.1656917483,-0.3013786972,0,0,0,0,0,0.004914485,-0.05188309756,0.2598793805,0.8555486202,0.0001181532862,0.0001452751458,8.66651535e-05,0.0001055002213,-1,-1
190,1789731634636548111,0,0.0098285079,3,0.0002457126975,0.07500000298,27,0.009081363678,0.007056757808,1,0,0,0,0,-1,344402.875,nan,0.8555486202,nan,R1,27,0,306.7360001,0,351.4000001,1,1,14,14,2,3,21.80566961,0.1656917483,-0.3013786972,0,0,0,0,0,0.004176918,-0.05188309756,0.2598784268,0.8555486202,0.0001189751783,0.0001462362707,8.690357208e-05,0.0001058578491,-1,-1
205,1789731634662516365,0,0.009828567505,3,0.0002457141818,0.07500000298,27,0.009081363678,0.007056497037,1,0,0,0,0,-1,344402.875,nan,0.8555486202,nan,R1,27,0,278.0620003,0,322.8369999,1,1,14,14,2,3,21.80566961,0.1656917483,-0.3013786972,0,0,0,0,0,0.003699822,-0.05188309756,0.2598786354,0.8555486202,0.0001189658651,0.0001462325454,8.690357208e-05,0.0001058578491,-1,-1
221,1789731634686100499,0,0.06809703261,3,0.004902425688,0.07800000161,27,0.00900387764,0.006900399923,1,0,0,0,0,-1,344179.4688,nan,0.8554326892,nan,R1,27,0,278.4029999,0,322.9759998,1,1,14,14,2,3,21.80566961,0.1656917483,-0.3013786972,0,0,0,0.003000000026,0.003199999919,0.002821131,-0.05188309756,0.259577632,0.8554326892,0.0002939766273,0.0002805553377,0.0001047849655,0.0001776218414,-1,-1
237,1789731634711243151,0,1.134293556,3,0.08657220751,0.1460742503,27,0.009976148605,0.006496310234,1,0,0,0,0,-1,339097.5312,nan,0.8558455706,nan,R1,27,0,529.013,0,598.1829996,1,1,14,14,6,7,21.80566961,0.1656917483,-0.3013786972,0,0,0,0.07107424736,0.05821486935,0.002730852,-0.05188309756,0.2634493113,0.8558455706,0.002837455366,0.001822803169,0.001392006874,0.001503050327,-1,-1
253,1789731634735867119,0,-0.04848597944,3,0.05700271949,0.2203032672,31,0.009392023087,0.007203154266,1,0,0,0,0,-1,333515.5938,nan,0.8554813862,nan,R1,31,0,375.0940003,0,432.1620002,1,1,14,14,2,3,21.80566961,0.1656917483,-0.3013786972,0,0,0,0.1453032643,0.05821486935,0.002654518,-0.05188309756,0.3713370264,0.8554813862,0.003711161204,0.002070851624,0.00231719017,0.00198084116,-1,-1
269,1789731634760677788,0,-0.03540177271,3,0.05732982606,0.2947055995,25,0.008883237839,0.005972266197,1,0,0,0,0,-1,327979.7188,nan,0.8558854461,nan,R1,25,0,298.0299997,0,345.3889999,1,1,14,14,2,3,21.80566961,0.1656917483,-0.3013786972,0,0,0,0.2197055966,0.05821486935,0.002474179,-0.05188309756,0.435200721,0.8558854461,0.0007441604976,0.0004921555519,0.0004640817642,0.0003672838211,-1,-1
285,1789731634785881906,0,-0.02401009947,3,0.05761461705,0.3685159683,24,0.008897304535,0.005781799555,1,0,0,0,0,-1,322445.3438,nan,0.8568757772,nan,R1,24,0,289.204,0,334.4179997,1,1,14,14,2,3,21.80576379,0.1656624079,-0.3013612628,0.007843120024,0,0.0103000002,0.2935159802,0.05821486935,0.002879421,-0.05187553413,0.4941089451,0.8568757772,0.0006289950106,0.0003812089562,0.0003520846367,0.0003917217255,-1,-1
