# s_m,x_m,y_m,psi_rad,kappa_radpm,velocity_mps,acceleration_mps2,d_left_m,d_right_m
0.000000,-2.607586,4.242384,-2.8238855,0.6526984,0.0000000,0.0000000,1.880945,2.797280
0.078408,-2.681402,4.215946,-2.7708296,0.7007176,0.0000000,0.0000000,1.825386,2.852973
0.154275,-2.751330,4.186521,-2.7147680,0.7773732,0.0000000,0.0000000,1.766278,2.816484
0.227840,-2.817370,4.154107,-2.6549891,0.8480509,0.0000000,0.0000000,1.703586,2.699934
0.299367,-2.879521,4.118705,-2.5918008,0.9190834,0.0000000,0.0000000,1.639103,2.568545
0.369141,-2.937784,4.080315,-2.5253918,0.9848194,0.0000000,0.0000000,1.573097,2.400767
0.437469,-2.992159,4.038936,-2.4561519,1.0422733,0.0000000,0.0000000,1.509901,2.218540
0.504680,-3.042645,3.994570,-2.3845938,1.0875670,0.0000000,0.0000000,1.454738,2.066028
0.571117,-3.089243,3.947215,-2.3113630,1.1174711,0.0000000,0.0000000,1.408149,1.929498
0.637136,-3.131953,3.896873,-2.2372049,1.1296340,0.0000000,0.0000000,1.369709,1.791641
0.703100,-3.170775,3.843542,-2.1629239,1.1230665,0.0000000,0.0000000,1.339968,1.672246
0.769373,-3.205708,3.787223,-2.0893323,1.0983067,0.0000000,0.0000000,1.319249,1.557223
0.836314,-3.236753,3.727916,-2.0171984,1.0573232,0.0000000,0.0000000,1.306872,1.430133
0.904271,-3.263909,3.665621,-1.9472006,1.0031654,0.0000000,0.0000000,1.327083,1.326453
0.973577,-3.287178,3.600338,-1.8798960,0.9394507,0.0000000,0.0000000,1.388929,1.242279
1.044546,-3.306558,3.532067,-1.8157025,0.8699243,0.0000000,0.0000000,1.354839,1.175906
1.117470,-3.322049,3.460807,-1.7549027,0.7978137,0.0000000,0.0000000,1.333525,1.121452
1.192619,-3.333653,3.386559,-1.6976360,0.7264785,0.0000000,0.0000000,1.323166,1.077115
1.270239,-3.341368,3.309324,-1.6439899,0.6559477,0.0000000,0.0000000,1.317770,1.042955
1.350554,-3.345195,3.229100,-1.5937445,0.5954050,0.0000000,0.0000000,1.311581,1.015559
1.433766,-3.345133,3.145888,-1.5474549,0.5172224,0.0000000,0.0000000,1.316291,0.996082
1.520056,-3.341183,3.059688,-1.5024239,0.5266297,0.0000000,0.0000000,0.987982,0.981925
1.609588,-3.333345,2.970500,-1.4681438,0.2391993,0.0000000,0.0000000,0.978584,0.973616
1.700824,-3.323445,2.879803,-1.4608146,-0.0785671,0.0000000,0.0000000,0.975355,0.970072
1.791783,-3.313668,2.789370,-1.4641234,0.0058127,0.0000000,0.0000000,1.029149,0.966977
1.882463,-3.304021,2.699205,-1.4646294,-0.0169729,0.0000000,0.0000000,1.029895,0.963497
1.972863,-3.294502,2.609308,-1.4658939,-0.0110018,0.0000000,0.0000000,1.027262,0.959171
2.062983,-3.285113,2.519679,-1.4669641,-0.0127496,0.0000000,0.0000000,1.020188,0.954479
2.152823,-3.275852,2.430317,-1.4680951,-0.0124277,0.0000000,0.0000000,1.011148,0.950324
2.242384,-3.266720,2.341223,-1.4692186,-0.0126631,0.0000000,0.0000000,1.001888,0.946186
2.331666,-3.257717,2.252396,-1.4703531,-0.0127507,0.0000000,0.0000000,0.992822,0.941312
2.420668,-3.248842,2.163837,-1.4714937,-0.0128798,0.0000000,0.0000000,0.984737,0.936404
2.509391,-3.240097,2.075546,-1.4726418,-0.0129996,0.0000000,0.0000000,0.979827,0.932050
2.597836,-3.231480,1.987523,-1.4737970,-0.0131237,0.0000000,0.0000000,0.979138,0.927410
2.686001,-3.222993,1.899767,-1.4749596,-0.0132490,0.0000000,0.0000000,0.978631,0.922108
2.773887,-3.214634,1.812279,-1.4761295,-0.0133745,0.0000000,0.0000000,0.976189,0.917032
2.861495,-3.206404,1.725058,-1.4773070,-0.0135073,0.0000000,0.0000000,0.975287,0.981133
2.948824,-3.198303,1.638106,-1.4784915,-0.0136199,0.0000000,0.0000000,0.975751,1.024350
3.035875,-3.190331,1.551420,-1.4796857,-0.0138156,0.0000000,0.0000000,0.974206,1.035617
3.122648,-3.182488,1.465003,-1.4808798,-0.0137083,0.0000000,0.0000000,0.972651,1.048741
3.209142,-3.174773,1.378853,-1.4821102,-0.0147413,0.0000000,0.0000000,0.973439,1.064651
3.295359,-3.167188,1.292971,-1.4832423,-0.0115199,0.0000000,0.0000000,0.973710,1.078765
3.381297,-3.159731,1.207357,-1.4847775,-0.0242094,0.0000000,0.0000000,0.973134,1.088714
3.466958,-3.152403,1.122010,-1.4848478,0.0225696,0.0000000,0.0000000,0.974122,0.877463
3.552341,-3.145204,1.036931,-1.4904141,-0.1529344,0.0000000,0.0000000,0.974189,0.872646
3.636962,-3.139376,0.952511,-1.5183107,-0.5064440,0.0000000,0.0000000,0.970252,0.867784
3.720211,-3.136686,0.869306,-1.5577468,-0.4411186,0.0000000,0.0000000,0.966757,0.861659
3.802198,-3.137148,0.787320,-1.5957180,-0.4851714,0.0000000,0.0000000,0.967449,0.853518
3.883045,-3.140762,0.706554,-1.6354782,-0.4984988,0.0000000,0.0000000,0.972796,0.843970
3.962879,-3.147527,0.627006,-1.6760649,-0.5183394,0.0000000,0.0000000,0.982969,0.833008
4.041833,-3.157444,0.548679,-1.7176118,-0.5341833,0.0000000,0.0000000,0.998183,0.820659
4.120041,-3.170513,0.471570,-1.7599403,-0.5483552,0.0000000,0.0000000,1.018678,0.806874
4.197644,-3.186733,0.395681,-1.8029342,-0.5597742,0.0000000,0.0000000,0.992833,0.791937
4.274786,-3.206105,0.321011,-1.8464426,-0.5683279,0.0000000,0.0000000,1.018812,0.776971
4.351612,-3.228628,0.247561,-1.8903090,-0.5737272,0.0000000,0.0000000,1.038820,0.765574
4.428271,-3.254303,0.175329,-1.9343672,-0.5758312,0.0000000,0.0000000,1.055975,1.077741
4.504911,-3.283130,0.104317,-1.9784471,-0.5745757,0.0000000,0.0000000,1.076689,1.062714
4.581681,-3.315109,0.034525,-2.0223779,-0.5699969,0.0000000,0.0000000,1.100159,1.047197
4.658729,-3.350239,-0.034048,-2.0659924,-0.5622300,0.0000000,0.0000000,1.118810,1.076204
4.736202,-3.388520,-0.101402,-2.1091301,-0.5514785,0.0000000,0.0000000,1.133840,2.300667
4.814243,-3.429954,-0.167537,-2.1516426,-0.5380871,0.0000000,0.0000000,1.154329,3.523592
4.892995,-3.474539,-0.232452,-2.1933891,-0.5221964,0.0000000,0.0000000,1.182432,3.581950
4.972594,-3.522275,-0.296148,-2.2342660,-0.5049504,0.0000000,0.0000000,1.215620,3.642822
5.053172,-3.573163,-0.358625,-2.2741037,-0.4839021,0.0000000,0.0000000,1.253827,3.704197
5.134859,-3.627203,-0.419882,-2.3130622,-0.4700080,0.0000000,0.0000000,1.299793,3.771674
5.217778,-3.684395,-0.479920,-2.3501449,-0.4244942,0.0000000,0.0000000,1.352574,3.838604
5.302045,-3.744738,-0.538739,-2.3887855,-0.4925213,0.0000000,0.0000000,1.413737,3.916035
5.385697,-3.807223,-0.594356,-2.4446932,-0.8443431,0.0000000,0.0000000,1.495992,4.106280
5.465515,-3.870159,-0.643448,-2.5143521,-0.9016012,0.0000000,0.0000000,1.597829,4.436951
5.541815,-3.933517,-0.685963,-2.5886586,-1.0464471,0.0000000,0.0000000,1.724309,4.927342
5.615025,-3.997299,-0.721900,-2.6698520,-1.1723052,0.0000000,0.0000000,1.908338,3.673510
5.685625,-4.061504,-0.751260,-2.7570150,-1.2976740,0.0000000,0.0000000,2.146007,3.688854
5.754151,-4.126133,-0.774043,-2.8495458,-1.4039074,0.0000000,0.0000000,2.371921,3.687605
5.821191,-4.191184,-0.790249,-2.9461990,-1.4807240,0.0000000,0.0000000,2.639945,3.686981
5.887370,-4.256659,-0.799878,-3.0453819,-1.5180146,0.0000000,0.0000000,2.945680,2.659722
5.953339,-4.322558,-0.802929,3.1380238,-1.5083460,0.0000000,0.0000000,2.124668,1.378989
6.019755,-4.388879,-0.799403,3.0394456,-1.4615944,0.0000000,0.0000000,2.113998,1.291211
6.087260,-4.455624,-0.789299,2.9445100,-1.3519166,0.0000000,0.0000000,2.108663,1.896082
6.155351,-4.521688,-0.772807,2.8478441,-1.4881852,0.0000000,0.0000000,2.105996,1.645588
6.221590,-4.584037,-0.750443,2.7451804,-1.6131409,0.0000000,0.0000000,2.104662,1.474533
6.286497,-4.642496,-0.722238,2.6381598,-1.6861734,0.0000000,0.0000000,2.975636,1.427820
6.350817,-4.697066,-0.688192,2.5292168,-1.7032191,0.0000000,0.0000000,2.473701,4.128146
6.415311,-4.747746,-0.648304,2.4208526,-1.6590087,0.0000000,0.0000000,2.103328,3.686357
6.480736,-4.794536,-0.602575,2.3155303,-1.5622040,0.0000000,0.0000000,1.837771,3.419559
6.547818,-4.837436,-0.551005,2.2153495,-1.4258892,0.0000000,0.0000000,1.662952,3.232979
6.617229,-4.876447,-0.493593,2.1216458,-1.2750901,0.0000000,0.0000000,1.518294,3.088243
6.689579,-4.911568,-0.430340,2.0358019,-1.0985273,0.0000000,0.0000000,1.418728,2.985388
6.765404,-4.942800,-0.361245,1.9559926,-1.0072090,0.0000000,0.0000000,1.349970,2.927135
6.845173,-4.970141,-0.286309,1.8901450,-0.6442448,0.0000000,0.0000000,1.290150,2.894470
6.927768,-4.994767,-0.207470,1.8669627,0.0830625,0.0000000,0.0000000,1.256246,2.898238
7.010364,-5.018954,-0.128494,1.8665871,-0.0921625,0.0000000,0.0000000,1.235307,2.917080
7.092889,-5.042760,-0.049477,1.8609123,-0.0453691,0.0000000,0.0000000,1.217076,2.930134
7.175345,-5.066186,0.029581,1.8566470,-0.0580877,0.0000000,0.0000000,1.198711,2.944833
