event_index,source_stamp_ns,stage,progress_m,e_y_m,e_psi_rad,u_mps,v_mps,r_radps,target_speed_mps,steering_command_rad,previous_steering_rate_radps,previous_target_speed_rate_mps2,steering_rate_radps,target_speed_rate_mps2
1286,1789654030586355011,2,21.8058031,0.1656498909,-0.301466912,0.01127937157,0,2.771499339e-06,0.150000006,0.0006580518093,0.01637888327,3,0.02175672352,3
1286,1789654030586355011,3,21.80637517,0.1654704809,-0.3014368713,0.03705989942,0,2.377951023e-05,0.2250000089,0.001201969921,0.02175672352,3,0.02787849493,3
1286,1789654030586355011,4,21.80768974,0.1650582999,-0.3013672233,0.07401423156,0,9.664107347e-05,0.3000000119,0.001898932271,0.02787849493,3,0.03603711352,3
1286,1789654030586355011,5,21.80998109,0.1643401086,-0.3012440801,0.1195784956,0,0.0002750724962,0.375,0.002799860202,0.03603711352,3,0.04697924852,3
1286,1789654030586355011,6,21.81342999,0.1632597744,-0.3010548949,0.1717770994,0,0.0006392439827,0.4499999881,0.003974341322,0.04697924852,3,0.06089163199,3
1286,1789654030586355011,7,21.81817604,0.1617744714,-0.3007873297,0.2290877551,0,0.001303496654,0.5249999762,0.005496632308,0.06089163199,3,0.07742571831,3
1286,1789654030586355011,8,21.82432728,0.1598517895,-0.3004277945,0.290337503,0,0.002421824262,0.5999999642,0.007432275452,0.07742571831,3,0.09576335549,3
1286,1789654030586355011,9,21.83196752,0.1574675739,-0.2999600768,0.3546224833,0,0.004187853541,0.6749999523,0.009826359339,0.09576335549,3,0.1147139445,3
1286,1789654030586355011,10,21.84116205,0.1546043009,-0.2993643284,0.4212462902,0,0.006827275734,0.7499999404,0.01269420795,0.1147139445,3,0.1328342408,3
1286,1789654030586355011,11,21.85196203,0.1512498856,-0.2986162603,0.4896722138,0,0.01058219373,0.8249999285,0.01601506397,0.1328342408,3,0.1485574096,3
1286,1789654030586355011,12,21.86440789,0.1473968029,-0.2976867557,0.5594867468,0,0.01568824053,0.8999999166,0.01972899958,0.1485574096,3,0.1603235602,3
1286,1789654030586355011,13,21.87853197,0.1430416107,-0.2965424657,0.6303713322,0,0.02234647237,0.9749999046,0.02373708785,0.1603235602,3,0.1667043269,3
1286,1789654030586355011,14,21.89436055,0.1381845474,-0.2951466441,0.702080369,0,0.03069281206,1.049999952,0.02790469676,0.1667043269,3,0.1665177047,3
1286,1789654030586355011,15,21.91191546,0.1328293979,-0.2934613824,0.7744247913,0,0.04076823965,1.125,0.03206763789,0.1665177047,3,0.1589291096,3
1286,1789654030586355011,16,21.93121724,0.1269832253,-0.2914655209,0.847258687,0,0.05249314383,1.200000048,0.03604086488,0.1589291096,3,0.1435493529,3
1286,1789654030586355011,17,21.95228346,0.1206561252,-0.2891401052,0.9204698205,0,0.06564933062,1.275000095,0.03962959722,0.1435493529,3,0.1204989925,3
1286,1789654030586355011,18,21.97512906,0.1138610691,-0.2864697576,0.9939716458,0,0.07987270504,1.350000143,0.04264207184,0.1204989925,3,0.09043614566,3
1286,1789654030586355011,19,21.99976742,0.1066137254,-0.2834502459,1.067697406,0,0.09465889633,1.425000191,0.0449029766,0.09043614566,3,0.05455034971,3
1286,1789654030586355011,20,22.02620558,0.09893269092,-0.280041188,1.141595721,0,0.1093830615,1.500000238,0.0462667346,0.05455034971,3,0.01450498309,3
1286,1789654030586355011,21,22.05445235,0.09083966911,-0.2762342095,1.215627074,0,0.1233337075,1.575000286,0.04662935808,0.01450498309,3,-0.02757177874,3
1286,1789654030586355011,22,22.08451837,0.08235847205,-0.2720606625,1.289760828,0,0.1357607096,1.650000334,0.04594006389,-0.02757177874,3,-0.06904111058,3
1286,1789654030586355011,23,22.11642629,0.07351128757,-0.2677423954,1.363973618,0,0.1459391862,1.725000381,0.04421403632,-0.06904111058,3,-0.1066320315,3
1286,1789654030586355011,24,22.150189,0.06431479007,-0.263477385,1.438247204,0,0.1532524824,1.800000429,0.0415482372,-0.1066320315,3,-0.1366028339,3
1286,1789654030586355011,25,22.18580597,0.05478097498,-0.2593474984,1.512567639,0,0.1572902799,1.875000477,0.03813316673,-0.1366028339,3,-0.1552750617,3
1286,1789654030586355011,26,22.22326852,0.04492079094,-0.2552989423,1.586924195,0,0.1579463929,1.950000525,0.0342512913,-0.1552750617,3,-0.1599715799,3
1286,1789654030586355011,27,22.26257258,0.03474637493,-0.2512955666,1.661308646,0,0.15548715,2.025000572,0.03025200218,-0.1599715799,3,-0.150457412,3
1286,1789654030586355011,28,22.30367782,0.02430395782,-0.2456607372,1.735714555,0,0.150543943,2.10000062,0.02649056725,-0.150457412,3,-0.1315599084,3
1286,1789654030586355011,29,22.34663147,0.01369535737,-0.237711817,1.810137033,0,0.1439415216,2.175000668,0.02320156991,-0.1315599084,3,-0.1138788536,3
1286,1789654030586355011,30,22.39152074,0.003009269945,-0.2292708308,1.884572148,0,0.1363364756,2.250000715,0.02035459876,-0.1138788536,3,,
1306,1789654030610355032,0,21.80566961,0.1656917483,-0.3011980653,0,0,0,0,0,0,0,0.009273171425,3
1306,1789654030610355032,1,21.80566961,0.1656917483,-0.3011980355,0,0,0,0.07500000298,0.0002318292827,0.009273171425,3,0.01535447221,3
1306,1789654030610355032,2,21.80580311,0.1656499207,-0.3011910915,0.01127937157,0,2.593089448e-06,0.150000006,0.0006156910677,0.01535447221,3,0.0205517225,3
1306,1789654030610355032,3,21.80637523,0.1654706746,-0.3011611104,0.03705989942,0,2.233698979e-05,0.2250000089,0.001129484153,0.0205517225,3,0.02659293637,3
1306,1789654030610355032,4,21.80768992,0.1650588512,-0.3010915518,0.07401423156,0,9.121693438e-05,0.3000000119,0.001794307493,0.02659293637,3,0.0347331129,3
1306,1789654030610355032,5,21.80998146,0.1643413007,-0.3009686172,0.1195784956,0,0.000261073641,0.375,0.002662635408,0.0347331129,3,0.04570029676,3
1306,1789654030610355032,6,21.81343065,0.1632619351,-0.3007799387,0.1717770994,0,0.0006103084888,0.4499999881,0.003805142827,0.04570029676,3,0.05967043713,3
1306,1789654030610355032,7,21.8181771,0.1617779434,-0.3005133569,0.2290877551,0,0.001251839101,0.5249999762,0.005296903662,0.05967043713,3,0.07628923655,3
1306,1789654030610355032,8,21.82432887,0.1598569602,-0.3001554906,0.290337503,0,0.002338724677,0.5999999642,0.007204134483,0.07628923655,3,0.09473362565,3
1306,1789654030610355032,9,21.83196975,0.1574748456,-0.2996903658,0.3546224833,0,0.004064210691,0.6749999523,0.009572475217,0.09473362565,3,0.1138090566,3
1306,1789654030610355032,10,21.84116504,0.1546140611,-0.2990982533,0.4212462902,0,0.006654171273,0.7499999404,0.012417702,0.1138090566,3,0.132068187,3
1306,1789654030610355032,11,21.85196589,0.1512625068,-0.2983551919,0.4896722138,0,0.01035142131,0.8249999285,0.01571940631,0.132068187,3,0.1479400545,3
1306,1789654030610355032,12,21.86441273,0.1474126577,-0.2974322438,0.5594867468,0,0.01539276913,0.8999999166,0.01941790804,0.1479400545,3,0.1598609686,3
1306,1789654030610355032,13,21.87853788,0.1430610269,-0.2962961793,0.6303713322,0,0.0219808314,0.9749999046,0.023414433,0.1598609686,3,0.1663977355,3
1306,1789654030610355032,14,21.89436761,0.1382078081,-0.2949104309,0.702080369,0,0.03025335819,1.049999952,0.02757437713,0.1663977355,3,0.1663639396,3
1306,1789654030610355032,15,21.91192373,0.1328567266,-0.2932370305,0.7744247913,0,0.04025333002,1.125,0.03173347563,0.1663639396,3,0.1589209139,3
1306,1789654030610355032,16,21.93122676,0.127014786,-0.2912549376,0.847258687,0,0.05190317705,1.200000048,0.03570649773,0.1589209139,3,0.1436757743,3
1306,1789654030610355032,17,21.95229423,0.1206919849,-0.2889451981,0.9204698205,0,0.06498669088,1.275000095,0.03929839283,0.1436757743,3,0.1207452416,3
1306,1789654030610355032,18,21.97514106,0.1139012128,-0.2862922549,0.9939716458,0,0.07914158702,1.350000143,0.04231702536,0.1207452416,3,0.09078408778,3
1306,1789654030610355032,19,21.99978061,0.106658034,-0.2832918167,1.067697406,0,0.09386503696,1.425000191,0.04458662868,0.09078408778,3,0.05497941747,3
1306,1789654030610355032,20,22.02621986,0.09898094088,-0.2799032927,1.141595721,0,0.1085333824,1.500000238,0.04596111551,0.05497941747,3,0.01499278005,3
1306,1789654030610355032,21,22.05446761,0.09089152515,-0.2761181295,1.215627074,0,0.1224358827,1.575000286,0.04633593559,0.01499278005,3,-0.0270487573,3
1306,1789654030610355032,22,22.08453446,0.08241348714,-0.2719675303,1.289760828,0,0.1348226815,1.650000334,0.04565971717,-0.0270487573,3,-0.06850668043,3
1306,1789654030610355032,23,22.11644307,0.07356891036,-0.2676732838,1.363973618,0,0.1449686736,1.725000381,0.04394704849,-0.06850668043,3,-0.1061092243,3
1306,1789654030610355032,24,22.15020628,0.06437433511,-0.2634330094,1.438247204,0,0.152256459,1.800000429,0.04129431769,-0.1061092243,3,-0.136112988,3
1306,1789654030610355032,25,22.18582355,0.05484165624,-0.2593283653,1.512567639,0,0.1562745571,1.875000477,0.03789149225,-0.136112988,3,-0.1548364758,3
1306,1789654030610355032,26,22.22328616,0.04498171061,-0.2553054094,1.586924195,0,0.1569151878,1.950000525,0.03402058035,-0.1548364758,3,-0.1595973521,3
1306,1789654030610355032,27,22.26259001,0.0348065421,-0.2513275743,1.661308646,0,0.1544429213,2.025000572,0.03003064543,-0.1595973521,3,-0.1501528174,3
1306,1789654030610355032,28,22.30369465,0.02436229214,-0.2457180172,1.735714555,0,0.1494873166,2.10000062,0.026276825,-0.1501528174,3,-0.131318748,3
1306,1789654030610355032,29,22.3466473,0.01375067327,-0.23779504,1.810137033,0,0.1428717226,2.175000668,0.02299385704,-0.131318748,3,-0.1136799753,3
