event_index,source_stamp_ns,status,steering_rate_radps,target_speed_rate_mps2,steering_command_rad,target_speed_mps,iterations,primal_residual,dual_residual
37269,1789654071672358711,4,0,0,0,0,100,0.694439888,0.01616859436
37291,1789654071700358611,4,0,0,0,0,100,0.7252062559,0.01769149303
37313,1789654071724355011,4,0,0,0,0,100,0.7448124886,0.01881301403
37334,1789654071746355011,4,0,0,0,0,100,0.760848403,0.01983189583
37357,1789654071773355011,4,0,0,0,0,100,0.7858803272,0.02125298977
37379,1789654071800357011,4,0,0,0,0,100,0.8090952635,0.02271914482
37401,1789654071825358611,4,0,0,0,0,100,0.8298122883,0.02407431602
37423,1789654071849355011,4,0,0,0,0,100,0.8466123343,0.02531433105
37445,1789654071873355011,4,0,0,0,0,100,0.8600175381,0.0265109539
37467,1789654071899355011,4,0,0,0,0,100,0.8769887686,0.02793121338
37489,1789654071925357011,4,0,0,0,0,100,0.8910583258,0.02930057049
37511,1789654071948355011,4,0,0,0,0,100,0.9005141258,0.03050136566
37532,1789654071974355011,4,0,0,0,0,100,0.9096426964,0.03178811073
37555,1789654071994357311,4,0,0,0,0,100,0.9087979794,0.03262007236
37576,1789654072024355011,4,0,0,0,0,100,0.9173901081,0.0341821909
37599,1789654072049357611,4,0,0,0,0,100,0.9163525105,0.03529953957
37621,1789654072073355011,4,0,0,0,0,100,0.9089102745,0.03613233566
37643,1789654072098357411,4,0,0,0,0,100,0.8973232508,0.03691005707
37665,1789654072124358411,4,0,0,0,0,100,0.8813621998,0.03765690327
37687,1789654072150355011,4,0,0,0,0,100,0.8656284809,0.03830528259
37709,1789654072175357011,4,0,0,0,0,100,0.8405032158,0.03864324093
37731,1789654072200358611,4,0,0,0,0,100,0.8100993633,0.03864657879
37753,1789654072225355011,4,0,0,0,0,100,0.7764110565,0.03851640224
37775,1789654072248355011,4,0,0,0,0,100,0.7391197681,0.03814506531
37797,1789654072276358811,4,0,0,0,0,100,0.6910045147,0.03727555275
37819,1789654072300357011,4,0,0,0,0,100,0.6460738182,0.03639811277
37841,1789654072325358611,4,0,0,0,0,100,0.5917072296,0.03493362665
37863,1789654072351355011,4,0,0,0,0,100,0.5307933092,0.03306442499
37884,1789654072372355011,4,0,0,0,0,100,0.4927201271,0.03186404705
37907,1789654072394358811,4,0,0,0,0,100,0.4664939642,0.03111219406
37929,1789654072425357011,4,0,0,0,0,100,0.448708415,0.03064823151
37951,1789654072449355011,4,0,0,0,0,100,0.4321655035,0.02983045578
37973,1789654072474355011,4,0,0,0,0,100,0.4048805237,0.02845525742
37994,1789654072498358911,4,0,0,0,0,100,0.3846321106,0.02748602629
38016,1789654072524355011,4,0,0,0,0,100,0.3639649153,0.02660608292
38038,1789654072549357611,4,0,0,0,0,100,0.3424637318,0.02557593584
38061,1789654072575358611,4,0,0,0,0,100,0.3204114437,0.02430045605
38083,1789654072599355011,4,0,0,0,0,100,0.2991757393,0.02304875851
38105,1789654072625357811,4,0,0,0,0,100,0.2775995135,0.02195352316
38127,1789654072649355011,4,0,0,0,0,100,0.2611771822,0.02100598812
38149,1789654072675357011,4,0,0,0,0,100,0.2399221659,0.01924192905
38170,1789654072701358011,4,0,0,0,0,100,0.2181814909,0.01775950193
38193,1789654072725355011,4,0,0,0,0,100,0.1973729134,0.01618528366
38215,1789654072750357811,4,0,0,0,0,100,0.178904891,0.01435321569
38237,1789654072776358811,4,0,0,0,0,100,0.1555793285,0.01245188713
38259,1789654072800357011,4,0,0,0,0,100,0.1357265115,0.01046252251
38280,1789654072826358011,4,0,0,0,0,100,0.1127915382,0.008147925138
38303,1789654072850355011,4,0,0,0,0,100,0.08316543698,0.005880683661
38325,1789654072876357311,4,0,0,0,0,100,0.06209772825,0.004299998283
38346,1789654072901358811,1,-0.005283405539,2.594345093,-0.05784317479,4.256890297,100,0.04625824094,0.002670288086
38369,1789654072925357011,1,-0.06005397066,1.238016963,-0.05862177908,4.144198895,100,0.01002514362,0.0004170238972
38391,1789654072951358011,1,-0.0965032205,-1.198372841,-0.06894291192,3.88163805,100,0.0193374753,0.001022219658
38413,1789654072973357411,4,0,0,0,0,100,0.04391300678,0.002934396267
38435,1789654072995355011,4,0,0,0,0,100,0.06889432669,0.004768133163
38457,1789654073026358811,4,0,0,0,0,100,0.08598995209,0.006396591663
38479,1789654073051355011,4,0,0,0,0,100,0.11593467,0.009218335152
38501,1789654073076358011,4,0,0,0,0,100,0.1529086828,0.01197457314
38523,1789654073098357411,4,0,0,0,0,100,0.1631320715,0.01285493374
38545,1789654073126357311,4,0,0,0,0,100,0.159675777,0.01221448183
38567,1789654073151358811,4,0,0,0,0,100,0.1476339102,0.01136291027
38589,1789654073176355011,4,0,0,0,0,100,0.1388891339,0.01072371006
38611,1789654073202357511,4,0,0,0,0,100,0.1328504682,0.01024034619
38632,1789654073225355011,4,0,0,0,0,100,0.1300962567,0.009996682405
38655,1789654073251357311,4,0,0,0,0,100,0.1201960146,0.009250879288
38677,1789654073277358211,4,0,0,0,0,100,0.1131820083,0.008705556393
38699,1789654073300357011,4,0,0,0,0,100,0.1086524725,0.008325874805
38721,1789654073326358011,4,0,0,0,0,100,0.106054306,0.008064478636
38743,1789654073351355011,4,0,0,0,0,100,0.1060022712,0.007747590542
38765,1789654073376357311,4,0,0,0,0,100,0.1078012586,0.00764515996
38787,1789654073402358211,4,0,0,0,0,100,0.1121068597,0.007525205612
38809,1789654073425357011,4,0,0,0,0,100,0.1158913076,0.007570683956
38831,1789654073451358011,4,0,0,0,0,100,0.1237077713,0.007735699415
38853,1789654073477355011,4,0,0,0,0,100,0.1327295303,0.008073449135
38875,1789654073500357811,4,0,0,0,0,100,0.1407778263,0.008450627327
38897,1789654073526358811,4,0,0,0,0,100,0.1350861788,0.008274555206
38919,1789654073552355011,4,0,0,0,0,100,0.1194843054,0.007810175419
38941,1789654073576358011,4,0,0,0,0,100,0.1056259871,0.007298439741
38963,1789654073600355011,4,0,0,0,0,100,0.09145995975,0.00674790144
38985,1789654073627355011,4,0,0,0,0,100,0.08076837659,0.006308138371
39007,1789654073651358811,4,0,0,0,0,100,0.06545674801,0.005232721567
39029,1789654073677355011,4,0,0,0,0,100,0.05810970068,0.005091488361
39051,1789654073702357511,4,0,0,0,0,100,0.05896055698,0.005222916603
39073,1789654073728358411,4,0,0,0,0,100,0.06037312746,0.005069583654
39095,1789654073753355011,4,0,0,0,0,100,0.05645787716,0.004784405231
39117,1789654073776358811,4,0,0,0,0,100,0.05182433128,0.004658401012
39139,1789654073802355011,4,0,0,0,0,100,0.05292201042,0.004632532597
39160,1789654073827357511,4,0,0,0,0,100,0.05388444662,0.004705965519
39183,1789654073851355011,4,0,0,0,0,100,0.054882586,0.004783570766
39204,1789654073878355011,4,0,0,0,0,100,0.0605430603,0.004827588797
39226,1789654073902358211,1,-0.2344351411,3,-0.1466778368,3.546304941,100,0.03980046511,0.00302284956
39249,1789654073927355011,1,-0.1876285374,2.304801702,-0.147828728,3.528924942,100,0.02306443453,0.001951813698
39271,1789654073952357511,1,-0.08534207195,2.332573175,-0.1444473565,3.529619217,100,0.019623667,0.001728385687
39293,1789654073973357411,4,0,0,0,0,100,0.01755517721,0.001671850681
39315,1789654073994357311,1,-0.0849378258,2.472005129,-0.137036249,3.533105135,100,0.04527944326,0.003714203835
39337,1789654074013358311,1,-0.1751596034,2.476452351,-0.1365607977,3.533216238,100,0.02396851778,0.001941800117
39359,1789654074029357111,4,0,0,0,0,100,0.06167307496,0.002845525742
39381,1789654074048358111,4,0,0,0,0,100,0.06126686931,0.004372805357
39403,1789654074069358111,4,0,0,0,0,100,0.07135879993,0.004501104355
39425,1789654074091357411,4,0,0,0,0,100,0.08559373021,0.004602491856
39447,1789654074120355011,4,0,0,0,0,100,0.1088785529,0.004853665829
39469,1789654074155355011,4,0,0,0,0,100,0.1405400038,0.005396485329
39491,1789654074187358111,4,0,0,0,0,100,0.1679065824,0.006105363369
39513,1789654074219355011,4,0,0,0,0,100,0.1990267634,0.006990730762
39535,1789654074244357311,4,0,0,0,0,100,0.2229924202,0.007737159729
39557,1789654074279357111,4,0,0,0,0,100,0.2567849159,0.008877456188
39579,1789654074306357611,4,0,0,0,0,100,0.2643865347,0.008894979954
39601,1789654074332358511,4,0,0,0,0,100,0.2637821436,0.008813202381
39623,1789654074357355011,4,0,0,0,0,100,0.2634751797,0.008741438389
39645,1789654074380358911,4,0,0,0,0,100,0.2606751919,0.008518636227
39667,1789654074406355011,4,0,0,0,0,100,0.262159586,0.008295834064
39689,1789654074432357011,4,0,0,0,0,100,0.2695316672,0.008264124393
39711,1789654074457358511,4,0,0,0,0,100,0.2813332677,0.008208632469
39733,1789654074482355011,4,0,0,0,0,100,0.2897543907,0.008043825626
39754,1789654074507357811,4,0,0,0,0,100,0.3041096926,0.00801128149
39777,1789654074532355011,4,0,0,0,0,100,0.3105630875,0.007665395737
39798,1789654074557357011,4,0,0,0,0,100,0.3170896769,0.007352471352
39821,1789654074582358511,4,0,0,0,0,100,0.3255385756,0.007022440434
39843,1789654074606355011,4,0,0,0,0,100,0.3371427655,0.00699198246
39864,1789654074631358311,4,0,0,0,0,100,0.3522694111,0.006946086884
39887,1789654074657355011,4,0,0,0,0,100,0.3730146885,0.007166802883
39908,1789654074682357011,4,0,0,0,0,100,0.3888280392,0.007231473923
39931,1789654074708358011,4,0,0,0,0,100,0.4045964479,0.007329523563
39953,1789654074732355011,4,0,0,0,0,100,0.4135000706,0.007405042648
39975,1789654074758357211,4,0,0,0,0,100,0.4266656637,0.007729232311
39997,1789654074783358811,4,0,0,0,0,100,0.4407895803,0.008488804102
40019,1789654074808355011,4,0,0,0,0,100,0.4565185308,0.01036322117
40041,1789654074833358011,4,0,0,0,0,100,0.4736084938,0.01201608777
40063,1789654074858355011,4,0,0,0,0,100,0.4898296595,0.0130879581
40085,1789654074883357211,4,0,0,0,0,100,0.5071310997,0.01399815083
40107,1789654074908358811,4,0,0,0,0,100,0.5236297846,0.01485159993
40129,1789654074933355011,4,0,0,0,0,100,0.5402458906,0.01508566737
40151,1789654074958358011,4,0,0,0,0,100,0.5572081804,0.01511070132
40172,1789654074982355011,4,0,0,0,0,100,0.5776661038,0.01624703407
40195,1789654075006358311,4,0,0,0,0,100,0.6146838665,0.01839745045
40216,1789654075033358811,4,0,0,0,0,100,0.6396046877,0.0197968483
40239,1789654075057357011,4,0,0,0,0,100,0.6517887115,0.02089041471
40261,1789654075081355011,4,0,0,0,0,100,0.6612677574,0.02164518833
40283,1789654075106355011,4,0,0,0,0,100,0.6696434021,0.02227604389
40305,1789654075133357211,4,0,0,0,0,100,0.6809432507,0.02298617363
40327,1789654075159358211,4,0,0,0,0,100,0.686994791,0.02337253094
40349,1789654075183355011,4,0,0,0,0,100,0.6917786598,0.02367377281
40371,1789654075209357411,4,0,0,0,0,100,0.6957683563,0.0238815546
40393,1789654075233355011,4,0,0,0,0,100,0.6956454515,0.02389490604
40415,1789654075258357211,4,0,0,0,0,100,0.6989116669,0.0239174366
40437,1789654075283358811,4,0,0,0,0,100,0.6977722645,0.02370381355
40459,1789654075309355011,4,0,0,0,0,100,0.6966490746,0.02360451221
40481,1789654075334357411,4,0,0,0,0,100,0.6941357851,0.02339756489
40503,1789654075359359011,4,0,0,0,0,100,0.6926165819,0.02337837219
40525,1789654075384355011,4,0,0,0,0,100,0.6894721985,0.02338504791
40547,1789654075409358211,4,0,0,0,0,100,0.6860380173,0.02353191376
40569,1789654075435355011,4,0,0,0,0,100,0.6839280128,0.02387320995
40591,1789654075459357411,4,0,0,0,0,100,0.6801198721,0.02427458763
40613,1789654075484359011,4,0,0,0,0,100,0.6754798889,0.02474606037
40634,1789654075509355011,4,0,0,0,0,100,0.670789361,0.0253276825
40657,1789654075535357711,4,0,0,0,0,100,0.6652879715,0.0259335041
40679,1789654075559355011,4,0,0,0,0,100,0.6576352119,0.02645212412
40701,1789654075585355011,4,0,0,0,0,100,0.6479637623,0.02673125267
40723,1789654075609359011,4,0,0,0,0,100,0.6352467537,0.02670329809
40745,1789654075634355011,4,0,0,0,0,100,0.6234037876,0.02634239197
40766,1789654075657355011,4,0,0,0,0,100,0.6077582836,0.02556300163
40789,1789654075685355011,4,0,0,0,0,100,0.5969324708,0.02457165718
40811,1789654075709357411,4,0,0,0,0,100,0.5837860107,0.02354192734
40833,1789654075736357911,4,0,0,0,0,100,0.5710567236,0.0223377943
40855,1789654075759355011,4,0,0,0,0,100,0.5569622517,0.02126967907
40877,1789654075785357711,4,0,0,0,0,100,0.547131896,0.02039265633
40899,1789654075810355011,4,0,0,0,0,100,0.5351167917,0.01965498924
40921,1789654075835355011,4,0,0,0,0,100,0.5265470743,0.01921355724
40943,1789654075860358411,4,0,0,0,0,100,0.5155302286,0.01880341768
40965,1789654075885355011,4,0,0,0,0,100,0.5067232251,0.01924578846
40987,1789654075910357711,4,0,0,0,0,100,0.4980885386,0.02028334141
41009,1789654075935355011,4,0,0,0,0,100,0.490203619,0.02091962099
41031,1789654075960355011,4,0,0,0,0,100,0.5593860745,0.0250409916
41053,1789654075985358411,4,0,0,0,0,100,0.6592878103,0.02928142995
41075,1789654076010355011,4,0,0,0,0,100,0.6667662859,0.03061360121
41097,1789654076035357711,4,0,0,0,0,100,0.6899091005,0.03177757561
41119,1789654076060355011,4,0,0,0,0,100,0.731644392,0.03541907668
41141,1789654076085355011,4,0,0,0,0,100,0.7276015282,0.03580188751
41163,1789654076110358411,4,0,0,0,0,100,0.7003060579,0.03650826216
41184,1789654076135355011,4,0,0,0,0,100,0.6668950319,0.03710615635
41207,1789654076160357711,4,0,0,0,0,100,0.6306141615,0.03771865368
41229,1789654076185355011,4,0,0,0,0,100,0.5848501921,0.03673481941
41251,1789654076211355011,4,0,0,0,0,100,0.6021071672,0.4965200424
41273,1789654076234359011,4,0,0,0,0,100,0.6567118168,0.0424388051
41295,1789654076260355011,4,0,0,0,0,100,0.6978336573,0.04487752914
41317,1789654076285357711,4,0,0,0,0,100,0.6739916801,0.04427796602
41338,1789654076311358611,4,0,0,0,0,100,0.6016869545,0.04149878025
41361,1789654076336355011,4,0,0,0,0,100,0.5435113907,0.03957784176
41383,1789654076361357911,4,0,0,0,0,100,0.522726953,0.0389469862
41404,1789654076386355011,4,0,0,0,0,100,0.5138617158,0.0371633172
41427,1789654076410357711,4,0,0,0,0,100,0.505674839,0.03683412075
41448,1789654076436358611,4,0,0,0,0,100,0.4820786715,0.03574055433
41471,1789654076461355011,4,0,0,0,0,100,0.4918505549,0.3362122178
41493,1789654076486357911,4,0,0,0,0,100,0.5225206614,0.03901541233
41514,1789654076511355011,4,0,0,0,0,100,0.5579363108,0.03977102041
41537,1789654076536357111,4,0,0,0,0,100,0.5830354095,0.04130977392
41559,1789654076561358611,4,0,0,0,0,100,0.5968631506,0.04143410921
41583,1789654076586355011,4,0,0,0,0,100,0.5952197313,0.04095470905
41605,1789654076608355011,4,0,0,0,0,100,0.6535909176,0.04330831766
41627,1789654076623358911,4,0,0,0,0,100,0.6869800091,0.04442232847
41649,1789654076644358811,4,0,0,0,0,100,0.7188512087,0.04578542709
41671,1789654076669355011,4,0,0,0,0,100,0.7228947878,0.04676091671
41691,1789654076694358111,4,0,0,0,0,100,0.7635701895,0.04763960838
41713,1789654076719355011,4,0,0,0,0,100,0.7888021469,0.04827463627
41735,1789654076750357811,4,0,0,0,0,100,0.79266119,0.04826128483
