event_index,source_stamp_ns,stage,progress_m,e_y_m,e_psi_rad,u_mps,v_mps,r_radps,target_speed_mps,steering_command_rad,previous_steering_rate_radps,previous_target_speed_rate_mps2,steering_rate_radps,target_speed_rate_mps2
145,1789731634560795813,0,21.80566961,0.1656917483,-0.3013786972,0,0,0,0,0,0,0,0.01146787405,3
145,1789731634560795813,1,21.80566961,0.1656917483,-0.3013786674,0,0,0,0.07500000298,0.0002866968571,0.01146787405,3,0.01872500405,3
145,1789731634560795813,2,21.8058031,0.1656498909,-0.3013716936,0.01127937157,0,3.179063242e-06,0.150000006,0.0007548219291,0.01872500405,3,0.02453664318,3
145,1789731634560795813,3,21.80637519,0.1654705405,-0.3013416529,0.03705989942,0,2.708711327e-05,0.2250000089,0.001368238009,0.02453664318,3,0.03087323904,3
145,1789731634560795813,4,21.8076898,0.1650584787,-0.301271826,0.07401423156,0,0.0001091296581,0.3000000119,0.002140068915,0.03087323904,3,0.0391151309,3
145,1789731634560795813,5,21.80998122,0.164340511,-0.3011481166,0.1195784956,0,0.0003074582492,0.375,0.003117947374,0.0391151309,3,0.05005449429,3
145,1789731634560795813,6,21.81343022,0.1632605195,-0.3009576797,0.1717770994,0,0.0007065695245,0.4499999881,0.004369309638,0.05005449429,3,0.06390120834,3
145,1789731634560795813,7,21.81817641,0.1617756784,-0.3006877601,0.2290877551,0,0.001424512593,0.5249999762,0.005966839846,0.06390120834,3,0.08031880856,3
145,1789731634560795813,8,21.82432785,0.1598536223,-0.3003242612,0.290337503,0,0.002618066268,0.5999999642,0.007974809967,0.08031880856,3,0.09849531949,3
145,1789731634560795813,9,21.83196834,0.1574702263,-0.2998504043,0.3546224833,0,0.004482557066,0.6749999523,0.01043719333,0.09849531949,3,0.1172454804,3
145,1789731634560795813,10,21.84116319,0.1546080112,-0.2992457449,0.4212462902,0,0.007244239561,0.7499999404,0.0133683309,0.1172454804,3,0.1351305842,3
145,1789731634560795813,11,21.85196359,0.1512549371,-0.2984854281,0.4896722138,0,0.01114465762,0.8249999285,0.0167465955,0.1351305842,3,0.1505900174,3
145,1789731634560795813,12,21.86440997,0.1474035829,-0.2975397706,0.5594867468,0,0.01641785353,0.8999999166,0.02051134594,0.1505900174,3,0.1620731801,3
145,1789731634560795813,13,21.87853471,0.143050611,-0.2963748872,0.6303713322,0,0.02326241508,0.9749999046,0.02456317469,0.1620731801,3,0.168163076,3
145,1789731634560795813,14,21.89436415,0.1381963938,-0.2949536443,0.702080369,0,0.03181114048,1.049999952,0.02876725234,0.168163076,3,0.1676902324,3
145,1789731634560795813,15,21.91192015,0.1328448951,-0.2932376862,0.7744247913,0,0.04210150987,1.125,0.03295950964,0.1676902324,3,0.1598357111,3
145,1789731634560795813,16,21.93122332,0.1270033866,-0.2912056148,0.847258687,0,0.0540503487,1.200000048,0.0369554013,0.1598357111,3,0.1442244202,3
145,1789731634560795813,17,21.95229128,0.1206822023,-0.2888383865,0.9204698205,0,0.06743621826,1.275000095,0.04056101292,0.1442244202,3,0.1209889501,3
145,1789731634560795813,18,21.97513905,0.1138945892,-0.2861203849,0.9939716458,0,0.08189237118,1.350000143,0.0435857363,0.1209889501,3,0.09079498053,3
145,1789731634560795813,19,21.99978008,0.1066565141,-0.2830473781,1.067697406,0,0.0969126597,1.425000191,0.04585561156,0.09079498053,3,0.0548328124,3
145,1789731634560795813,20,22.02622149,0.09898691624,-0.279578954,1.141595721,0,0.1118714362,1.500000238,0.04722643271,0.0548328124,3,0.01476123929,3
145,1789731634560795813,21,22.05447219,0.09090787172,-0.2757066786,1.215627074,0,0.1260573268,1.575000286,0.04759546369,0.01476123929,3,-0.0273122713,3
145,1789731634560795813,22,22.08454288,0.08244360983,-0.2714619637,1.289760828,0,0.1387208402,1.650000334,0.04691265523,-0.0273122713,3,-0.0687880367,3
145,1789731634560795813,23,22.11645635,0.07361675054,-0.2670668364,1.363973618,0,0.1491373032,1.725000381,0.0451929532,-0.0687880367,3,-0.1064598262,3
145,1789731634560795813,24,22.15022559,0.06444443762,-0.2627190948,1.438247204,0,0.1566882282,1.800000429,0.0425314568,-0.1064598262,3,-0.136642918,3
145,1789731634560795813,25,22.18585017,0.05493917316,-0.2585006058,1.512567639,0,0.1609579921,1.875000477,0.03911538422,-0.136642918,3,-0.15568088,3
145,1789731634560795813,26,22.22332149,0.04511244223,-0.2543577552,1.586924195,0,0.161831066,1.950000525,0.0352233611,-0.15568088,3,-0.1608543694,3
145,1789731634560795813,27,22.26263555,0.03497695923,-0.2502536476,1.661308646,0,0.1595619619,2.025000572,0.0312020015,-0.1608543694,3,-0.1517550349,3
145,1789731634560795813,28,22.30375162,0.02457961068,-0.2445109338,1.735714555,0,0.1547731161,2.10000062,0.02740812488,-0.1517550349,3,-0.1329893917,3
145,1789731634560795813,29,22.34671666,0.01402286813,-0.2364504039,1.810137033,0,0.1482902616,2.175000668,0.02408339083,-0.1329893917,3,-0.1151895151,3
145,1789731634560795813,30,22.39161819,0.003395920619,-0.2278988659,1.884572148,0,0.1407788098,2.250000715,0.02120365202,-0.1151895151,3,,
160,1789731634587292951,0,21.80566961,0.1656917483,-0.3013786972,0,0,0,0,0,0,0,0.009706437588,3
160,1789731634587292951,1,21.80566961,0.1656917483,-0.3013786674,0,0,0,0.07500000298,0.0002426609426,0.009706437588,3,0.01601686887,3
