bag_time,time,x,y,yaw,vx,vy,wz
1788882957.684387,1788882957.609933,0.8004,3.1583,-1.5707963267948966,0.0,0.0,0.0
1788882957.7336717,1788882957.6862485,0.8004,3.1583,-1.5707963267948966,0.0,0.0,0.0
1788882957.7819614,1788882957.7353935,0.8004,3.1537,-1.5698040630787218,0.1389,0.0053,0.0331
1788882957.8313901,1788882957.7846222,0.8004,3.1464,-1.566404846101396,0.148,0.0163,0.1044
1788882957.8816743,1788882957.834775,0.8005,3.1391,-1.559327447959978,0.1436,0.0279,0.1764
1788882957.9316308,1788882957.884934,0.8007,3.1321,-1.548714480368157,0.1367,0.0374,0.2325
1788882957.9820094,1788882957.9349115,0.8009,3.1253,-1.5371151099377547,0.1362,0.0375,0.2319
1788882958.033046,1788882957.9845254,0.8012,3.1185,-1.5255147018125983,0.1361,0.0374,0.2319
1788882958.0822716,1788882958.0342479,0.8017,3.1118,-1.5140617624912085,0.136,0.0374,0.2319
1788882958.132458,1788882958.0849624,0.8022,3.1049,-1.5023141493959031,0.1359,0.0374,0.2319
1788882958.1825244,1788882958.1350517,0.8027,3.0981,-1.4907155882644503,0.1359,0.0374,0.2319
1788882958.232338,1788882958.1850126,0.8034,3.0914,-1.4791038385640425,0.1359,0.0373,0.2319
1788882958.2815788,1788882958.2349386,0.8041,3.0846,-1.4674940181630705,0.1359,0.0373,0.2319
1788882958.3335567,1788882958.2847338,0.8049,3.0778,-1.4560177039760915,0.1358,0.0373,0.2319
1788882958.382328,1788882958.3352122,0.8058,3.0711,-1.4442560779048292,0.1358,0.0373,0.2319
1788882958.4316328,1788882958.3846264,0.8067,3.0644,-1.4327795018867582,0.1358,0.0373,0.2319
1788882958.4819124,1788882958.4349337,0.8078,3.0577,-1.4211522517521453,0.1358,0.0373,0.2319
1788882958.5328999,1788882958.484746,0.8089,3.0509,-1.4100872909804774,0.1374,0.0354,0.2198
1788882958.5825582,1788882958.5342429,0.8101,3.0441,-1.4004342918142536,0.1401,0.0317,0.1972
1788882958.6315057,1788882958.5852172,0.8114,3.0371,-1.3910628357251025,0.1414,0.0299,0.1855
1788882958.6814294,1788882958.6353238,0.8127,3.0301,-1.3824044775950521,0.1429,0.0274,0.17
1788882958.731356,1788882958.6848526,0.8143,3.0222,-1.373722092636596,0.1666,0.0291,0.181
