bag_time,time,speed,steering
1788883186.003787,1788883186.003503,0.1599999964237213,0.07999999821186066
1788883186.0585208,1788883186.0584307,0.1599999964237213,0.2543579936027527
1788883186.111123,1788883186.1110344,0.1599999964237213,0.42433756589889526
1788883186.177477,1788883186.1771169,0.1599999964237213,0.5235999822616577
1788883186.2280436,1788883186.2274725,0.1599999964237213,0.5235999822616577
1788883186.2784414,1788883186.278015,0.1599999964237213,0.5235999822616577
1788883186.328547,1788883186.3284407,0.1599999964237213,0.5235999822616577
1788883186.37958,1788883186.378634,0.1599999964237213,0.5235999822616577
1788883186.4295805,1788883186.4294512,0.1599999964237213,0.5235999822616577
1788883186.4809763,1788883186.4807513,0.1599999964237213,0.5235999822616577
1788883186.5323465,1788883186.5322807,0.1599999964237213,0.5235999822616577
1788883186.5834076,1788883186.583349,0.1599999964237213,0.5235999822616577
1788883186.6358407,1788883186.6357148,0.1599999964237213,0.5235999822616577
1788883186.703746,1788883186.7036624,0.1599999964237213,0.5235999822616577
1788883186.7551806,1788883186.7548888,0.1599999964237213,0.5235999822616577
1788883186.8071659,1788883186.8067083,0.1599999964237213,0.5235999822616577
1788883186.8571577,1788883186.8570664,0.1599999964237213,0.5235999822616577
1788883186.9083831,1788883186.9079244,0.1599999964237213,0.5235999822616577
1788883186.960073,1788883186.9599915,0.1599999964237213,0.5235999822616577
1788883187.028332,1788883187.0282452,0.1599999964237213,0.5235999822616577
1788883187.0787568,1788883187.0786855,0.1599999964237213,0.5062838792800903
1788883187.1296082,1788883187.1295466,0.1599999964237213,0.45715072751045227
1788883187.182002,1788883187.1819088,0.1599999964237213,0.430572509765625
1788883187.2355056,1788883187.235354,0.1599999964237213,0.3963858187198639
1788883187.2865565,1788883187.2861843,0.16330836713314056,0.35785868763923645
1788883187.3522952,1788883187.3517723,0.18057982623577118,0.31264203786849976
1788883187.4025056,1788883187.40204,0.19760063290596008,0.26808154582977295
1788883187.4536936,1788883187.4532952,0.2187744826078415,0.212648406624794
1788883187.504939,1788883187.504863,0.2300027310848236,0.18325284123420715
1788883187.5567389,1788883187.5566275,0.2436850517988205,0.14743252098560333
1788883187.6079736,1788883187.6078928,0.2558605968952179,0.11555694043636322
1788883187.6604533,1788883187.6604059,0.26753783226013184,0.08498595654964447
1788883187.730059,1788883187.7299204,0.2814371883869171,0.04859744384884834
1788883187.7828116,1788883187.7825055,0.2942821681499481,0.01496925950050354
1788883187.836952,1788883187.8365693,0.26420512795448303,-0.0937110111117363
1788883187.8889651,1788883187.8884733,0.25709378719329834,-0.11232846975326538
1788883187.9549167,1788883187.9548085,0.24846206605434418,-0.13492630422115326
1788883188.0096815,1788883188.0095122,0.2414180189371109,-0.15336763858795166
1788883188.059774,1788883188.0596888,0.23527875542640686,-0.16944020986557007
1788883188.1128948,1788883188.112095,0.2229194939136505,-0.201796755194664
1788883188.1824589,1788883188.1823575,0.2182103395462036,-0.21412530541419983
1788883188.2359033,1788883188.2358227,0.21498273313045502,-0.22257521748542786
1788883188.2861578,1788883188.285941,0.21521435678005219,-0.22196882963180542
1788883188.3526387,1788883188.352287,0.21667660772800446,-0.2181406468153
1788883188.4051213,1788883188.4048207,0.21621745824813843,-0.2193426787853241
1788883188.4604702,1788883188.4603825,0.21758024394512177,-0.21577493846416473
1788883188.5134454,1788883188.5133731,0.22258612513542175,-0.20266951620578766
1788883188.5792172,1788883188.5789893,0.22852058708667755,-0.1871330887079239
1788883188.6304905,1788883188.6300082,0.2362704873085022,-0.16684387624263763
1788883188.6831532,1788883188.682796,0.23812714219093323,-0.16198314726352692
1788883188.7345207,1788883188.7344022,0.24692711234092712,-0.1389448046684265
1788883188.786147,1788883188.786063,0.25604331493377686,-0.11507860571146011
1788883188.8535943,1788883188.8530385,0.26416677236557007,-0.09381143003702164
1788883188.9059844,1788883188.9058056,0.2730149030685425,-0.07064700126647949
1788883188.9575725,1788883188.9574382,0.27906593680381775,-0.054805345833301544
1788883189.0080721,1788883189.007986,0.286948561668396,-0.034168656915426254
1788883189.0601768,1788883189.0601027,0.27354946732521057,0.06924748420715332
1788883189.1273751,1788883189.1269574,0.26976463198661804,0.07915620505809784
1788883189.1788287,1788883189.178676,0.26545917987823486,0.09042784571647644
1788883189.229064,1788883189.2289793,0.2607526481151581,0.1027495488524437
1788883189.2788405,1788883189.2787538,0.2559618651866913,0.11529181152582169
1788883189.3289769,1788883189.3288062,0.25112417340278625,0.12795692682266235
1788883189.3800144,1788883189.379859,0.2444678544998169,0.14538316428661346
1788883189.4309099,1788883189.4307766,0.2476809173822403,0.1369713842868805
