# x_m, y_m, w_tr_right_m, w_tr_left_m
-1.059214, -4.502852, 0.4737, 0.4737
-1.080843, -4.466715, 0.5206, 0.5206
-1.089985, -4.425400, 0.6069, 0.6069
-1.099201, -4.384116, 0.6797, 0.6797
-1.114607, -4.345396, 0.7787, 0.7787
-1.125257, -4.304706, 0.8789, 0.8789
-1.140800, -4.266043, 0.9404, 0.9404
-1.150009, -4.224756, 0.9307, 0.9307
-1.159207, -4.183464, 0.9173, 0.9173
-1.175170, -4.144975, 0.9096, 0.9096
-1.185819, -4.104285, 0.9034, 0.9034
-1.200779, -4.065380, 0.8969, 0.8969
-1.209188, -4.023762, 0.8908, 0.8908
-1.219385, -3.982884, 0.8842, 0.8842
-1.229980, -3.942171, 0.8783, 0.8773
-1.240156, -3.901285, 0.8725, 0.8715
-1.249893, -3.860217, 0.8672, 0.8652
-1.253109, -3.816447, 0.8612, 0.8592
-1.259986, -3.774194, 0.8580, 0.8550
-1.260403, -3.729266, 0.8536, 0.8516
-1.269990, -3.688136, 0.8516, 0.8486
-1.270012, -3.643043, 0.8476, 0.8456
-1.278928, -3.601635, 0.8456, 0.8436
-1.280003, -3.556979, 0.8456, 0.8446
-1.280001, -3.511876, 0.8436, 0.8426
-1.279571, -3.466597, 0.8416, 0.8416
-1.290047, -3.425835, 0.8436, 0.8426
-1.290000, -3.380714, 0.8456, 0.8436
-1.290000, -3.335613, 0.8436, 0.8416
-1.290000, -3.290511, 0.8440, 0.8420
-1.290000, -3.245410, 0.8464, 0.8444
-1.290000, -3.200308, 0.8464, 0.8454
-1.289988, -3.155212, 0.8484, 0.8474
-1.282626, -3.113160, 0.8524, 0.8504
-1.279999, -3.069147, 0.8544, 0.8524
-1.279997, -3.024043, 0.8552, 0.8530
-1.280483, -2.979143, 0.8572, 0.8550
-1.289990, -2.937980, 0.8532, 0.8520
-1.289955, -2.892864, 0.8512, 0.8500
-1.300247, -2.852026, 0.8492, 0.8480
-1.299999, -2.806822, 0.8480, 0.8470
-1.300000, -2.761721, 0.8460, 0.8450
-1.299991, -2.716623, 0.8500, 0.8490
-1.293787, -2.674091, 0.8528, 0.8528
-1.289997, -2.630560, 0.8576, 0.8576
-1.279854, -2.589659, 0.8576, 0.8576
-1.279351, -2.544232, 0.8576, 0.8576
-1.290033, -2.503552, 0.8564, 0.8564
-1.290053, -2.458459, 0.8544, 0.8544
-1.299840, -2.417412, 0.8495, 0.8495
-1.300000, -2.372376, 0.8495, 0.8495
-1.300026, -2.327264, 0.8495, 0.8485
-1.289339, -2.286590, 0.8483, 0.8473
-1.289999, -2.241215, 0.8483, 0.8473
-1.290000, -2.196113, 0.8544, 0.8524
-1.290000, -2.151012, 0.8584, 0.8564
-1.290000, -2.105910, 0.8644, 0.8624
-1.289995, -2.060811, 0.8708, 0.8678
-1.279943, -2.019873, 0.8756, 0.8726
-1.279997, -1.974749, 0.8795, 0.8766
-1.280000, -1.929647, 0.8795, 0.8766
-1.280000, -1.884545, 0.8791, 0.8772
-1.280001, -1.839444, 0.8791, 0.8772
-1.283785, -1.795910, 0.8775, 0.8756
-1.289991, -1.753380, 0.8740, 0.8730
-1.290005, -1.708283, 0.8760, 0.8740
-1.295605, -1.664691, 0.8776, 0.8754
-1.289942, -1.626377, 0.8764, 0.8752
-1.290000, -1.581262, 0.8784, 0.8772
-1.290000, -1.536160, 0.8820, 0.8798
-1.290000, -1.491059, 0.8820, 0.8808
-1.290000, -1.445958, 0.8828, 0.8808
-1.290000, -1.400856, 0.8840, 0.8820
-1.290000, -1.355755, 0.8852, 0.8832
-1.290000, -1.310653, 0.8852, 0.8842
-1.290000, -1.265552, 0.8892, 0.8872
-1.290000, -1.220451, 0.8912, 0.8892
-1.290000, -1.175349, 0.8932, 0.8912
-1.290000, -1.130248, 0.8952, 0.8932
-1.290000, -1.085146, 0.8992, 0.8962
-1.290000, -1.040045, 0.8992, 0.8972
-1.290000, -0.994944, 0.8992, 0.8982
-1.290000, -0.949842, 0.9052, 0.9032
-1.290634, -0.904478, 0.9080, 0.9060
-1.279963, -0.863797, 0.9120, 0.9110
-1.280163, -0.818613, 0.9188, 0.9178
