# x_m, y_m, w_tr_right_m, w_tr_left_m
16.500029, -10.276061, 0.7094, 0.7143
16.479091, -10.079705, 0.7122, 0.7165
16.401543, -9.910715, 0.7141, 0.7178
16.300881, -9.751567, 0.7148, 0.7179
16.194568, -9.594760, 0.7143, 0.7169
16.068306, -9.446215, 0.7127, 0.7147
15.945284, -9.296336, 0.7097, 0.7112
15.818070, -9.143790, 0.7057, 0.7067
15.699587, -8.991960, 0.7005, 0.7011
15.586220, -8.838315, 0.6944, 0.6946
15.459300, -8.685353, 0.6875, 0.6872
15.317321, -8.543290, 0.6798, 0.6792
15.164997, -8.415571, 0.6717, 0.6707
15.012121, -8.288965, 0.6632, 0.6619
14.856946, -8.178565, 0.6545, 0.6529
14.690253, -8.096118, 0.6457, 0.6438
14.535390, -7.985110, 0.6370, 0.6348
14.369786, -7.900036, 0.6286, 0.6260
14.199669, -7.825855, 0.6204, 0.6176
14.035561, -7.737168, 0.6127, 0.6096
13.859134, -7.678220, 0.6055, 0.6021
13.691072, -7.599080, 0.5988, 0.5951
13.509295, -7.553050, 0.5928, 0.5889
13.329421, -7.502424, 0.5875, 0.5833
13.157542, -7.432497, 0.5828, 0.5784
12.978947, -7.378786, 0.5790, 0.5743
12.799956, -7.326027, 0.5758, 0.5710
12.609675, -7.300529, 0.5735, 0.5684
12.428442, -7.253184, 0.5720, 0.5667
12.238651, -7.226502, 0.5712, 0.5658
12.048362, -7.201020, 0.5713, 0.5657
11.857693, -7.176456, 0.5721, 0.5664
11.667373, -7.151051, 0.5737, 0.5679
11.476970, -7.125846, 0.5760, 0.5702
11.276036, -7.126063, 0.5791, 0.5731
11.085541, -7.101081, 0.5827, 0.5768
10.895069, -7.076042, 0.5870, 0.5811
10.704729, -7.050683, 0.5917, 0.5859
10.524529, -7.000846, 0.5969, 0.5912
10.344977, -6.949444, 0.6024, 0.5969
10.166867, -6.894561, 0.6082, 0.6028
10.004248, -6.802278, 0.6142, 0.6090
9.845538, -6.700558, 0.6202, 0.6152
9.690114, -6.590906, 0.6262, 0.6214
9.536824, -6.476101, 0.6321, 0.6276
9.387828, -6.350932, 0.6379, 0.6336
9.218759, -6.274221, 0.6435, 0.6395
9.038515, -6.224489, 0.6490, 0.6451
