# x_m, y_m, w_tr_right_m, w_tr_left_m
-0.216302, -6.964634, 1.2229, 1.2502
-0.274616, -7.019304, 1.2223, 1.2417
-0.336814, -7.069509, 1.2225, 1.2123
-0.402424, -7.115170, 1.2229, 1.1796
-0.470981, -7.156273, 1.2231, 1.1504
-0.542052, -7.192861, 1.2224, 1.1253
-0.615236, -7.225017, 1.2204, 1.1047
-0.690172, -7.252847, 1.2165, 1.0893
-0.766540, -7.276470, 1.2110, 1.0791
-0.844053, -7.296013, 1.2035, 1.0725
-0.922457, -7.311598, 1.1935, 1.0672
-1.001529, -7.323342, 1.1817, 1.0588
-1.081067, -7.331352, 1.1676, 1.0434
-1.160887, -7.335724, 1.1517, 1.0205
-1.240822, -7.336541, 1.1338, 0.9925
-1.320718, -7.333874, 1.1147, 0.9640
-1.400426, -7.327782, 1.0938, 0.9366
-1.479803, -7.318310, 1.0714, 0.9100
-1.558709, -7.305493, 1.0484, 0.8835
-1.637003, -7.289354, 1.0242, 0.8575
-1.714542, -7.269906, 0.9992, 0.8313
-1.791175, -7.247153, 0.9737, 0.8038
-1.866749, -7.221094, 0.9483, 0.7738
-1.941096, -7.191719, 0.9234, 0.7425
-2.014040, -7.159016, 0.9000, 0.7127
-2.085396, -7.122979, 0.8783, 0.6881
-2.155012, -7.083686, 0.8579, 0.6709
-2.222772, -7.041272, 0.8394, 0.6617
-2.288567, -6.995869, 0.8229, 0.6601
-2.352298, -6.947612, 0.8085, 0.6643
-2.413870, -6.896629, 0.7960, 0.6715
-2.473194, -6.843047, 0.7849, 0.6791
-2.530183, -6.786986, 0.7750, 0.6847
-2.584750, -6.728566, 0.7665, 0.6867
-2.636809, -6.667901, 0.7584, 0.6850
-2.686272, -6.605101, 0.7504, 0.6800
-2.733048, -6.540275, 0.7424, 0.6724
-2.777043, -6.473530, 0.7344, 0.6628
-2.818157, -6.404972, 0.7268, 0.6518
-2.856283, -6.334710, 0.7190, 0.6398
-2.891311, -6.262853, 0.7112, 0.6273
-2.923121, -6.189515, 0.7033, 0.6146
-2.951588, -6.114815, 0.6954, 0.6021
-2.976580, -6.038883, 0.6876, 0.5906
-2.997959, -5.961856, 0.6802, 0.5808
-3.015582, -5.883883, 0.6729, 0.5736
-3.029305, -5.805131, 0.6657, 0.5702
-3.038982, -5.725781, 0.6585, 0.5701
-3.044474, -5.646032, 0.6513, 0.5720
-3.045647, -5.566102, 0.6442, 0.5737
-3.042383, -5.486232, 0.6370, 0.5746
-3.034592, -5.406675, 0.6298, 0.5765
-3.022379, -5.327676, 0.6225, 0.5830
-3.006031, -5.249427, 0.6156, 0.5968
-2.985848, -5.172077, 0.6096, 0.6177
-2.962134, -5.095735, 0.6052, 0.6418
-2.935179, -5.020476, 0.6027, 0.6635
-2.905260, -4.946345, 0.6023, 0.6784
-2.872635, -4.873365, 0.6039, 0.6859
-2.837539, -4.801539, 0.6075, 0.6873
-2.800190, -4.730858, 0.6125, 0.6844
-2.760785, -4.661302, 0.6188, 0.6796
-2.719500, -4.592845, 0.6258, 0.6746
-2.676496, -4.525455, 0.6331, 0.6704
-2.631919, -4.459094, 0.6405, 0.6679
-2.585927, -4.393706, 0.6477, 0.6678
-2.538717, -4.329191, 0.6546, 0.6699
-2.490484, -4.265437, 0.6614, 0.6740
-2.441418, -4.202322, 0.6682, 0.6798
-2.391703, -4.139717, 0.6753, 0.6869
-2.341521, -4.077485, 0.6832, 0.6950
-2.291048, -4.015489, 0.6925, 0.7037
-2.240464, -3.953584, 0.7032, 0.7128
-2.189947, -3.891624, 0.7152, 0.7219
-2.139680, -3.829461, 0.7281, 0.7307
-2.089850, -3.766947, 0.7410, 0.7388
-2.040655, -3.703933, 0.7530, 0.7458
-1.992300, -3.640271, 0.7619, 0.7515
-1.945003, -3.575820, 0.7671, 0.7558
-1.898996, -3.510443, 0.7668, 0.7586
-1.854437, -3.444070, 0.7614, 0.7600
-1.811337, -3.376740, 0.7522, 0.7602
-1.769682, -3.308507, 0.7408, 0.7592
-1.729452, -3.239425, 0.7283, 0.7572
-1.690617, -3.169548, 0.7160, 0.7542
-1.653144, -3.098931, 0.7043, 0.7500
-1.616992, -3.027629, 0.6932, 0.7447
-1.582116, -2.955695, 0.6820, 0.7382
-1.548464, -2.883180, 0.6697, 0.7305
-1.515982, -2.810132, 0.6553, 0.7213
-1.484614, -2.736600, 0.6381, 0.7109
-1.454297, -2.662628, 0.6188, 0.6991
-1.424989, -2.588251, 0.5988, 0.6863
-1.396749, -2.513462, 0.5799, 0.6727
-1.369681, -2.438240, 0.5631, 0.6583
-1.343897, -2.362569, 0.5491, 0.6434
-1.319514, -2.286435, 0.5382, 0.6278
-1.296654, -2.209830, 0.5308, 0.6119
-1.275450, -2.132751, 0.5269, 0.5959
-1.256043, -2.055199, 0.5265, 0.5802
-1.238581, -1.977187, 0.5292, 0.5651
-1.223225, -1.898734, 0.5343, 0.5511
-1.210140, -1.819870, 0.5407, 0.5386
-1.199504, -1.740639, 0.5469, 0.5287
-1.191490, -1.661100, 0.5521, 0.5208
-1.186131, -1.581338, 0.5568, 0.5151
-1.183356, -1.501444, 0.5614, 0.5114
-1.183081, -1.421503, 0.5660, 0.5101
-1.185213, -1.341589, 0.5700, 0.5103
-1.189653, -1.261770, 0.5733, 0.5115
-1.196296, -1.182104, 0.5772, 0.5133
-1.205035, -1.102641, 0.5831, 0.5155
-1.215760, -1.023421, 0.5913, 0.5176
-1.228361, -0.944477, 0.6006, 0.5198
-1.242730, -0.865836, 0.6090, 0.5223
-1.258757, -0.787516, 0.6154, 0.5251
-1.276338, -0.709530, 0.6197, 0.5286
-1.295370, -0.631886, 0.6224, 0.5329
-1.315752, -0.554584, 0.6244, 0.5375
-1.337386, -0.477624, 0.6260, 0.5424
-1.360178, -0.400998, 0.6275, 0.5474
-1.384037, -0.324698, 0.6285, 0.5520
-1.408874, -0.248711, 0.6284, 0.5562
-1.434604, -0.173021, 0.6267, 0.5599
-1.461141, -0.097610, 0.6230, 0.5628
-1.488404, -0.022459, 0.6170, 0.5650
-1.516314, 0.052455, 0.6098, 0.5665
-1.544791, 0.127155, 0.6019, 0.5671
-1.573768, 0.201662, 0.5940, 0.5669
-1.603200, 0.275991, 0.5864, 0.5660
-1.633045, 0.350155, 0.5795, 0.5643
-1.663259, 0.424170, 0.5733, 0.5621
-1.693797, 0.498051, 0.5679, 0.5594
-1.724614, 0.571816, 0.5634, 0.5564
-1.755666, 0.645483, 0.5599, 0.5527
-1.786905, 0.719070, 0.5577, 0.5485
-1.818286, 0.792598, 0.5566, 0.5436
-1.849762, 0.866084, 0.5567, 0.5384
-1.881286, 0.939550, 0.5573, 0.5334
-1.912811, 1.013016, 0.5583, 0.5293
-1.944288, 1.086502, 0.5593, 0.5269
-1.975672, 1.160029, 0.5599, 0.5265
-2.006913, 1.233615, 0.5603, 0.5286
-2.037964, 1.307282, 0.5605, 0.5324
-2.068779, 1.381049, 0.5610, 0.5371
-2.099308, 1.454934, 0.5619, 0.5417
-2.129506, 1.528955, 0.5638, 0.5451
-2.159325, 1.603129, 0.5669, 0.5469
-2.188718, 1.677473, 0.5716, 0.5471
-2.217639, 1.752002, 0.5778, 0.5464
-2.246044, 1.826730, 0.5858, 0.5454
-2.273886, 1.901668, 0.5950, 0.5450
-2.301122, 1.976830, 0.6054, 0.5455
-2.327707, 2.052223, 0.6164, 0.5470
-2.353598, 2.127859, 0.6280, 0.5494
-2.378748, 2.203743, 0.6397, 0.5527
-2.403114, 2.279883, 0.6512, 0.5571
-2.426648, 2.356284, 0.6620, 0.5628
-2.449305, 2.432950, 0.6719, 0.5698
-2.471038, 2.509883, 0.6806, 0.5780
-2.491800, 2.587083, 0.6882, 0.5870
-2.511544, 2.664550, 0.6951, 0.5964
-2.530221, 2.742281, 0.7014, 0.6054
-2.547785, 2.820271, 0.7075, 0.6137
-2.564186, 2.898514, 0.7138, 0.6211
-2.579377, 2.977001, 0.7200, 0.6278
-2.593311, 3.055721, 0.7262, 0.6340
-2.605940, 3.134660, 0.7316, 0.6395
-2.617219, 3.213804, 0.7356, 0.6446
-2.627100, 3.293134, 0.7379, 0.6492
-2.635541, 3.372630, 0.7384, 0.6542
-2.642497, 3.452270, 0.7376, 0.6604
-2.647929, 3.532029, 0.7362, 0.6685
-2.651796, 3.611878, 0.7348, 0.6785
-2.654063, 3.691789, 0.7341, 0.6899
-2.654694, 3.771730, 0.7349, 0.7018
-2.653660, 3.851666, 0.7376, 0.7131
-2.650923, 3.931562, 0.7424, 0.7233
-2.646442, 4.011379, 0.7499, 0.7326
-2.640167, 4.091075, 0.7607, 0.7420
-2.632041, 4.170604, 0.7742, 0.7526
-2.622001, 4.249914, 0.7900, 0.7652
-2.609975, 4.328947, 0.8077, 0.7800
-2.595884, 4.407638, 0.8267, 0.7969
-2.579643, 4.485913, 0.8464, 0.8145
-2.561158, 4.563688, 0.8664, 0.8311
-2.540329, 4.640869, 0.8860, 0.8449
-2.517048, 4.717346, 0.9052, 0.8559
-2.491204, 4.792994, 0.9235, 0.8658
-2.462678, 4.867673, 0.9407, 0.8767
-2.431353, 4.941220, 0.9565, 0.8905
-2.397109, 5.013455, 0.9715, 0.9083
-2.359832, 5.084172, 0.9848, 0.9314
-2.319418, 5.153143, 0.9961, 0.9608
-2.275775, 5.220117, 1.0066, 0.9954
-2.228834, 5.284822, 1.0146, 1.0331
-2.178557, 5.346969, 1.0219, 1.0718
-2.124941, 5.406259, 1.0270, 1.1111
