# x_m, y_m, w_tr_right_m, w_tr_left_m
-0.370000, -6.890000, 1.0749, 1.0729
-0.443976, -6.971826, 0.6470, 0.6470
-0.540008, -6.999992, 0.5939, 0.5939
-0.611503, -7.087573, 0.7278, 0.7278
-0.703787, -7.124985, 1.0804, 1.0776
-0.806910, -7.136228, 0.7272, 0.7272
-0.891194, -7.192955, 0.5404, 0.5404
-1.001488, -7.186886, 0.5435, 0.5435
-1.085899, -7.243304, 0.5672, 0.5672
-1.194956, -7.240222, 1.0431, 1.0397
-1.302823, -7.240012, 1.0300, 1.0265
-1.410608, -7.240000, 1.0153, 1.0117
-1.518389, -7.239999, 0.9992, 0.9956
-1.626191, -7.240053, 0.9818, 0.9783
-1.734700, -7.241811, 0.6289, 0.6289
-1.820845, -7.189581, 0.7026, 0.7026
-1.926761, -7.185080, 0.8610, 0.8610
-2.016273, -7.140976, 0.9054, 0.9017
-2.103378, -7.091061, 0.8857, 0.8820
-2.189718, -7.039299, 0.8663, 0.8625
-2.276549, -6.988723, 0.8473, 0.8434
-2.365099, -6.942297, 0.8289, 0.8249
-2.455787, -6.901032, 0.8112, 0.8071
-2.549914, -6.868072, 0.7217, 0.7217
-2.623862, -6.786394, 0.7785, 0.7740
-2.699992, -6.709915, 0.7636, 0.7588
-2.776317, -6.633827, 0.7497, 0.7446
-2.850688, -6.556858, 0.7367, 0.7313
-2.920407, -6.477955, 0.7246, 0.7189
-2.969787, -6.390629, 0.7134, 0.7074
-3.013060, -6.300772, 0.7031, 0.6967
-3.051070, -6.208737, 0.6935, 0.6869
-3.065991, -6.107137, 0.6847, 0.6778
-3.123919, -6.023351, 0.6766, 0.6695
-3.137148, -5.921050, 0.6692, 0.6619
-3.167437, -5.825816, 0.6625, 0.6551
-3.220073, -5.739838, 0.6430, 0.6430
-3.220162, -5.632095, 0.6510, 0.6436
-3.220017, -5.524254, 0.6462, 0.6391
-3.220017, -5.416461, 0.6421, 0.6353
-3.220239, -5.308588, 0.6387, 0.6323
-3.222803, -5.199745, 0.5809, 0.5809
-3.167237, -5.114982, 0.5541, 0.5541
-3.173041, -5.004797, 0.5410, 0.5410
-3.116171, -4.920573, 0.6324, 0.6284
-3.105427, -4.817243, 0.4555, 0.4555
-3.021138, -4.744377, 0.6334, 0.6311
-2.985165, -4.651497, 0.6350, 0.6335
-2.903451, -4.577565, 0.6372, 0.6365
-2.868215, -4.484384, 0.6399, 0.6401
-2.788471, -4.409495, 0.6432, 0.6442
-2.714603, -4.331946, 0.6470, 0.6486
-2.666631, -4.235422, 0.6511, 0.6534
-2.588928, -4.160139, 0.6555, 0.6584
-2.512022, -4.084115, 0.6601, 0.6635
-2.470596, -3.993488, 0.6648, 0.6687
-2.394490, -3.917232, 0.6695, 0.6737
-2.320261, -3.840199, 0.6741, 0.6786
-2.270930, -3.752852, 0.6784, 0.6831
-2.201234, -3.673940, 0.6823, 0.6872
-2.128148, -3.596433, 0.6858, 0.6907
-2.071327, -3.512189, 0.6886, 0.6935
-2.018796, -3.426168, 0.6906, 0.6955
-1.969625, -3.338755, 0.6919, 0.6967
-1.925459, -3.249269, 0.6922, 0.6969
-1.885263, -3.158138, 0.6915, 0.6961
-1.846974, -3.066218, 0.6899, 0.6942
-1.809150, -2.974105, 0.6872, 0.6913
-1.771563, -2.881893, 0.6835, 0.6873
-1.722628, -2.794383, 0.6789, 0.6824
-1.718896, -2.688148, 0.6734, 0.6765
-1.671358, -2.600059, 0.6672, 0.6697
-1.617087, -2.514758, 0.5646, 0.5646
-1.623293, -2.404407, 0.5717, 0.5717
-1.569677, -2.318835, 0.6451, 0.6457
-1.518549, -2.232233, 0.6372, 0.6369
-1.472321, -2.143601, 0.6293, 0.6280
-1.468534, -2.037389, 0.6214, 0.6191
-1.418053, -1.950519, 0.6138, 0.6104
-1.384018, -1.856836, 0.6066, 0.6021
-1.370519, -1.754648, 0.6000, 0.5942
-1.370017, -1.647075, 0.5938, 0.5869
-1.370000, -1.539302, 0.5883, 0.5801
-1.370000, -1.431522, 0.5835, 0.5741
-1.370000, -1.323741, 0.5794, 0.5687
-1.370000, -1.215961, 0.5760, 0.5641
-1.370005, -1.108183, 0.5732, 0.5602
-1.370053, -1.000422, 0.5709, 0.5569
-1.370250, -0.892724, 0.5692, 0.5543
-1.411249, -0.801926, 0.5680, 0.5522
-1.420333, -0.697908, 0.5672, 0.5506
-1.456870, -0.605262, 0.5666, 0.5494
-1.466532, -0.501484, 0.5663, 0.5485
-1.523921, -0.417475, 0.5661, 0.5479
-1.542081, -0.317217, 0.5660, 0.5475
-1.566638, -0.219608, 0.5658, 0.5472
-1.622095, -0.134799, 0.5657, 0.5470
-1.628467, -0.029658, 0.5654, 0.5468
-1.670293, 0.060797, 0.5650, 0.5466
-1.718620, 0.148560, 0.5646, 0.5464
-1.770287, 0.234939, 0.5640, 0.5462
-1.823649, 0.320616, 0.5633, 0.5459
-1.833205, 0.424438, 0.5626, 0.5456
-1.872609, 0.515897, 0.5618, 0.5453
-1.921277, 0.603518, 0.5610, 0.5451
-1.958544, 0.695862, 0.5603, 0.5449
