# x_m, y_m, w_tr_right_m, w_tr_left_m
16.247575, -10.296855, 0.7249, 1.2061
16.229266, -10.370439, 0.7247, 1.1856
16.206949, -10.439404, 0.7252, 1.1580
16.180625, -10.503752, 0.7255, 1.1181
16.150294, -10.563481, 0.7253, 1.0643
16.115955, -10.618592, 0.7254, 1.0068
16.077610, -10.669086, 0.7266, 0.9540
16.035256, -10.714961, 0.7293, 0.8941
15.988896, -10.756218, 0.7347, 0.8324
15.938528, -10.792857, 0.7416, 0.7776
15.884153, -10.824878, 0.7493, 0.7330
15.825771, -10.852281, 0.7542, 0.7040
15.763381, -10.875066, 0.7517, 0.6834
15.696984, -10.893233, 0.7360, 0.6681
15.626580, -10.906782, 0.7072, 0.6544
15.552168, -10.915712, 0.6726, 0.6507
15.473749, -10.920025, 0.6409, 0.6534
15.391323, -10.919720, 0.6175, 0.6550
15.304889, -10.914796, 0.6038, 0.6543
15.215284, -10.905936, 0.5995, 0.6516
15.126015, -10.895998, 0.6066, 0.6488
15.037471, -10.885299, 0.6199, 0.6467
14.949654, -10.873839, 0.6356, 0.6449
14.862562, -10.861619, 0.6510, 0.6427
14.776195, -10.848638, 0.6636, 0.6400
14.690555, -10.834897, 0.6729, 0.6368
14.605640, -10.820395, 0.6790, 0.6335
14.521450, -10.805133, 0.6832, 0.6300
14.437987, -10.789110, 0.6865, 0.6267
14.355249, -10.772326, 0.6890, 0.6230
14.273237, -10.754783, 0.6900, 0.6182
14.191950, -10.736478, 0.6898, 0.6126
14.111390, -10.717413, 0.6888, 0.6063
14.031555, -10.697587, 0.6870, 0.5998
13.952445, -10.677001, 0.6845, 0.5943
13.874061, -10.655654, 0.6818, 0.5910
13.796404, -10.633547, 0.6796, 0.5906
13.719458, -10.610695, 0.6775, 0.5926
13.642729, -10.587666, 0.6761, 0.5945
13.565967, -10.564749, 0.6750, 0.5962
13.489173, -10.541942, 0.6742, 0.5984
13.412345, -10.519247, 0.6734, 0.6011
13.335485, -10.496663, 0.6727, 0.6035
13.258592, -10.474189, 0.6715, 0.6051
13.181666, -10.451827, 0.6701, 0.6069
13.104707, -10.429576, 0.6694, 0.6105
13.027715, -10.407435, 0.6699, 0.6158
12.950691, -10.385406, 0.6705, 0.6204
