# x_m, y_m, w_tr_right_m, w_tr_left_m
55.094283, 35.249618, 1.2691, 0.8372
55.045812, 35.186098, 1.1172, 0.8749
55.007908, 35.115745, 1.0079, 1.0052
54.979927, 35.040877, 0.9165, 0.9645
54.960619, 34.963307, 0.8396, 0.8993
54.948580, 34.884274, 0.7809, 0.8621
54.942506, 34.804557, 0.7374, 0.8432
54.941277, 34.724614, 0.7045, 0.8044
54.943977, 34.644705, 0.6790, 0.7716
54.949866, 34.564967, 0.6587, 0.7258
54.958357, 34.485463, 0.6424, 0.7053
54.968990, 34.406216, 0.6295, 0.6950
54.981403, 34.327228, 0.6194, 0.6905
54.995320, 34.248491, 0.6118, 0.6894
55.010526, 34.169993, 0.6062, 0.6905
55.026861, 34.091722, 0.6023, 0.6926
55.044200, 34.013667, 0.5998, 0.6950
55.062447, 33.935819, 0.5984, 0.6972
55.081527, 33.858171, 0.5980, 0.6991
55.101377, 33.780716, 0.5984, 0.7004
55.121946, 33.703449, 0.5996, 0.7009
55.143185, 33.626363, 0.6013, 0.7006
55.165052, 33.549454, 0.6035, 0.6997
55.187504, 33.472712, 0.6059, 0.6982
55.210500, 33.396133, 0.6082, 0.6965
55.234001, 33.319707, 0.6104, 0.6947
55.257967, 33.243425, 0.6122, 0.6930
55.282359, 33.167278, 0.6135, 0.6916
55.307135, 33.091255, 0.6146, 0.6903
55.332258, 33.015347, 0.6154, 0.6892
55.357687, 32.939540, 0.6161, 0.6880
55.383382, 32.863823, 0.6169, 0.6865
55.409305, 32.788184, 0.6177, 0.6844
55.435415, 32.712609, 0.6187, 0.6814
55.461673, 32.637085, 0.6197, 0.6769
55.488040, 32.561600, 0.6209, 0.6710
55.514479, 32.486139, 0.6221, 0.6639
55.540953, 32.410691, 0.6234, 0.6561
55.567425, 32.335242, 0.6246, 0.6490
55.593864, 32.259782, 0.6258, 0.6441
55.620240, 32.184299, 0.6269, 0.6426
55.646527, 32.108786, 0.6278, 0.6452
55.672706, 32.033235, 0.6285, 0.6517
55.698764, 31.957642, 0.6288, 0.6605
55.724698, 31.882007, 0.6287, 0.6702
55.750514, 31.806331, 0.6279, 0.6793
55.776229, 31.730621, 0.6266, 0.6873
55.801874, 31.654887, 0.6246, 0.6941
