# x_m, y_m, w_tr_right_m, w_tr_left_m
-2.817763, 4.538073, 2.4313, 1.6937
-2.888842, 4.499490, 2.3236, 1.7799
-2.954498, 4.456636, 2.1818, 4.4924
-3.014732, 4.409513, 2.0150, 4.0404
-3.069544, 4.358119, 1.8562, 3.7002
-3.118935, 4.302456, 1.7239, 3.4692
-3.162904, 4.242522, 1.6074, 3.2936
-3.201450, 4.178318, 1.4957, 3.1613
-3.234575, 4.109845, 1.3969, 3.0644
-3.262278, 4.037101, 1.3112, 2.9937
-3.284559, 3.960087, 1.2336, 2.9391
-3.301419, 3.878804, 1.1687, 2.8922
-3.313400, 3.793933, 1.1277, 2.8793
-3.323435, 3.709150, 1.1002, 2.8922
-3.331958, 3.625001, 1.0738, 2.9008
-3.338970, 3.541489, 1.0491, 2.9082
-3.344472, 3.458611, 1.0260, 2.9141
-3.348462, 3.376368, 1.0051, 2.9185
-3.350941, 3.294760, 0.9866, 2.9218
-3.351909, 3.213788, 0.9707, 2.9241
-3.351367, 3.133450, 0.9571, 2.9254
-3.349313, 3.053748, 0.9456, 0.9804
-3.345748, 2.974680, 0.9360, 0.9728
-3.340728, 2.896212, 0.9286, 1.0701
-3.335109, 2.817788, 0.9224, 0.9642
-3.329180, 2.739220, 0.9162, 0.9600
-3.322944, 2.660509, 0.9099, 0.9553
-3.316398, 2.581653, 0.9037, 0.9501
-3.309544, 2.502653, 0.8979, 0.9449
-3.302381, 2.423509, 0.8926, 0.9402
-3.294909, 2.344222, 0.8880, 0.9367
-3.287129, 2.264790, 0.8838, 0.9345
-3.279040, 2.185215, 0.8799, 0.9335
-3.270643, 2.105495, 0.8760, 0.9331
-3.261937, 2.025632, 0.8721, 0.9322
-3.252922, 1.945624, 0.8682, 0.9302
-3.243598, 1.865473, 0.8648, 0.9268
-3.233966, 1.785178, 0.8619, 0.9226
-3.224025, 1.704739, 0.8597, 0.9184
-3.213775, 1.624155, 0.8580, 0.9149
-3.203217, 1.543428, 0.8564, 0.9122
-3.192350, 1.462557, 0.8548, 0.9095
-3.181174, 1.381542, 0.8532, 0.9060
