# x_m, y_m, w_tr_right_m, w_tr_left_m
5.540325, -8.580767, 0.7590, 0.8096
5.459868, -8.562433, 0.7657, 0.8184
5.379339, -8.544090, 0.7719, 0.8237
5.298737, -8.525738, 0.7771, 0.8263
5.218064, -8.507376, 0.7817, 0.8273
5.137319, -8.489006, 0.7860, 0.8277
5.056584, -8.470544, 0.7895, 0.8269
4.975944, -8.451909, 0.7918, 0.8243
4.895398, -8.433101, 0.7938, 0.8210
4.814945, -8.414121, 0.7962, 0.8176
4.734586, -8.394967, 0.7990, 0.8133
4.654322, -8.375641, 0.8015, 0.8086
4.574151, -8.356142, 0.8037, 0.8054
4.494074, -8.336470, 0.8066, 0.8038
4.414091, -8.316625, 0.8103, 0.8024
4.334203, -8.296608, 0.8132, 0.8005
4.254408, -8.276417, 0.8143, 0.7989
4.174707, -8.256054, 0.8143, 0.7978
4.095099, -8.235518, 0.8138, 0.7966
4.015586, -8.214809, 0.8131, 0.7955
3.936167, -8.193928, 0.8127, 0.7953
3.856842, -8.172873, 0.8130, 0.7958
3.777611, -8.151646, 0.8139, 0.7961
3.698473, -8.130245, 0.8146, 0.7955
3.619430, -8.108672, 0.8145, 0.7944
3.540480, -8.086926, 0.8126, 0.7926
3.461625, -8.065007, 0.8096, 0.7899
3.382863, -8.042916, 0.8068, 0.7874
3.304195, -8.020651, 0.8054, 0.7858
3.225621, -7.998214, 0.8055, 0.7840
3.147142, -7.975604, 0.8063, 0.7804
3.068756, -7.952821, 0.8069, 0.7752
2.990464, -7.929865, 0.8073, 0.7698
2.912266, -7.906737, 0.8077, 0.7650
2.834162, -7.883435, 0.8078, 0.7601
2.756151, -7.859961, 0.8070, 0.7551
2.678235, -7.836314, 0.8058, 0.7507
2.600413, -7.812494, 0.8043, 0.7466
2.522685, -7.788501, 0.8023, 0.7418
2.445050, -7.764335, 0.7996, 0.7360
2.367510, -7.739996, 0.7960, 0.7294
2.290063, -7.715485, 0.7926, 0.7224
2.212711, -7.690801, 0.7911, 0.7163
2.135452, -7.665944, 0.7919, 0.7106
2.058287, -7.640914, 0.7937, 0.7043
1.981216, -7.615711, 0.7957, 0.6972
1.904240, -7.590336, 0.7979, 0.6897
1.827357, -7.564787, 0.7993, 0.6813
1.750568, -7.539066, 0.7986, 0.6721
1.673873, -7.513172, 0.7964, 0.6630
1.597272, -7.487105, 0.7937, 0.6551
1.520764, -7.460865, 0.7901, 0.6491
1.444351, -7.434453, 0.7850, 0.6448
1.368032, -7.407867, 0.7784, 0.6416
1.291807, -7.381109, 0.7712, 0.6390
1.215675, -7.354178, 0.7633, 0.6383
1.139638, -7.327074, 0.7544, 0.6405
1.063694, -7.299797, 0.7441, 0.6445
0.987845, -7.272347, 0.7329, 0.6489
0.912089, -7.244725, 0.7219, 0.6544
0.836427, -7.216930, 0.7118, 0.6612
0.760859, -7.188961, 0.7028, 0.6685
0.685386, -7.160820, 0.6949, 0.6754
0.610006, -7.132507, 0.6886, 0.6816
0.534720, -7.104020, 0.6832, 0.6866
0.459528, -7.075360, 0.6774, 0.6896
0.384430, -7.046528, 0.6712, 0.6916
0.309426, -7.017523, 0.6657, 0.6946
0.234515, -6.988345, 0.6604, 0.6985
0.159699, -6.958994, 0.6555, 0.7020
0.084977, -6.929470, 0.6520, 0.7054
0.010348, -6.899774, 0.6502, 0.7095
-0.064186, -6.869904, 0.6493, 0.7142
-0.138627, -6.839862, 0.6479, 0.7195
-0.212973, -6.809647, 0.6454, 0.7258
-0.287226, -6.779259, 0.6427, 0.7334
-0.361385, -6.748698, 0.6414, 0.7426
-0.435237, -6.717514, 0.6415, 0.7539
-0.508569, -6.685257, 0.6412, 0.7678
-0.581382, -6.651926, 0.6394, 0.7828
-0.653675, -6.617522, 0.6361, 0.7982
-0.725449, -6.582045, 0.6325, 0.8127
-0.796703, -6.545494, 0.6293, 0.8241
-0.867437, -6.507870, 0.6266, 0.8317
-0.937652, -6.469172, 0.6231, 0.8360
-1.007347, -6.429401, 0.6187, 0.8379
-1.076523, -6.388557, 0.6142, 0.8381
-1.145179, -6.346639, 0.6106, 0.8351
-1.213315, -6.303648, 0.6085, 0.8289
-1.280932, -6.259583, 0.6075, 0.8208
-1.348029, -6.214445, 0.6083, 0.8120
-1.414607, -6.168234, 0.6114, 0.8031
-1.480665, -6.120949, 0.6171, 0.7942
-1.546204, -6.072591, 0.6249, 0.7854
-1.611223, -6.023159, 0.6341, 0.7774
-1.675722, -5.972654, 0.6445, 0.7700
-1.739702, -5.921076, 0.6557, 0.7631
-1.803162, -5.868424, 0.6678, 0.7573
-1.866103, -5.814699, 0.6807, 0.7521
-1.928524, -5.759900, 0.6946, 0.7464
-1.990425, -5.704028, 0.7092, 0.7396
-2.051807, -5.647083, 0.7226, 0.7316
-2.112669, -5.589064, 0.7329, 0.7221
-2.173012, -5.529972, 0.7395, 0.7113
-2.232835, -5.469807, 0.7433, 0.7009
-2.292139, -5.408568, 0.7456, 0.6926
-2.350922, -5.346255, 0.7469, 0.6856
-2.409187, -5.282870, 0.7478, 0.6786
-2.466932, -5.218411, 0.7486, 0.6716
-2.524157, -5.152878, 0.7501, 0.6654
-2.580862, -5.086272, 0.7528, 0.6605
-2.637048, -5.018593, 0.7574, 0.6578
-2.692565, -4.949883, 0.7628, 0.6562
-2.745871, -4.880585, 0.7675, 0.6570
-2.796558, -4.810815, 0.7715, 0.6603
-2.844626, -4.740573, 0.7748, 0.6640
-2.890076, -4.669860, 0.7773, 0.6663
-2.932908, -4.598675, 0.7788, 0.6679
-2.973120, -4.527018, 0.7795, 0.6702
-3.010714, -4.454889, 0.7798, 0.6742
-3.045690, -4.382289, 0.7799, 0.6810
-3.078047, -4.309217, 0.7800, 0.6888
-3.107785, -4.235673, 0.7799, 0.6961
-3.134905, -4.161658, 0.7789, 0.7044
-3.159406, -4.087171, 0.7768, 0.7137
-3.181289, -4.012212, 0.7737, 0.7242
-3.200553, -3.936782, 0.7698, 0.7395
-3.217198, -3.860879, 0.7655, 0.7607
-3.231225, -3.784506, 0.7608, 0.7839
-3.242633, -3.707660, 0.7555, 0.8052
-3.251423, -3.630343, 0.7496, 0.8255
-3.257594, -3.552554, 0.7430, 0.8443
-3.261146, -3.474293, 0.7358, 0.8613
-3.262080, -3.395560, 0.7279, 0.8764
-3.260396, -3.316356, 0.7198, 0.8877
-3.256092, -3.236680, 0.7119, 0.8959
-3.249171, -3.156533, 0.7042, 0.9054
-3.239630, -3.075913, 0.6962, 0.9172
-3.227471, -2.994822, 0.6868, 0.9271
-3.212694, -2.913260, 0.6757, 0.9324
-3.195297, -2.831225, 0.6631, 0.9363
-3.175283, -2.748719, 0.6502, 0.9397
-3.152649, -2.665741, 0.6383, 0.9417
-3.127397, -2.582292, 0.6273, 0.9434
-3.099527, -2.498370, 0.6167, 0.9443
-3.069038, -2.413978, 0.6063, 0.9425
-3.035930, -2.329113, 0.5968, 0.9399
-3.000204, -2.243776, 0.5885, 0.9390
-2.962830, -2.158826, 0.5826, 0.9399
-2.924778, -2.075117, 0.5791, 0.9411
-2.886049, -1.992652, 0.5771, 0.9406
-2.846643, -1.911428, 0.5762, 0.9372
-2.806559, -1.831448, 0.5770, 0.9319
-2.765798, -1.752710, 0.5797, 0.9272
-2.724360, -1.675215, 0.5835, 0.9236
-2.682245, -1.598962, 0.5875, 0.9213
-2.639452, -1.523952, 0.5918, 0.9202
-2.595981, -1.450185, 0.5969, 0.9190
-2.551834, -1.377660, 0.6030, 0.9162
-2.507009, -1.306377, 0.6103, 0.9117
-2.461507, -1.236338, 0.6187, 0.9070
-2.415327, -1.167541, 0.6280, 0.9030
-2.368470, -1.099986, 0.6375, 0.8998
-2.320936, -1.033675, 0.6468, 0.8974
-2.272724, -0.968605, 0.6556, 0.8952
-2.223835, -0.904779, 0.6641, 0.8917
-2.174269, -0.842195, 0.6732, 0.8868
-2.124025, -0.780853, 0.6833, 0.8837
-2.073104, -0.720755, 0.6936, 0.8843
-2.021506, -0.661899, 0.7037, 0.8872
-1.969230, -0.604285, 0.7136, 0.8907
-1.916277, -0.547914, 0.7236, 0.8952
-1.862647, -0.492786, 0.7336, 0.9017
-1.808339, -0.438900, 0.7437, 0.9091
-1.753354, -0.386257, 0.7543, 0.9152
-1.697692, -0.334856, 0.7658, 0.9197
-1.641352, -0.284698, 0.7780, 0.9228
-1.584335, -0.235783, 0.7902, 0.9258
-1.526641, -0.188110, 0.8018, 0.9284
-1.468269, -0.141680, 0.8123, 0.9294
-1.409220, -0.096493, 0.8216, 0.9282
-1.349493, -0.052548, 0.8296, 0.9268
-1.289090, -0.009846, 0.8363, 0.9279
-1.228009, 0.031614, 0.8418, 0.9324
-1.166250, 0.071831, 0.8471, 0.9399
-1.103815, 0.110805, 0.8529, 0.9484
-1.040701, 0.148537, 0.8601, 0.9549
-0.976911, 0.185027, 0.8687, 0.9580
-0.912443, 0.220273, 0.8784, 0.9592
-0.847298, 0.254277, 0.8883, 0.9599
-0.781476, 0.287039, 0.8983, 0.9592
-0.714976, 0.318557, 0.9086, 0.9563
-0.647799, 0.348834, 0.9191, 0.9533
-0.579944, 0.377867, 0.9291, 0.9518
