event_index,source_stamp_ns,cycle_status,solver_iterations,primal_residual,dual_residual,max_residual,max_regularization,regularization_count,nonsmooth_jacobian_columns,nonlinear_failure_stage,nonlinear_failure_reason,r1_nonlinear_failure_stage,r1_nonlinear_failure_reason,r2_nonlinear_failure_stage,r2_nonlinear_failure_reason,reason,state_age_s,control_time_age_s,control_time_mode,command_changes_used,command_fallback,current_progress_m,map_x_m,map_y_m,map_yaw_rad,path_curvature_per_m,curvature_source,u_mps,v_mps,r_radps,e_y_m,e_psi_rad,target_speed_mps,steering_command_rad,previous_steering_rate_radps,previous_target_speed_rate_mps2,first_steering_rate_radps,first_target_speed_rate_mps2,published_steering_rad,published_target_speed_mps,abs_curvature_per_m,abs_steering_rad,abs_steering_rate_radps,abs_yaw_rate_radps,lateral_accel_proxy_mps2,nominal_vs_candidate_progress_error_max_m,nominal_vs_candidate_curvature_error_max_per_m,nominal_vs_candidate_left_bound_error_max_m,nominal_vs_candidate_right_bound_error_max_m,minimum_predicted_corridor_slack_m,lateral_accel_proxy_stage,rti_iterations_used,rti2_triggered,rti2_trigger_reason_mask,rti2_budget_skipped,r1_status,r2_status,r1_nonlinear_objective,r2_nonlinear_objective,r1_min_corridor_slack,r2_min_corridor_slack,r1_solver_iterations,r2_solver_iterations,r1_solve_us,r2_solve_us,total_rti_us,selected_candidate,rho_start,rho_final,rho_u_start,rho_u_final,rho_change_count,factorization_count,factorization_time_ns,operating_mode,operating_mode_source,steering_reversal
73,0,rejected,,,,,,,,,,,,,,MPC coherent control-time state unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unavailable,
85,0,rejected,,,,,,,,,,,,,,MPC coherent control-time state unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unavailable,
97,0,rejected,,,,,,,,,,,,,,MPC coherent control-time state unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unavailable,
109,0,rejected,,,,,,,,,,,,,,MPC coherent control-time state unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unavailable,
121,0,rejected,,,,,,,,,,,,,,MPC coherent control-time state unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unavailable,
136,0,rejected,,,,,,,,,,,,,,MPC coherent control-time state unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unavailable,
151,1789731634560795904,accepted_optimal,95,0.00977611542,0.00221633911,0.00977611542,0,0,30,,,,,,,,0.002419036,0.002419036,ct2,0,False,21.8056414,0.8006,3.1583,-1.57079633,-0.051885365771158404,first_horizon_reference,0.0,0.0,0.0,0.165691748,-0.30120784,0.0,0.0,0.0,0.0,0.0103468895,3.0,0.000258672255,0.075000003,0.051885365771158404,0.0,0.0103468895,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2969.771,,,,,,,,,powered_acceleration_command,candidate_action,False
166,1789731634587292928,accepted_optimal,60,0.0093023777,0.00213456154,0.0093023777,0,0,30,,,,,,,,0.004282407,0.004282407,ct2,0,False,21.8056414,0.8006,3.1583,-1.57079633,-0.051885365771158404,first_horizon_reference,0.0,0.0,0.0,0.165691748,-0.30120784,0.0,0.0,0.0,0.0,0.0100717545,3.0,0.000251793856,0.075000003,0.051885365771158404,0.0,0.0100717545,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2121.947,,,,,,,,,powered_acceleration_command,candidate_action,False
184,1789731634611144448,accepted_optimal,60,0.00931167603,0.00212454796,0.00931167603,0,0,30,,,,,,,,0.003053167,0.003053167,ct2,0,False,21.8056414,0.8006,3.1583,-1.57079633,-0.051885365771158404,first_horizon_reference,0.0,0.0,0.0,0.165691748,-0.30120784,0.0,0.0,0.0,0.0,0.00891089439,3.0,0.00022277236,0.075000003,0.051885365771158404,0.0,0.00891089439,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2056.053,,,,,,,,,powered_acceleration_command,candidate_action,False
196,1789731634636548096,accepted_optimal,60,0.00932312012,0.00213289261,0.00932312012,0,0,30,,,,,,,,0.003455543,0.003455543,ct2,0,False,21.8056414,0.8006,3.1583,-1.57079633,-0.051885365771158404,first_horizon_reference,0.0,0.0,0.0,0.165691748,-0.30120784,0.0,0.0,0.0,0.0,0.00962489843,3.0,0.000240622467,0.075000003,0.051885365771158404,0.0,0.00962489843,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2536.566,,,,,,,,,powered_acceleration_command,candidate_action,False
