s_ref_m,x_ref_m,y_ref_m,kappa_ref,ey_m,epsi_rad,u_mps,r_radps,target_mps,delta_rad,qdelta_radps,qv_mps2,left_m,right_m
51.11098207,-1.16556597,-0.09739277,0.086129485,0.08219499,-0.190098009,7.86351552,1.01735483,7.21545002,0.045327871,-0.168525589,-7.99999825,0.7147376,0.8652826
51.29095032,-1.14776176,0.08169117,0.085744784,0.04855363,-0.181542766,7.71355247,1.03712298,7.02839469,0.048522945,0.435603921,-7.99999810,0.7253795,0.8559055
51.47091857,-1.13273078,0.26102918,0.085791733,0.01650054,-0.171939858,7.55321491,1.05915078,6.83730846,0.049636093,-0.333916101,-7.99999766,0.7393359,0.8402190
51.65088681,-1.12046985,0.44057785,0.085503025,-0.01375032,-0.161169987,7.38318152,1.08353422,6.64181422,0.053339700,0.625734266,-7.99999615,0.7508445,0.8269172
51.83085506,-1.11097203,0.62029388,0.085084435,-0.04195764,-0.149048931,7.20408078,1.11048125,6.44475275,0.055056979,-0.474777739,-7.74413383,0.7597797,0.8112314
52.01082331,-1.10422628,0.80013425,0.084876697,-0.06785011,-0.135427511,7.01728686,1.14003268,6.25393328,0.059361576,0.793071645,-7.11849569,0.7661183,0.7870716
52.19079155,-1.10022124,0.98005654,0.084239442,-0.09112677,-0.120121278,6.82520441,1.17212578,6.06671255,0.061684061,-0.597854243,-7.06670533,0.7719714,0.7673099
52.37075980,-1.09894092,1.16001887,0.083673298,-0.11145247,-0.102923730,6.62906909,1.20679438,5.87554107,0.066658715,0.942014384,-7.01388313,0.7855981,0.7505304
52.55072805,-1.10036934,1.33998010,0.083036066,-0.12845749,-0.083636331,6.42858416,1.24444179,5.68013149,0.069855743,-0.688760893,-6.95969380,0.7947506,0.7348966
52.73069629,-1.10448730,1.51989989,0.082923214,-0.14173903,-0.062062426,6.22338570,1.28544204,5.48012338,0.075824725,1.074348231,-6.90482048,0.8017063,0.7244657
52.91066454,-1.11129712,1.69973793,0.131466906,-0.15127023,-0.042183773,6.01222277,1.33062256,5.27431405,0.080295676,-0.738048379,-6.84666516,0.8094812,0.7186165
53.09063279,-1.12236126,1.87935992,0.164678223,-0.15759600,-0.026554977,5.79386886,1.37693264,5.06146251,0.086347355,1.087081721,-6.79109999,0.8128643,0.7296714
53.27060103,-1.13880502,2.05857015,0.160277523,-0.16097413,-0.010031645,5.56842095,1.43667291,4.84178229,0.096550858,-0.429748882,-6.72193356,0.8113210,0.7481401
53.45056928,-1.16041851,2.23723106,0.154451669,-0.16085075,0.011378657,5.33579673,1.49930733,4.61489568,0.101525527,0.699988312,-6.67968692,0.8059240,0.7724626
53.63053753,-1.18699952,2.41522107,0.148622514,-0.15626253,0.038415864,5.09513866,1.57012404,4.38067754,0.115594701,0.108953787,-6.56726645,0.7923315,0.8024853
53.81050577,-1.21834523,2.59243441,0.143076003,-0.14610277,0.071947768,4.84526577,1.65109474,4.13635711,0.124300452,0.354327861,-6.60510729,0.7650972,0.8381927
53.99047402,-1.25425161,2.76878059,0.137730376,-0.12907482,0.113148650,4.58454668,1.74499255,3.88385726,0.143263892,0.608202850,-6.31397381,0.7325311,0.8792908
54.17044227,-1.29452046,2.94418234,0.132074592,-0.10359564,0.163757339,4.31065475,1.85586615,3.61368333,0.158706325,0.149873673,-6.67822191,0.7005351,0.9246491
54.35041051,-1.33895267,3.11857626,0.126976590,-0.06762228,0.226352490,4.02007906,1.99001058,3.33644478,0.187112202,1.087395022,-5.78449354,0.6756108,0.9580989
54.53037876,-1.38735767,3.29190980,0.122046907,-0.01832010,0.305086194,3.70716234,2.15798466,3.02110729,0.216953321,0.182302106,-7.10952139,0.6523745,0.9684854
54.71034701,-1.43954327,3.46414294,0.116391287,0.04872010,0.407657687,3.36181853,2.37966441,2.70081444,0.268304520,1.610930378,-4.79343280,2.0821947,0.9784347
54.89031525,-1.49654509,3.63483190,0.528593319,0.13354952,0.504610434,2.98111245,2.68356190,2.30546429,0.337401550,0.698803325,-7.99999922,2.9513356,0.9970268
55.07028350,-1.56721140,3.80028232,0.655156312,0.23114948,0.592568046,2.60554590,3.07037384,2.13131316,0.430930608,2.013472586,2.32771319,2.9843691,1.0469993
55.25025175,-1.65691066,3.95616910,0.896185054,0.33312404,0.675403760,2.38276234,3.35744769,2.31537508,0.458243234,-1.291046798,2.99999974,3.0799747,1.1339815
55.43021999,-1.77055945,4.09541800,1.211766382,0.41961594,0.682191060,2.35050445,3.40352470,2.48992948,0.437899817,0.968441616,2.99999981,3.3377993,1.2557729
55.61018824,-1.91146994,4.20672686,1.490357816,0.47245970,0.566049674,2.38087700,3.35860218,2.60240292,0.422465991,-2.937030714,2.99999972,3.8500553,1.5031445
55.79015649,-2.07644204,4.27737601,1.505391527,0.49820927,0.374148072,2.41424538,3.31366480,2.67218026,0.402818634,1.924366473,2.99999966,2.8564248,1.8301420
55.97012473,-2.25428202,4.30214030,1.240885266,0.51380169,0.204370392,2.45602853,3.25727960,2.74289496,0.391226580,-2.275355557,2.99999978,1.4925167,2.2293478
56.15009298,-2.43337267,4.28703624,0.919866508,0.52583059,0.112936800,2.52161001,3.17257622,2.83920573,0.367328076,0.375220730,2.99999986,2.1262190,2.5937375
