s_m,v_ref_mps,kappa_radpm,ax_ref_mps2,ay_ref_mps2,delta_ff_rad,d_left_m,d_right_m,core_bin_id
29.358716,10.017169,-0.033708,-6.699341,-3.3823845893009032,-0.010920957808164836,0.6125,1.5875,s10_k1
29.378715,10.003785,-0.033565,-6.884271,-3.359041351359742,-0.010874631310432866,0.6125,1.575,s10_k1
29.398714,9.990013,-0.033424,-7.068772,-3.3357272239554083,-0.010828952690040963,0.6125,1.575,s9_k1
29.418713,9.975852,-0.033282,-7.25282,-3.3121455328763365,-0.01078295006212904,0.6125,1.575,s9_k1
29.438712,9.961301,-0.033141,-7.43639,-3.2884991611992103,-0.010737271351225573,0.6,1.575,s9_k1
29.458711,9.94636,-0.033003,-7.619459,-3.2649893394685487,-0.010692564484397416,0.6,1.5625,s9_k1
29.47871,9.931028,-0.032868,-7.801995,-3.2416169236518164,-0.010648829464616837,0.6,1.5625,s9_k1
29.49871,9.915304,-0.032732,-7.983974,-3.2179894106952007,-0.010604770440534698,0.6,1.5625,s9_k1
29.518709,9.899187,-0.032597,-8.165371,-3.194307264597806,-0.010561035339144032,0.6125,1.5625,s9_k1
29.538708,9.882677,-0.032464,-8.280651,-3.1706713793369845,-0.010517948125671002,0.6125,1.55,s9_k1
29.558707,9.865905,-0.032333,-8.29658,-3.147167522137985,-0.010475508802041077,0.6125,1.55,s9_k1
29.578706,9.849073,-0.032203,-8.312212,-3.1238275072072725,-0.010433393405408069,0.625,1.575,s9_k1
29.598705,9.83218,-0.032073,-8.35062,-3.100553472416124,-0.010391277971762126,0.625,1.575,s9_k1
29.618704,9.81518,-0.031945,-8.403643,-3.077509693123018,-0.010349810431846589,0.625,1.5625,s9_k1
29.638703,9.798042,-0.031819,-8.41647,-3.054675770587337,-0.010308990787475953,0.625,1.5625,s9_k1
29.658703,9.780848,-0.031693,-8.429126,-3.0319104519784035,-0.010268171108749497,0.6375,1.5625,s9_k1
29.678702,9.763597,-0.031568,-8.441507,-3.009308823113616,-0.010227675361913331,0.6375,1.5625,s9_k1
29.698701,9.746291,-0.031444,-8.453595,-2.986871479543077,-0.010187503547906946,0.6375,1.55,s9_k1
29.7187,9.728929,-0.031323,-8.465523,-2.9647864593125854,-0.010148303600927345,0.6375,1.55,s9_k1
29.738699,9.711511,-0.031201,-8.47729,-2.942673825623278,-0.01010877965586682,0.65,1.55,s9_k1
29.758698,9.694038,-0.03108,-8.488823,-2.9207235049284,-0.010069579646372206,0.65,1.55,s9_k1
29.778697,9.676509,-0.03096,-8.500085,-2.898934226182427,-0.010030703573332756,0.6375,1.5375,s9_k1
29.798696,9.658926,-0.030842,-8.511197,-2.8773998091449466,-0.009992475405276304,0.6375,1.5375,s9_k1
29.818696,9.641287,-0.030725,-8.52216,-2.8560244013779372,-0.009954571175908809,0.6375,1.5625,s9_k1
29.838695,9.623593,-0.030607,-8.532921,-2.834622687022867,-0.009916342949796443,0.6375,1.5625,s9_k1
29.858694,9.605844,-0.030491,-8.543435,-2.8134728378956764,-0.009878762631467586,0.6375,1.55,s9_k1
29.878693,9.58804,-0.030376,-8.553808,-2.792481203399641,-0.009841506253855584,0.65,1.55,s9_k1
29.898692,9.570182,-0.030262,-8.564041,-2.771647661874159,-0.009804573817777931,0.65,1.55,s9_k1
29.918691,9.552268,-0.030148,-8.5741,-2.750879100258406,-0.009767641354952427,0.65,1.5375,s9_k1
29.93869,9.5343,-0.030034,-8.583936,-2.73017699250066,-0.0097307088654798,0.6625,1.5375,s9_k1
29.958689,9.516278,-0.029923,-8.593639,-2.709813324081577,-0.009694748258116316,0.6625,1.5375,s9_k1
29.978689,9.4982,-0.029811,-8.60321,-2.6894233103876406,-0.009658463655902916,0.6625,1.5375,s9_k1
29.998688,9.480068,-0.029699,-8.612629,-2.6690993000640475,-0.009622179028256576,0.675,1.525,s9_k1
30.018687,9.461882,-0.029588,-8.621851,-2.648931118533167,-0.00958621834550056,0.675,1.525,s9_k1
30.038686,9.443641,-0.029479,-8.630947,-2.6290066529759146,-0.009550905578845914,0.675,1.525,s9_k1
30.058685,9.425345,-0.029369,-8.639917,-2.609057623069895,-0.009515268817705912,0.675,1.5125,s9_k1
30.078684,9.406994,-0.02926,-8.648753,-2.589262346755213,-0.009479956003280917,0.6875,1.5375,s9_k1
30.098683,9.388589,-0.02915,-8.657418,-2.569444339428347,-0.009444319194111647,0.6625,1.5375,s9_k1
30.118682,9.370129,-0.029042,-8.665962,-2.549867778156608,-0.009409330303588058,0.6625,1.5375,s9_k1
30.138682,9.351615,-0.028934,-8.674388,-2.5303565117333826,-0.009374341390025546,0.675,1.525,s9_k1
30.158681,9.333046,-0.028826,-8.682691,-2.5109102814163315,-0.00933935245350976,0.675,1.525,s9_k1
30.17868,9.314422,-0.028719,-8.69085,-2.4916161321568984,-0.009304687466077112,0.675,1.525,s9_k1
30.198679,9.295743,-0.028612,-8.698894,-2.4723868946256657,-0.009270022456281637,0.6875,1.525,s9_k1
30.218678,9.277009,-0.028504,-8.706824,-2.4531367871872525,-0.009235033451839424,0.6875,1.5125,s9_k1
30.238677,9.25822,-0.028398,-8.71464,-2.434124277667423,-0.00920069236993537,0.6875,1.5125,s9_k1
30.258676,9.239376,-0.028291,-8.722339,-2.4150914543835165,-0.009166027293551156,0.6875,1.5125,s9_k1
30.278675,9.220476,-0.028184,-8.729928,-2.3961241353547775,-0.009131362195137278,0.7,1.5,s9_k1
30.298675,9.201522,-0.028077,-8.737406,-2.3772236358095213,-0.009096697074777024,0.7,1.5,s9_k1
30.318674,9.182512,-0.027971,-8.744777,-2.358473508371757,-0.009062355905946447,0.7,1.5,s9_k1
30.338673,9.163446,-0.027864,-8.752057,-2.3397050436647397,-0.009027690742146483,0.7125,1.4875,s9_k1
30.358672,9.144325,-0.027757,-8.75923,-2.321003692589033,-0.00899302555664924,0.7125,1.4875,s9_k1
30.378671,9.125148,-0.02765,-8.766298,-2.3023692145056454,-0.008958360349538013,0.7125,1.4875,s9_k1
30.39867,9.105915,-0.027543,-8.77326,-2.2838018802321383,-0.008923695120896092,0.725,1.4875,s9_k1
30.418669,9.086626,-0.027436,-8.780157,-2.2653019583445024,-0.00888902987080677,0.7,1.475,s9_k1
30.438668,9.067281,-0.027328,-8.786951,-2.246787499582358,-0.008854040624753277,0.7,1.475,s9_k1
30.458668,9.047879,-0.027221,-8.793643,-2.228423058045407,-0.008819375331820542,0.7125,1.475,s9_k1
30.478667,9.028421,-0.027113,-8.800232,-2.210045314927623,-0.008784386042692948,0.7125,1.4625,s9_k1
30.498666,9.008907,-0.027005,-8.806776,-2.1917367460621966,-0.008749396732056212,0.7125,1.4625,s9_k1
30.518665,8.989335,-0.026895,-8.813223,-2.1733350259471416,-0.00871375944920078,0.725,1.4875,s8_k1
