horizon_steps,horizon_ms,initial_speed_bin,dimension,count,signed_mean,mae,p50_abs,p90_abs,p95_abs,p99_abs,max_abs
1,25,0-0.5,map_position_m,3872,5.83624407e-05,5.83624407e-05,3.776600542e-05,3.776600542e-05,3.776600542e-05,3.776600542e-05,0.0175084144
1,25,0-0.5,along_track_m,3872,4.266887607e-06,1.911816063e-05,2.046363079e-12,2.046363079e-12,2.046363079e-12,2.046363079e-12,0.01442436305
1,25,0-0.5,cross_track_m,3872,-4.082621033e-07,4.450223518e-06,1.343133313e-09,1.343133313e-09,1.343133313e-09,1.343133577e-09,0.007651827594
1,25,0-0.5,yaw_rad,3872,-0.007042650515,0.007055249908,0.007095908693,0.007095908693,0.007095908693,0.007095908693,0.007127747146
1,25,0-0.5,u_mps,3872,5.447467053e-05,0.0002330941018,0,0,0,0,0.2042094658
1,25,0-0.5,v_mps,3872,-1.427037625e-05,1.427037625e-05,0,0,0,0,0.05266872463
1,25,0-0.5,yaw_rate_radps,3872,-3.319490324e-05,3.411998696e-05,0,0,0,0,0.02197044977
1,25,0.5-2,map_position_m,1511,0.004056928678,0.004056928678,0.003334874248,0.008077549524,0.009899255631,0.01329442608,0.02118194518
1,25,0.5-2,along_track_m,1511,-5.25042233e-05,0.001505034881,0.001135928266,0.003140896564,0.004001883202,0.00614982028,0.01819863934
1,25,0.5-2,cross_track_m,1511,-0.0006076852458,0.003435862753,0.002611323375,0.007607272455,0.009292910859,0.01205781779,0.01579413018
1,25,0.5-2,yaw_rad,1511,6.767071168e-05,0.006551680871,0.004945970138,0.01415308938,0.01752651749,0.02867637442,0.0409209759
1,25,0.5-2,u_mps,1511,0.002153660603,0.02389913583,0.01543955057,0.04782404267,0.07009098319,0.1560137005,0.458548567
1,25,0.5-2,v_mps,1511,-0.0004103145999,0.00127796858,0.0001965667613,0.00189555101,0.003963207949,0.03499948653,0.08135594604
1,25,0.5-2,yaw_rate_radps,1511,0.009746230542,0.02804996999,0.02283025764,0.06033816173,0.07191377418,0.08746525269,0.1458836328
1,25,2-4,map_position_m,4399,0.003071267547,0.003071267547,0.002681859709,0.005659991605,0.006829927371,0.00903984635,0.02118208278
1,25,2-4,along_track_m,4399,-0.0004263717723,0.002181600807,0.001761425316,0.004631340359,0.005651878285,0.008067586335,0.02055791826
1,25,2-4,cross_track_m,4399,-0.0002394522029,0.001699946246,0.001359620897,0.003553092453,0.004408326802,0.006867864279,0.01380429263
1,25,2-4,yaw_rad,4399,-8.697420087e-05,0.002637443041,0.001694291324,0.006367419786,0.008406239598,0.01239424447,0.02718887515
1,25,2-4,u_mps,4399,0.004827520496,0.04199331091,0.0305089011,0.09514584229,0.1256013922,0.2027279465,0.8549540224
1,25,2-4,v_mps,4399,0.0001130832418,0.002237350545,0.0003645197222,0.004784794825,0.009977022464,0.05025093168,0.1101834889
1,25,2-4,yaw_rate_radps,4399,-0.002254134682,0.02495673004,0.01840017226,0.0527435465,0.06917600932,0.1057690635,0.5107027463
1,25,4-6,map_position_m,2262,0.003948834299,0.003948834299,0.003382156338,0.007282177637,0.008933485249,0.01178902457,0.0174920037
