wheel_speed_mps,body_speed_mps,source_samples
0.0,0.0,84
2.0,1.982873543153512,84
4.0,3.91991671924897,84
6.0,5.8153359494447265,84
8.0,7.708784035948815,84
10.0,9.6632,84
12.0,11.443698300140301,84
14.0,14.039803076393296,84
16.0,15.360914285714287,84
18.0,16.851055328442374,84
20.0,18.654879539693574,84
22.0,20.22473467771134,84
24.0,21.90072718433196,84
26.0,22.87285,84
28.0,22.87285,84
30.0,22.87285,84
