record_type,parameter,value,speed_bin_mps,median_body_speed_mps,median_deceleration_mps2,samples
fit,intercept_mps2,10.266445456,,,,
fit,speed_gain_per_s,0.393325216,,,,
fit,max_deceleration_p95_mps2,176.525356318,,,,
fit,fit_rmse_mps2,3.680288318,,,,
fit,samples,2357.000000000,,,,
fit,bins,12.000000000,,,,
speed_bin,,,0.000000000,1.325000000,7.810498830,425
speed_bin,,,2.000000000,2.922750000,12.114524957,578
speed_bin,,,4.000000000,4.826400000,12.680478163,414
speed_bin,,,6.000000000,6.877750000,12.591341724,260
speed_bin,,,8.000000000,8.879900000,13.890659586,203
speed_bin,,,10.000000000,10.883200000,18.415097526,156
speed_bin,,,12.000000000,12.936900000,18.679271576,112
speed_bin,,,14.000000000,14.713650000,13.802722027,86
speed_bin,,,16.000000000,16.774800000,11.516091819,59
speed_bin,,,18.000000000,18.811300000,19.704026953,35
speed_bin,,,20.000000000,20.929000000,25.353243095,24
speed_bin,,,22.000000000,22.119100000,12.491471621,5
