motion_regime,force_curve_region,wheel_speed_bin_mps,median_wheel_speed_mps,median_body_vx_mps,median_slip_speed_mps,median_slip_ratio,slip_ratio_mad,slip_ratio_p10,slip_ratio_p90,samples
braking,asymptotic,0.0,0.0,4.7616499999999995,-4.7503,-1.0,0.0,-1.0,-1.0,4334
braking,asymptotic,2.0,3.0832049028753223,6.052099999999999,-3.1043606747804335,-0.499858519836742,0.1672655491981234,-0.7528654250961133,1.1715073676858538,100
braking,asymptotic,4.0,4.970245480596273,7.942,-2.9301203425139732,-0.37702721088571023,0.2149666400103376,-0.6104285203685439,2.171237229603248,59
braking,asymptotic,6.0,6.799307149203642,7.87805,-0.3964309207349639,0.02035726453326367,0.5007288454947967,-0.45399977430367106,1.8428894875094894,34
braking,asymptotic,8.0,8.763134621268168,5.0567,3.8833793281483007,0.765103596592195,0.7520234639666756,-0.47606285630037004,3.0987200538687762,26
braking,asymptotic,10.0,11.022559456397005,5.0695,5.800639633376376,1.0785548638617388,0.13378736975298455,0.6799451540168088,2.169242870333476,35
braking,asymptotic,12.0,12.866284749459776,5.80705,6.853234573050863,1.1934032633972849,0.4536614757201808,0.5943255018550779,2.4989664382043206,18
braking,asymptotic,14.0,15.379674467615589,5.6179,8.797614933310733,1.5412918147756678,0.5376586191181023,0.857057759351177,5.1943081422710895,21
braking,asymptotic,16.0,16.681012038219116,7.3404,10.081087750333383,1.32103940830827,0.7481695343246442,0.3494692428360362,9.820008513603451,24
braking,asymptotic,18.0,18.80529010937678,7.3135,11.59471192044538,1.5769325445680338,0.6495997081502869,0.9273328364177469,2.407125794357499,9
braking,asymptotic,20.0,21.01001751261427,10.8789,10.265409453766628,0.9436072997974637,0.5246730520741545,0.4189342477233093,2.0412407068822227,9
braking,asymptotic,22.0,22.642931668268293,10.6477,12.359233431036383,1.160742078668293,0.5955571640635313,0.5651849146047616,13.96868675620585,19
braking,asymptotic,24.0,24.55653289355574,11.716999999999999,13.00042947644457,1.1109424422639247,0.778843877987271,0.3140962446363364,14.369749040879565,12
braking,asymptotic,26.0,26.89557010742086,11.5899,15.300405889486985,1.3783529514813888,0.4979675497038081,0.7418993244357042,2.9444476784083236,6
braking,asymptotic,28.0,29.521796560772408,1.5041,27.28414763418779,17.796070829404723,0.9114035102297287,10.975561218949993,18.70747433963445,5
braking,asymptotic,30.0,31.07910920828366,7.6412,23.349165581912274,3.1257758419744186,1.0818068745231841,2.2333590402326977,5.474318532969647,8
braking,asymptotic,32.0,33.005234168455374,3.9952,28.83627627727888,7.37228188944172,3.982825478213218,0.5189788476589192,20.369704342808,4
braking,asymptotic,34.0,34.44917374217104,6.4365,28.012673742171042,4.443401464882179,2.185784715665,1.9918687214164164,8.470891697534514,6
braking,asymptotic,36.0,36.82731016063039,5.82625,31.577500063350712,6.36037320077654,4.777439630761992,0.6891677098190824,11.327613073286456,14
braking,asymptotic,38.0,39.4558280833284,12.63945,26.8163780833284,2.1261084545766007,0.7495531814702312,1.1493872668722365,11.979641857203259,6
braking,asymptotic,40.0,40.98231893623699,3.1529999999999996,37.40274083709444,12.439579991762633,3.3389266788833556,4.587153420907855,15.659553556589795,8
braking,asymptotic,42.0,42.68640306507021,8.7352,34.11950970857901,10.597472684760433,9.27266988575948,0.8544652096022828,27.140003945105413,4
braking,asymptotic,44.0,45.10647967500341,7.3245,36.90510919761917,5.038584094152388,4.004625945509741,1.0339581486426481,17.33338942605518,11
braking,asymptotic,46.0,47.06081403586215,5.20055,41.77404065570998,8.059574316780726,2.371336640294439,2.61336820320172,8.562096479978495,6
braking,asymptotic,48.0,49.114425842337184,13.1064,35.79602239752528,2.7349247444455984,0.681667338331726,1.1164181121753272,3.5857843391079967,6
braking,asymptotic,50.0,51.17764837073852,9.217500000000001,41.96014837073852,5.0369734796021355,1.9018955267113746,2.9411273355842877,10.73026944674318,4
braking,asymptotic,52.0,53.391970747563434,7.3495,45.888544277917454,6.134977009870763,2.2543778457790076,3.9153919783803866,13.340059921860023,7
braking,asymptotic,54.0,55.38453826915822,11.8423,43.54223826915822,3.6768396569212247,2.2708422818163436,1.9889612120958913,10.332877780481313,7
braking,asymptotic,56.0,57.080330145838346,6.7164,50.36393014583834,8.406077762162369,2.982748757377281,5.423329004785089,11.38882651953965,2
braking,asymptotic,58.0,58.98581714711583,9.7843,49.423608200190124,5.051317743751738,2.9343894177803076,2.11692832597143,10.985089634898374,7
braking,post_extremum,0.0,1.1575448991732982,1.498,-0.21884754577386034,-0.18905048958022025,0.03342705050322614,-0.2420921873279587,0.159142131181879,12
braking,post_extremum,2.0,3.073860661857794,3.422,-0.6432679934833558,-0.1823709950670513,0.020796206462654926,-0.23698066082388627,0.16285324347033975,23
braking,post_extremum,4.0,4.499126250083149,5.5952,-0.9980337803601489,-0.18332423153416533,0.024075937430997132,-0.21515492279904705,-0.15153115737042236,18
braking,post_extremum,6.0,6.457898766489971,7.4335,-1.2976493349458713,-0.17433115697835536,0.02570453196410083,-0.20003568894245619,0.2170113920800593,16
braking,post_extremum,8.0,9.147228924640386,9.41965,-0.22114246232757173,0.0017193596177790538,0.19156402050599464,-0.20431732231770874,0.21956791359615274,8
braking,post_extremum,10.0,10.584688397987136,10.236,1.63804416576464,0.16002776140725283,0.06724280154820794,-0.23085894925865721,0.22727056295546078,3
braking,post_extremum,12.0,12.31617745990749,10.4212,1.894977459907489,0.18183869994890117,0.0,0.18183869994890117,0.18183869994890117,1
braking,post_extremum,14.0,14.40737074808844,12.2862,2.1211707480884403,0.17264660742039364,0.0,-0.15640718764709333,0.17264660742039364,3
braking,post_extremum,16.0,17.34920467984926,14.6906,2.6586046798492617,0.1809731855641881,0.0,0.1809731855641881,0.1809731855641881,1
braking,post_extremum,18.0,18.81711814812703,22.8835,-4.066381851872972,-0.17769929651814503,0.0,-0.17769929651814503,-0.17769929651814503,1
braking,pre_extremum,0.0,1.3426043872679283,1.498,-0.06967367282279802,-0.056739996553199425,0.07099433607065997,-0.13186842802534024,0.108399560198075,19
braking,pre_extremum,2.0,3.230314545051704,3.361,-0.17190927389614696,-0.07401094184908505,0.055768657219322726,-0.13332707565025098,0.0927759598535979,22
braking,pre_extremum,4.0,4.87244355498376,5.2195,-0.17520300038397618,-0.03487945698552212,0.07883493437895667,-0.13126359220723885,0.06703983317075361,19
braking,pre_extremum,6.0,6.22509571757483,6.077,0.2672688128240015,0.04345200726716943,0.050928075945550086,-0.027588744802310144,0.12160623026625554,4
braking,pre_extremum,8.0,8.778357093357153,9.6633,-0.7937666520632032,-0.08136409584053628,0.04380779740748284,-0.14379683542543922,0.00845512938805175,20
braking,pre_extremum,10.0,11.266129900137999,11.34405,-0.02795614867684737,-0.0024718348243048314,0.04874324436183897,-0.05639726818101294,0.07704467262691853,8
braking,pre_extremum,12.0,13.090560045968731,13.3511,0.15907481116436273,0.012924190275209635,0.08217906905706439,-0.14780547842140937,0.06590637358401263,7
braking,pre_extremum,14.0,15.394603555240423,15.361,-0.7658132580079551,-0.049854388256490786,0.05204197729629437,-0.14435782475157544,0.023539957244000924,4
braking,pre_extremum,16.0,16.942449602023373,18.6555,-0.7477952815698963,-0.04008444059767341,0.09483009242712337,-0.13491453302479678,0.13985411452218313,3
braking,pre_extremum,18.0,19.645586439490167,22.016,-2.178791113798475,-0.09896398591017784,0.04253157029887385,-0.1414955562090517,0.0038940228368452333,3
braking,pre_extremum,20.0,21.08272986707312,22.8831,-1.5512073375492914,-0.06875378095988287,0.0045330245926273605,-0.09314878737195854,-0.06422075636725551,4
steady,asymptotic,0.0,0.0,8.4936,-8.4936,-1.0,0.0,-1.0,-1.0,10692
steady,asymptotic,2.0,2.8684442834051382,1.993,0.9427364875580899,0.5100081257361568,0.6785970564268109,-0.38294326510684695,2.1427984281931582,175
steady,asymptotic,4.0,4.942141679901359,1.993,2.698611560734772,1.3240389848040952,0.42508571323773814,-0.304715360828558,2.150838199961963,233
steady,asymptotic,6.0,6.794909651640609,2.4857,4.1655146490084025,1.6566363851893744,0.6869932653442157,0.48016935465557753,2.632219577501594,237
steady,asymptotic,8.0,9.027307458096017,3.7097,4.838206973480046,1.2973918772969346,0.6720931151931732,0.2850273121574671,3.4305787354984045,181
steady,asymptotic,10.0,11.08159333036685,3.7102,6.775068883950906,1.8268534983419367,1.0777115701909235,-0.25292014378310484,4.967917926757356,155
steady,asymptotic,12.0,12.907139944414988,4.92165,8.385638104707567,1.7293641965292923,0.7415249294453785,0.48101634695172507,8.079811822756675,140
steady,asymptotic,14.0,15.122796088888762,6.1232,8.533075606847712,1.391576330913216,0.6028600881053708,0.40964149235539243,6.960078996123588,149
steady,asymptotic,16.0,16.93850091603344,6.1236,10.250470386122151,1.6740381477204975,0.8896976083586092,0.3885466467904802,7.378320294369572,116
steady,asymptotic,18.0,18.96531240340824,7.3135,11.640728774305504,1.5916768680256381,0.7758807608175963,0.5132819756766449,8.451529588104366,127
steady,asymptotic,20.0,21.09344100108557,8.4936,12.220723201467505,1.4325167894904638,0.8707624013033217,0.37019121817507156,9.279751683095173,121
steady,asymptotic,22.0,22.724901541035344,9.6598,12.7293132092354,1.3184808182140102,1.011137198236295,0.27827531536882666,13.405555746953953,128
steady,asymptotic,24.0,25.01338613267568,9.6633,14.395495147717638,1.490047214884189,0.8826845991125929,0.36306443428227614,11.550620237167928,117
steady,asymptotic,26.0,26.87971091087487,10.8218,16.1241305823456,1.5082096875161155,0.7683921566840111,0.4660798433027236,12.761781123964088,114
steady,asymptotic,28.0,28.890446425597663,11.9725,16.507811195441093,1.380604534301233,0.5804570397193987,0.5363959874991924,13.370823622022971,88
steady,asymptotic,30.0,31.204027757586626,9.6633,21.646503901520973,2.240073670642635,1.5468576594465695,0.6734508058268258,14.727115911162,117
steady,asymptotic,32.0,32.77821657520039,11.9658,21.115405712302344,1.7670682806084275,0.6729642361144403,0.8044818569854536,15.624696418936702,123
steady,asymptotic,34.0,34.88743915146823,11.9707,22.40620939670343,1.8728181777433304,1.033514531814473,0.8588120715747251,16.548319663085902,113
steady,asymptotic,36.0,36.83692907850142,11.9725,24.039423348039133,2.0078866859919926,0.9115340651972073,0.9599323798085351,17.29103413966718,77
