speed_mps,observed_full_throttle_acceleration_mps2,monotonic_acceleration_limit_mps2,samples
0.000000,3.961689,4.195003,8
2.000000,4.276156,4.195003,23
4.000000,3.972060,3.972060,47
6.000000,3.524016,3.524016,71
8.000000,3.030181,3.030181,107
10.000000,2.400227,2.400227,155
12.000000,1.929167,1.929167,208
14.000000,1.435518,1.435518,313
16.000000,0.902274,0.902274,545
18.000000,0.363012,0.508289,1361
20.000000,0.386465,0.508289,777
22.000000,1.837279,0.508289,220
23.000000,0.021625,0.021625,819
