record_type,name,speed_mps,value,value_2,samples
coefficient,c0,,-0.298927247,,8123
coefficient,c1,,6.722498844,,8123
coefficient,c2,,-0.184585113,,8123
coefficient,c3,,-0.113718488,,8123
operating_point,,0.000000,0.044467,0.148754,8123
operating_point,,2.000000,0.102862,0.153963,8123
operating_point,,4.000000,0.165496,0.159550,8123
operating_point,,6.000000,0.232847,0.165558,8123
operating_point,,8.000000,0.305468,0.172036,8123
operating_point,,10.000000,0.384003,0.179041,8123
operating_point,,12.000000,0.469206,0.186641,8123
operating_point,,14.000000,0.561963,0.194915,8123
operating_point,,16.000000,0.663326,0.203957,8123
operating_point,,18.000000,0.774550,0.213878,8123
operating_point,,20.000000,0.897148,0.224814,8123
operating_point,,23.000000,1.000000,0.243488,8123
