throttle,speed_bin_mps,acceleration_mps2,acceleration_std_mps2,samples
0.0,0.0,-0.0008746760714375074,1.2792254435141495,448
0.0,0.5,-5.054182613410692,0.9573435553596583,20
0.0,1.0,-5.704482862689222,1.3344436322141857,25
0.0,1.5,-5.203270247975132,1.6172936191863259,21
0.0,2.0,-4.826235147527807,0.8288327042660687,11
0.0,2.5,-5.266751972895371,1.1053114921091107,18
0.0,3.0,-5.406691870588744,1.3424848122653767,18
0.0,3.5,-5.434156311414929,1.7283450411171097,10
0.0,4.0,-5.9244643221163305,1.329131713755482,16
0.0,4.5,-6.4973038343685605,1.1857429764702918,13
0.0,5.0,-6.301974007865196,1.0325785793296074,7
0.0,5.5,-6.267252891545119,1.8288493841846867,13
0.0,6.0,-8.01383256149226,1.0064055443764426,7
0.0,6.5,-7.02191614083358,1.7954108937424138,8
0.0,7.0,-7.2398426441407775,1.5189367321033187,7
0.0,7.5,-6.748124305482198,1.306578178152243,11
0.0,8.0,-5.727930176549812,3.57959302748172,9
0.0,8.5,-5.779876711412013,1.3260155027864613,7
0.0,9.0,-6.874956973901266,1.189171462360615,2
0.0,9.5,-7.7303989732288425,1.336225222907452,7
0.0,10.0,-6.121468269581056,1.04064496640881,3
0.0,10.5,-6.845102273469173,1.942952651992025,7
0.0,11.0,-5.538834383411422,0.34474877570007845,2
0.0,11.5,-8.283213015594466,1.4750942345908982,4
0.0,12.0,-8.921947952251655,0.0,1
0.0,12.5,-9.127684452237215,0.500965994257039,4
0.0,13.0,-8.69077863706876,0.0,1
0.0,13.5,-8.727748061566253,0.11142223301001229,3
0.0,14.0,-6.673006682018347,0.0,1
0.0,14.5,-4.65644401433498,1.0493553607773232,4
0.03,0.0,3.203809207009207,0.0,1
0.03,0.5,0.0,1.2466489743792062,471
0.03,1.0,-5.125874243070003,0.8598836418147477,14
0.03,1.5,-5.3651511874810405,1.890941746368753,29
0.03,2.0,-5.286073112713322,0.8351418502619382,15
0.03,2.5,-5.144871117838495,1.033078599213783,15
0.03,3.0,-6.015714361786263,1.2469716186165563,16
0.03,3.5,-6.120254448688642,1.4122011778457368,9
0.03,4.0,-6.25461372006474,1.216443208831902,16
0.03,4.5,-6.999017713226732,1.3841555776092556,11
0.03,5.0,-5.506827864548821,0.5165505221293686,8
0.03,5.5,-5.579312331980846,1.936699477166167,13
0.03,6.0,-6.939475269795129,2.4075004280436927,7
0.03,6.5,-6.324382160821709,2.0131766980476136,9
0.03,7.0,-6.985192080008804,1.5205636752030744,11
0.03,7.5,-6.403605509279367,1.5397824947870162,8
0.03,8.0,-6.429721637768862,1.4602004651333604,4
0.03,8.5,-7.829878960685216,1.2831476475076162,5
0.03,9.0,-8.069260228941378,1.2340964942450343,5
0.03,9.5,-5.142670256590772,0.9101174265302228,5
0.03,10.0,-7.627222060604618,1.094098488610409,6
0.03,10.5,-6.497215405376293,1.3386744193405409,4
0.03,11.0,-5.930892783631387,1.8491862467881681,6
0.03,11.5,-6.747280103922293,3.1906838286320225,4
0.03,12.0,-5.470003534570363,0.0,1
0.03,12.5,-8.381060667311953,0.9960731646631268,4
