steering,gt_speed_mps,gt_yaw_rate_radps,gt_curvature_rad_per_m,samples
-0.5,0.9956516659956934,-0.8009,-0.8043977902643957,31
-0.5,5.619053532402054,-0.95095,-0.1692366863060449,32
-0.5,5.619355729974744,-0.9514,-0.1693076654544303,32
-0.5,5.619832930790737,-0.946,-0.1683324062565848,33
-0.25,5.522492147572507,-1.7378,-0.3146767715665971,33
-0.25,5.5238698943765865,-1.7327,-0.3136750200731419,33
-0.25,5.528840386554851,-1.7142,-0.31004693211412415,32
-0.25,5.550553640568375,-1.61985,-0.2918357527726059,32
0.0,5.6437,0.0,0.0,33
0.0,5.644,0.0,0.0,33
0.0,5.6443,0.0,0.0,33
0.0,5.6446,0.0,0.0,33
0.25,5.522787674716456,1.7367,0.31446075827804904,33
0.25,5.524113379331526,1.7314,0.3134258624158647,32
0.25,5.530256098632417,1.7094,0.3090996094055607,32
0.25,5.5474087257024784,1.6566,0.2986259138117179,32
0.5,1.0962192709490197,0.6533,0.5959574122743022,31
0.5,5.619103519468323,0.9508,0.16920848614121353,32
0.5,5.619355729974744,0.9513,0.1692898698200542,32
0.5,5.621573473725531,0.9436,0.16785336070234746,32
