gt_source_stamp_s,gt_x_m,gt_y_m,gt_z_m,gt_yaw_rad,gt_vx_mps,gt_vy_mps,gt_vz_mps,gt_speed_mps,gt_ax_mps2,gt_ay_mps2,gt_accel_mps2,gt_longitudinal_accel_mps2,gt_dt_s,gt_yaw_rate_radps,gt_collision_count,odom_diagnostics_match_dt_ms,odom_diagnostics_source_stamp_s,odom_diagnostics_odom_observer_version,odom_diagnostics_odom_observer_source_stamp_s,odom_diagnostics_odom_observer_dt_s,odom_diagnostics_odom_raw_wheel_speed_mps,odom_diagnostics_odom_corrected_wheel_speed_mps,odom_diagnostics_odom_observer_speed_pred_mps,odom_diagnostics_odom_diagnostics_speed_mps,odom_diagnostics_odom_observer_body_u_mps,odom_diagnostics_odom_observer_body_v_mps,odom_diagnostics_odom_observer_ax_mps2,odom_diagnostics_odom_observer_ay_mps2,odom_diagnostics_odom_observer_yaw_rate_radps,odom_diagnostics_odom_observer_wheel_update_used,odom_diagnostics_odom_observer_turn_mode,odom_diagnostics_odom_observer_reset_epoch,odom_diagnostics_odom_observer_timing_degraded,odom_diagnostics_odom_observer_packet_drop_count,odom_diagnostics_odom_observer_packet_coherence_fault_count,odom_diagnostics_odom_observer_x_m,odom_diagnostics_odom_observer_y_m,odom_diagnostics_odom_observer_yaw_rad,odom_diagnostics_odom_observer_sensor_outlier,odom_diagnostics_odom_observer_left_angle_rad,odom_diagnostics_odom_observer_right_angle_rad,odom_diagnostics_odom_observer_imu_yaw_rad,ekf_odom_match_dt_ms,ekf_odom_source_stamp_s,ekf_odom_x_ekf_odom_m,ekf_odom_y_ekf_odom_m,ekf_odom_yaw_ekf_odom_rad,ekf_odom_ekf_odom_xy_variance,ekf_odom_ekf_odom_yaw_variance,ekf_match_dt_ms,ekf_source_stamp_s,ekf_x_ekf_m,ekf_y_ekf_m,ekf_yaw_ekf_rad,ekf_ekf_xy_variance,ekf_ekf_yaw_variance,amcl_match_dt_ms,amcl_source_stamp_s,current_map_pose_match_dt_ms,current_map_pose_source_stamp_s,pp_diagnostics_match_dt_ms,pp_diagnostics_source_stamp_s,amcl_scan_alignment_match_dt_ms,amcl_scan_alignment_source_stamp_s,amcl_scan_alignment_amcl_scan_stamp_s,amcl_scan_alignment_amcl_scan_matched_odom_stamp_s,amcl_scan_alignment_amcl_scan_source_error_ms,amcl_scan_alignment_amcl_scan_accepted,amcl_scan_alignment_amcl_scan_queued,amcl_scan_alignment_amcl_scan_dropped,amcl_scan_alignment_amcl_scan_bracket_before_stamp_s,amcl_scan_alignment_amcl_scan_bracket_after_stamp_s,amcl_scan_alignment_amcl_scan_processing_dropped,amcl_localization_health_match_dt_ms,amcl_localization_health_source_stamp_s,collision_match_dt_ms,collision_source_stamp_s,imu_match_dt_ms,imu_source_stamp_s,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,imu_imu_accel_norm_mps2,imu_imu_yaw_rate_radps,imu_imu_yaw_rad,left_encoder_match_dt_ms,left_encoder_source_stamp_s,left_encoder_left_encoder_rad,left_encoder_left_encoder_speed_radps,right_encoder_match_dt_ms,right_encoder_source_stamp_s,right_encoder_right_encoder_rad,right_encoder_right_encoder_speed_radps,lidar_match_dt_ms,lidar_source_stamp_s,lidar_lidar_rate_hz,gt_reset_detected,collision_epoch,pre_collision_valid,gt_local_x_m,gt_local_y_m,gt_local_yaw_rad,gt_map_x_m,gt_map_y_m,gt_map_yaw_rad,observer_x_m,observer_y_m,observer_yaw_rad,ekf_odom_x_m,ekf_odom_y_m,ekf_odom_yaw_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,observer_xy_error_m,observer_yaw_error_rad,ekf_odom_xy_error_m,ekf_odom_yaw_error_rad,ekf_xy_error_m,ekf_yaw_error_rad,gt_step_distance_m,gt_step_yaw_change_rad,collision_gt_collision_count,amcl_x_amcl_m,amcl_y_amcl_m,amcl_yaw_amcl_rad,amcl_amcl_xy_variance,amcl_amcl_yaw_variance,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_xy_error_m,amcl_yaw_error_rad,current_map_pose_x_current_map_m,current_map_pose_y_current_map_m,current_map_pose_yaw_current_map_rad,current_map_pose_current_map_xy_variance,current_map_pose_current_map_yaw_variance,current_map_x_m,current_map_y_m,current_map_yaw_rad,current_map_xy_error_m,current_map_yaw_error_rad,amcl_localization_health_amcl_health_correction_age_s,amcl_localization_health_amcl_health_correction_accepted,amcl_localization_health_amcl_health_rejected_scans,amcl_localization_health_amcl_health_degraded,amcl_localization_health_amcl_health_xy_variance,amcl_localization_health_amcl_health_yaw_variance,amcl_localization_health_amcl_health_scan_correction_distance_m,amcl_localization_health_amcl_health_scan_correction_yaw_rad,amcl_localization_health_amcl_health_applied_xy_correction_m,amcl_localization_health_amcl_health_applied_yaw_correction_rad,amcl_localization_health_amcl_health_scan_correction_x_m,amcl_localization_health_amcl_health_scan_correction_y_m,amcl_localization_health_amcl_health_applied_x_m,amcl_localization_health_amcl_health_applied_y_m,pp_diagnostics_pp_pose_x_m,pp_diagnostics_pp_pose_y_m,pp_diagnostics_pp_pose_yaw_rad,pp_diagnostics_pp_velocity_mps,pp_diagnostics_pp_valid,pp_diagnostics_pp_cross_track_error_m,pp_diagnostics_pp_closest_distance_m,pp_diagnostics_pp_heading_error_rad,pp_diagnostics_pp_lookahead_distance_m,pp_diagnostics_pp_closest_index,pp_diagnostics_pp_target_index,pp_diagnostics_pp_target_speed_mps,pp_diagnostics_pp_raw_steering_rad,pp_diagnostics_pp_command_steering_rad,pp_diagnostics_pp_command_speed_mps,pp_diagnostics_pp_target_x_m,pp_diagnostics_pp_target_y_m,pp_x_m,pp_y_m,pp_yaw_rad,pp_xy_error_m,pp_yaw_error_rad
1788992036.6287234,0.8002,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0002384185791015625,1788992036.6287236,3.0,1788992036.6287236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788992036.6287234,0.0,0.0,0.0,0.01,0.0001,0.0,1788992036.6287234,0.0,0.0,0.0,0.01,0.0001,,,,,,,0.0,1788992036.6287234,1788992036.6287234,1788992036.6287234,0.0,0.0,0.0,0.0,1788992036.6287234,1788992036.6287234,0.0,,,,,0.0,1788992036.6287234,0.0002,-0.0001,-0.0004,0.000458257569495584,0.0,-1.5707407162970446,0.0,1788992036.6287234,0.0,nan,0.0,1788992036.6287234,0.0,nan,0.0,1788992036.6287234,nan,0,,1,0.0,0.0,0.0,0.8006,3.1583,-1.5708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.5708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788992036.7048886,0.8002,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07616519927978516,0.0,0,0.0,1788992036.7048886,3.0,1788992036.7048886,0.07616496086120605,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788992036.7048886,0.0,0.0,0.0,0.0100228495435,0.0001,0.0,1788992036.7048886,0.0,0.0,0.0,0.0100228495435,0.0001,,,,,,,0.0,1788992036.7048886,1788992036.7048886,1788992036.7048886,0.0,0.0,0.0,0.0,1788992036.7048886,1788992036.7048886,0.0,,,,,0.0,1788992036.7048886,-0.0001,0.0,0.0018,0.0018027756377319946,0.0,-1.5707407162970446,0.0,1788992036.7048886,0.0,0.0,0.0,1788992036.7048886,0.0,0.0,0.0,1788992036.7048886,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.5708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.5708,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788992036.756671,0.8002,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.05178236961364746,0.0,0,0.0002384185791015625,1788992036.7566712,3.0,1788992036.7566712,0.05178260803222656,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788992036.756671,0.0,0.0,0.0,0.0100383842719,0.0001,0.0,1788992036.756671,0.0,0.0,0.0,0.0100383842719,0.0001,,,,,,,0.0,1788992036.756671,1788992036.756671,1788992036.756671,0.0,0.0,0.0,0.0,1788992036.756671,1788992036.756671,0.0,,,1.2240409851074219,1788992036.757895,0.0,1788992036.756671,-0.0002,-0.0001,0.004,0.004006245124802026,0.0,-1.5707407162970446,0.0,1788992036.756671,0.0,0.0,0.0,1788992036.756671,0.0,0.0,0.0,1788992036.756671,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.5708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.5708,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788992036.805126,0.8002,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048454999923706055,0.0,0,0.0,1788992036.805126,3.0,1788992036.805126,0.04845476150512695,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788992036.805126,0.0,0.0,0.0,0.0100529207098,0.0001,0.0,1788992036.805126,0.0,0.0,0.0,0.0100529207098,0.0001,,,,,,,0.0,1788992036.805126,1788992036.805126,1788992036.805126,0.0,0.0,0.0,0.0,1788992036.805126,1788992036.805126,0.0,,,1.3992786407470703,1788992036.8065252,0.0,1788992036.805126,-0.0001,0.0004,0.0017,0.0017492855684535901,0.0,-1.5707407162970446,0.0,1788992036.805126,0.0,0.0,0.0,1788992036.805126,0.0,0.0,0.0,1788992036.805126,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.5708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.5708,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788992036.8548539,0.8002,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0497279167175293,0.0,0,0.0002384185791015625,1788992036.854854,3.0,1788992036.854854,0.0497281551361084,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788992036.8548539,0.0,0.0,0.0,0.0100678391236,0.0001,0.0,1788992036.8548539,0.0,0.0,0.0,0.0100678391236,0.0001,0.0,1788992036.8548539,,,,,0.0,1788992036.8548539,1788992036.8548539,1788992036.8548539,0.0,0.0,0.0,0.0,1788992036.8548539,1788992036.8548539,0.0,,,0.9405612945556641,1788992036.8557944,0.0,1788992036.8548539,0.0006,-0.0002,-0.0055,0.005536244214266564,0.0,-1.5707407162970446,0.0,1788992036.8548539,0.0,0.0,0.0,1788992036.8548539,0.0,0.0,0.0,1788992036.8548539,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.5708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.5708,0.0,0.0,0,0.8006,3.1583,-1.5707963267948963,0.007588005727829267,0.0001,0.8006,3.1583,-1.5707963267948963,0.0,3.673205103638111e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788992036.90488,0.8002,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05002617835998535,0.0,0,0.0002384185791015625,1788992036.9048803,3.0,1788992036.9048803,0.05002617835998535,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788992036.90488,0.0,0.0,0.0,0.0100828469884,0.0001,0.0,1788992036.90488,0.0,0.0,0.0,0.0100828469884,0.0001,0.0,1788992036.90488,0.0,1788992036.90488,,,0.0,1788992036.90488,1788992036.90488,1788992036.90488,0.0,0.0,0.0,0.0,1788992036.90488,1788992036.90488,0.0,,,0.5674362182617188,1788992036.9054475,0.0,1788992036.90488,0.0001,-0.0002,0.0039,0.0039064049969249216,0.0,-1.5707407162970446,0.0,1788992036.90488,0.0,0.0,0.0,1788992036.90488,0.0,0.0,0.0,1788992036.90488,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.5708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.5708,0.0,0.0,0,0.8006,3.1583,-1.5707963267948963,0.007334025456140637,0.0001,0.8006,3.1583,-1.5707963267948963,0.0,3.673205103638111e-06,0.8006,3.1583,-1.5707963267948963,0.0100828469884,0.0001,0.8006,3.1583,-1.5707963267948963,0.0,3.673205103638111e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788992036.954873,0.8002,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049993038177490234,0.0,0,0.0,1788992036.954873,3.0,1788992036.954873,0.04999279975891113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788992036.954873,0.0,0.0,0.0,0.0100978448926,0.0001,0.0,1788992036.954873,0.0,0.0,0.0,0.0100978448926,0.0001,0.0,1788992036.954873,0.0,1788992036.954873,,,0.0,1788992036.954873,1788992036.954873,1788992036.954873,0.0,0.0,0.0,0.0,1788992036.954873,1788992036.954873,0.0,0.8361339569091797,1788992036.9557092,1.232147216796875,1788992036.9561052,0.0,1788992036.954873,0.0,-0.0001,-0.0016,0.0016031219541881396,0.0,-1.5707407162970446,0.0,1788992036.954873,0.0,0.0,0.0,1788992036.954873,0.0,0.0,0.0,1788992036.954873,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.5708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.5708,0.0,0.0,0,0.8006,3.1583,-1.5707963267948963,0.0070874569432107905,0.0001,0.8006,3.1583,-1.5707963267948963,0.0,3.673205103638111e-06,0.8006,3.1583,-1.5707963267948963,0.0100978448926,0.0001,0.8006,3.1583,-1.5707963267948963,0.0,3.673205103638111e-06,nan,0.0,0.0,1.0,0.0100828469884,0.0001,nan,nan,0.0,0.0,nan,nan,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1788992037.0047958,0.8002,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04992270469665527,0.0,0,0.0,1788992037.0047958,3.0,1788992037.0047958,0.04992270469665527,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788992037.0047958,0.0,0.0,0.0,0.0101128216582,0.0001,0.0,1788992037.0047958,0.0,0.0,0.0,0.0101128216582,0.0001,0.0,1788992037.0047958,0.0,1788992037.0047958,,,-0.0002384185791015625,1788992037.0047956,1788992037.0047956,1788992037.0047956,0.0,0.0,0.0,0.0,1788992037.0047956,1788992037.0047956,0.0,1.5425682067871094,1788992037.0063384,1.1570453643798828,1788992037.0059528,0.0,1788992037.0047958,-0.0001,0.0002,0.0039,0.0039064049969249216,0.0,-1.5707407162970446,0.0,1788992037.0047958,0.0,0.0,0.0,1788992037.0047958,0.0,0.0,0.0,1788992037.0047958,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.5708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.5708,0.0,0.0,0,0.8006,3.1583,-1.5707963267948963,0.0068401438721244915,0.0001,0.8006,3.1583,-1.5707963267948963,0.0,3.673205103638111e-06,0.8006,3.1583,-1.5707963267948963,0.0101128216582,0.0001,0.8006,3.1583,-1.5707963267948963,0.0,3.673205103638111e-06,nan,0.0,0.0,1.0,0.0100978448926,0.0001,nan,nan,0.0,0.0,nan,nan,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1788992037.0543392,0.8002,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04954338073730469,0.0,0,0.0,1788992037.0543392,3.0,1788992037.0543392,0.04954338073730469,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788992037.0543392,0.0,0.0,0.0,0.0101276846869,0.0001,0.0,1788992037.0543392,0.0,0.0,0.0,0.0101276846869,0.0001,0.0,1788992037.0543392,0.0,1788992037.0543392,,,0.0,1788992037.0543392,1788992037.0543392,1788992037.0543392,0.0,0.0,0.0,0.0,1788992037.0543392,1788992037.0543392,0.0,1.5120506286621094,1788992037.0558512,0.6840229034423828,1788992037.0550232,0.0,1788992037.0543392,-0.0001,0.0001,0.0017,0.001705872210923198,0.0,-1.5707407162970446,0.0,1788992037.0543392,0.0,0.0,0.0,1788992037.0543392,0.0,0.0,0.0,1788992037.0543392,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.5708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.5708,0.0,0.0,0,0.8006,3.1583,-1.5707963267948963,0.006602235088747389,0.0001,0.8006,3.1583,-1.5707963267948963,0.0,3.673205103638111e-06,0.8006,3.1583,-1.5707963267948963,0.0101276846869,0.0001,0.8006,3.1583,-1.5707963267948963,0.0,3.673205103638111e-06,nan,0.0,0.0,1.0,0.0101128216582,0.0001,nan,nan,0.0,0.0,nan,nan,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1788992037.1044793,0.8002,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0501401424407959,0.0,0,0.0,1788992037.1044793,3.0,1788992037.1044793,0.0501401424407959,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788992037.1044793,0.0,0.0,0.0,0.0101427267292,0.0001,0.0,1788992037.1044793,0.0,0.0,0.0,0.0101427267292,0.0001,0.0,1788992037.1044793,0.0,1788992037.1044793,,,0.0,1788992037.1044793,1788992037.1044793,1788992037.1044793,0.0,0.0,0.0,0.0,1788992037.1044793,1788992037.1044793,0.0,0.5099773406982422,1788992037.1049893,-0.30732154846191406,1788992037.104172,0.0,1788992037.1044793,-0.0002,0.0004,0.0016,0.001661324772583615,0.0,-1.5707407162970446,0.0,1788992037.1044793,0.0,0.0,0.0,1788992037.1044793,0.0,0.0,0.0,1788992037.1044793,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.5708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.5708,0.0,0.0,0,0.8006,3.1583,-1.5707963267948963,0.00635738524819632,0.0001,0.8006,3.1583,-1.5707963267948963,0.0,3.673205103638111e-06,0.8006,3.1583,-1.5707963267948963,0.0101427267292,0.0001,0.8006,3.1583,-1.5707963267948963,0.0,3.673205103638111e-06,nan,0.0,0.0,1.0,0.0101276846869,0.0001,nan,nan,0.0,0.0,nan,nan,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
