bag_time,time,x,y,yaw,vx,vy,wz
1788876015.297626,1788876015.234884,0.8,3.1597,-1.5707963267948966,0.009,0.0,0.0
1788876015.361193,1788876015.3098896,0.8,3.1593,-1.5707963267948966,0.0067,0.0,0.0
1788876015.412281,1788876015.362523,0.8,3.1591,-1.5707963267948966,0.0053,0.0,0.0
1788876015.4627383,1788876015.41387,0.8,3.1526,-1.5693808562927722,0.2065,0.0076,0.0483
1788876015.5124426,1788876015.4644914,0.8,3.1414,-1.5641417750818054,0.2249,0.0246,0.1585
1788876015.5613382,1788876015.5141008,0.8002,3.1306,-1.5536676189655885,0.2183,0.0417,0.265
1788876015.6112747,1788876015.56334,0.8005,3.1202,-1.538103795466225,0.2075,0.056,0.3497
1788876015.6610727,1788876015.6127295,0.801,3.1099,-1.5207010537413825,0.2062,0.0562,0.3488
1788876015.71014,1788876015.6624258,0.8017,3.0998,-1.5035854006173957,0.2057,0.0561,0.3487
1788876015.760277,1788876015.711826,0.8025,3.0896,-1.4861760037032499,0.2053,0.0561,0.3486
1788876015.810206,1788876015.7619853,0.8036,3.0794,-1.4687651767319219,0.205,0.056,0.3486
1788876015.8597727,1788876015.8118072,0.8048,3.0692,-1.4513408024219414,0.2047,0.056,0.3486
1788876015.9104726,1788876015.8613439,0.8062,3.0593,-1.4341823917878844,0.2046,0.056,0.3486
1788876015.9616325,1788876015.9120703,0.8078,3.049,-1.4164579562837971,0.2044,0.056,0.3486
1788876016.0125263,1788876015.9630654,0.8096,3.0387,-1.3991439232231355,0.2056,0.0544,0.3389
1788876016.061183,1788876016.0142777,0.8116,3.0282,-1.383807669860271,0.2102,0.0482,0.3001
1788876016.1113753,1788876016.062792,0.8137,3.0179,-1.3707479215097726,0.2139,0.0424,0.264
1788876016.1612387,1788876016.1128776,0.8161,3.0066,-1.3586605742640445,0.2394,0.0403,0.2508
1788876016.2113085,1788876016.1628416,0.8191,2.9932,-1.3465702047258066,0.289,0.0399,0.249
1788876016.2645729,1788876016.2129703,0.8227,2.9781,-1.3356055034854193,0.318,0.0366,0.2282
1788876016.3351426,1788876016.2854326,0.8287,2.9544,-1.3210808292497012,0.3466,0.0325,0.2026
1788876016.3851113,1788876016.3367097,0.8337,2.9353,-1.3120818270392651,0.3942,0.0286,0.1785
1788876016.435238,1788876016.3865852,0.8391,2.9154,-1.305402146398384,0.4223,0.0216,0.1354
